disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZeur	sbrc	baseline_thickness	EUR	4116	3447		0.0187796257370185	0.0159780132072755	0.23992627895187	1	0.23992627895187	0.000352674342822487
SCZeur	sbrc	global_slope	EUR	4116	3447		-0.035633982206188	0.0152059008384258	0.0191581317882255	1	0.0191581317882255	0.00126978068787092
SCZeur	sbrc	slope_PC1	EUR	4116	3447		0.0252622726065938	0.0157616631479134	0.109070506468522	1	0.109070506468522	0.000638182417249859
SCZeur	sbrc	slope_PC2	EUR	4116	3447		0.00288981400976156	0.0161510973589827	0.858007004714404	1	0.858007004714404	8.3510250110142e-06
SCZeur	sbrc	slope_PC3	EUR	4116	3447		-0.00894575234209703	0.0160787413997037	0.577989360128422	1	0.577989360128422	8.00264849661345e-05
SCZeur	sbrc	baseline_thickness	full	8082	6789		0.0129111631959508	0.0113343384458419	0.254687652161771	1	0.254687652161771	0.000166698135072473
SCZeur	sbrc	global_slope	full	8082	6789		-0.0255017837818322	0.0109798041203548	0.0202267594364198	1	0.0202267594364198	0.000650340976055318
SCZeur	sbrc	slope_PC1	full	8082	6789		0.024354770749319	0.0113430270293983	0.0318163407443588	1	0.0318163407443588	0.000593154858251883
SCZeur	sbrc	slope_PC2	full	8082	6789		0.00748456434129492	0.0115879289632902	0.518368069700046	1	0.518368069700046	5.60187033789835e-05
SCZeur	sbrc	slope_PC3	full	8082	6789		-0.0107977146929084	0.0114007744361411	0.343616385133462	1	0.343616385133462	0.000116590642589451
