disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZpooled	sbrc	baseline_thickness	EUR	4116	3447	1154522	0.0150128322235811	0.0157898872670072	0.341768131254538	1	0.341768131254538	0.000225385131373395
SCZpooled	sbrc	global_slope	EUR	4116	3447	1154522	-0.0305414384875152	0.0150564678767261	0.0425818980707286	1	0.0425818980707286	0.000932779464886672
SCZpooled	sbrc	slope_PC1	EUR	4116	3447	1154522	0.0200378798432781	0.0156066092565071	0.19924327213374	1	0.19924327213374	0.000401516628613651
SCZpooled	sbrc	slope_PC2	EUR	4116	3447	1154522	-0.00724662307769803	0.0159656690392435	0.649934922115522	1	0.649934922115522	5.25135460302257e-05
SCZpooled	sbrc	slope_PC3	EUR	4116	3447	1154522	-0.00755984482970369	0.0158161747974564	0.632690097309631	1	0.632690097309631	5.71512538491976e-05
SCZpooled	sbrc	baseline_thickness	full	8082	6789	1154522	-0.00848933546138058	0.0175108633159601	0.627828621072528	1	0.627828621072528	7.20688165758539e-05
SCZpooled	sbrc	global_slope	full	8082	6789	1154522	-0.0404700723309544	0.0170519003083729	0.0176523484925068	1	0.0176523484925068	0.00163782675447268
SCZpooled	sbrc	slope_PC1	full	8082	6789	1154522	0.0500228372666173	0.0176122396846413	0.00452012029094898	1	0.00452012029094898	0.00250228424820248
SCZpooled	sbrc	slope_PC2	full	8082	6789	1154522	0.0185712662934066	0.0179650271317342	0.301287657026514	1	0.301287657026514	0.000344891931740621
SCZpooled	sbrc	slope_PC3	full	8082	6789	1154522	-0.0325554180744816	0.0176307469221276	0.0648563014386192	1	0.0648563014386192	0.00105985524600428
