disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAP	sbr	baseline_thickness	EUR	4116	3447	1092339	-0.00174445282771457	0.0157655551549695	0.911899623580465	1	0.911899623580465	3.04311566812137e-06
ALZIGAP	sbr	global_slope	EUR	4116	3447	1092339	-0.0241728257893843	0.0149727756512291	0.10651182620607	1	0.10651182620607	0.000584325506643924
ALZIGAP	sbr	slope_PC1	EUR	4116	3447	1092339	0.0395422147828639	0.0154983863152899	0.0107692821589463	1	0.0107692821589463	0.00156358674993414
ALZIGAP	sbr	slope_PC2	EUR	4116	3447	1092339	0.0424790027561549	0.0158570526108656	0.00741852254617952	1	0.00741852254617952	0.00180446567515741
ALZIGAP	sbr	slope_PC3	EUR	4116	3447	1092339	-0.0329087360007798	0.0157186752044467	0.036360647120831	1	0.036360647120831	0.00108298490516902
ALZIGAP	sbr	baseline_thickness	full	8082	6789	1092339	0.0186589670390781	0.0170529100323151	0.27390853952992	1	0.27390853952992	0.000348157050965401
ALZIGAP	sbr	global_slope	full	8082	6789	1092339	-0.0265585937966174	0.0165760684052244	0.109147405024956	1	0.109147405024956	0.000705358904453722
ALZIGAP	sbr	slope_PC1	full	8082	6789	1092339	0.00813355783579646	0.0171270227642681	0.634874722182147	1	0.634874722182147	6.6154763068246e-05
ALZIGAP	sbr	slope_PC2	full	8082	6789	1092339	0.0225373269114373	0.0174596380104705	0.196803555765689	1	0.196803555765689	0.000507931104312997
ALZIGAP	sbr	slope_PC3	full	8082	6789	1092339	-0.00993160578132526	0.0171400790003168	0.562311122840556	1	0.562311122840556	9.86367933956533e-05
