disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAPnoAPOE	sbr	baseline_thickness	EUR	4116	3447	1091144	-4.47420442879212e-05	0.0161379160864737	0.997788018929913	1	0.997788018929913	2.0018505270623e-09
ALZIGAPnoAPOE	sbr	global_slope	EUR	4116	3447	1091144	-0.0114350527531232	0.0154054652561472	0.457967385121051	1	0.457967385121051	0.00013076043146671
ALZIGAPnoAPOE	sbr	slope_PC1	EUR	4116	3447	1091144	0.0117498382909941	0.0159628637770646	0.461731746056279	1	0.461731746056279	0.000138058699864511
ALZIGAPnoAPOE	sbr	slope_PC2	EUR	4116	3447	1091144	0.00768056757423719	0.0163258822978042	0.638057492570781	1	0.638057492570781	5.89911182624237e-05
ALZIGAPnoAPOE	sbr	slope_PC3	EUR	4116	3447	1091144	-0.0298593756526069	0.0161635362961861	0.0647756354275102	1	0.0647756354275102	0.000891582314363493
ALZIGAPnoAPOE	sbr	baseline_thickness	full	8082	6789	1091144	0.0270193683100364	0.0292174219184232	0.355113724004738	1	0.355113724004738	0.000730046263873397
ALZIGAPnoAPOE	sbr	global_slope	full	8082	6789	1091144	-0.0120699203316344	0.0285214942786861	0.672170770040379	1	0.672170770040379	0.000145682976812002
ALZIGAPnoAPOE	sbr	slope_PC1	full	8082	6789	1091144	-0.00464930634638414	0.0294703662781826	0.874648436841143	1	0.874648436841143	2.16160495025279e-05
ALZIGAPnoAPOE	sbr	slope_PC2	full	8082	6789	1091144	0.0216842547966968	0.0300318482698344	0.4702904269817	1	0.4702904269817	0.000470206906088067
ALZIGAPnoAPOE	sbr	slope_PC3	full	8082	6789	1091144	-0.0247560201996256	0.0294803795859465	0.401077024970928	1	0.401077024970928	0.000612860536124271
