disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	sbr	baseline_thickness	EUR	4116	3447		-0.00257775678040318	0.0157446745956496	0.869957730642011	1	0.869957730642011	6.64483001891459e-06
ALZ	sbr	global_slope	EUR	4116	3447		-0.0244795406160867	0.014956248852716	0.101766223195483	1	0.101766223195483	0.000599247908774636
ALZ	sbr	slope_PC1	EUR	4116	3447		0.0338181333917099	0.0154875319566927	0.0290556571959426	1	0.0290556571959426	0.00114366614609948
ALZ	sbr	slope_PC2	EUR	4116	3447		0.0451426335472563	0.0158585848310198	0.00444263205767549	1	0.00444263205767549	0.00203785736358187
ALZ	sbr	slope_PC3	EUR	4116	3447		-0.0238734154836129	0.015802839197626	0.130946364467126	1	0.130946364467126	0.000569939966853209
ALZ	sbr	baseline_thickness	full	8082	6789		0.0135531740810057	0.0110226604532498	0.218892795341366	1	0.218892795341366	0.000183688527670044
ALZ	sbr	global_slope	full	8082	6789		-0.0221988545165433	0.0107141322346662	0.0383062289672254	1	0.0383062289672254	0.000492789141846653
ALZ	sbr	slope_PC1	full	8082	6789		0.00760669720818014	0.0110719383741961	0.492088122689836	1	0.492088122689836	5.78618424169355e-05
ALZ	sbr	slope_PC2	full	8082	6789		0.0162626823495537	0.0113020899111737	0.15021701434852	1	0.15021701434852	0.000264474837202486
ALZ	sbr	slope_PC3	full	8082	6789		-0.0079432480408808	0.0111224465536108	0.475147801916897	1	0.475147801916897	6.30951894389567e-05
