disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	sbr	baseline_thickness	EUR	4116	3447	365847	-0.0160567954137937	0.015706182449974	0.306688211086215	1	0.306688211086215	0.000257820678960426
ASD	sbr	global_slope	EUR	4116	3447	365847	-0.00445569725904575	0.0150272289006564	0.76685776862092	1	0.76685776862092	1.98532380642678e-05
ASD	sbr	slope_PC1	EUR	4116	3447	365847	0.00276615491660093	0.0155792511185046	0.859082833260045	1	0.859082833260045	7.65161302263549e-06
ASD	sbr	slope_PC2	EUR	4116	3447	365847	-0.0066887070093328	0.0159452841237024	0.674889295137217	1	0.674889295137217	4.47388014566977e-05
ASD	sbr	slope_PC3	EUR	4116	3447	365847	-0.0188138001931978	0.0158655118038587	0.235761453267862	1	0.235761453267862	0.00035395907770957
ASD	sbr	baseline_thickness	full	8082	6789	365847	0.00419487054262993	0.0137108650151653	0.759648873653728	1	0.759648873653728	1.75969388694243e-05
ASD	sbr	global_slope	full	8082	6789	365847	-0.0101539728403917	0.0133754524822916	0.447786139674334	1	0.447786139674334	0.000103103164443413
ASD	sbr	slope_PC1	full	8082	6789	365847	0.0168805019647067	0.0138204652402532	0.221967129373529	1	0.221967129373529	0.000284951346580467
ASD	sbr	slope_PC2	full	8082	6789	365847	-0.000826314043002616	0.0141059237386594	0.953288768678886	1	0.953288768678886	6.82794897663328e-07
ASD	sbr	slope_PC3	full	8082	6789	365847	-0.0284665345252358	0.0138772474999709	0.0402704605985774	1	0.0402704605985774	0.000810343587876443
