disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	sbr	baseline_thickness	EUR	4116	3447		-0.0163933864052111	0.01570565740435	0.296644711862506	1	0.296644711862506	0.00026874311783056
ASD	sbr	global_slope	EUR	4116	3447		-0.00416884976981287	0.0150251812800312	0.781443535167658	1	0.781443535167658	1.73793084032688e-05
ASD	sbr	slope_PC1	EUR	4116	3447		0.00228364097268875	0.0155747454059882	0.883436061776642	1	0.883436061776642	5.21501609214282e-06
ASD	sbr	slope_PC2	EUR	4116	3447		-0.00576949702676482	0.0159215621893229	0.717095085628856	1	0.717095085628856	3.32870959418481e-05
ASD	sbr	slope_PC3	EUR	4116	3447		-0.017004498338548	0.0157670566568397	0.2808849252314	1	0.2808849252314	0.00028915296374568
ASD	sbr	baseline_thickness	full	8082	6789		0.00729627888416731	0.0110758246863825	0.510070564483209	1	0.510070564483209	5.32356855555458e-05
ASD	sbr	global_slope	full	8082	6789		-0.00711158939165425	0.0107942883449335	0.510025403436971	1	0.510025403436971	5.05747036754892e-05
ASD	sbr	slope_PC1	full	8082	6789		0.0119181337872375	0.0111524901066785	0.285260233424321	1	0.285260233424321	0.000142041912970492
ASD	sbr	slope_PC2	full	8082	6789		0.000900425695029154	0.011368077955981	0.936870423542469	1	0.936870423542469	8.10766432268735e-07
ASD	sbr	slope_PC3	full	8082	6789		-0.0170772147965028	0.0111577021301133	0.12592639347457	1	0.12592639347457	0.000291631265205893
