disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZpooled	sbr	baseline_thickness	EUR	4116	3447	1075055	0.0079420381430874	0.0158012765740949	0.615258422440366	1	0.615258422440366	6.30759698662551e-05
SCZpooled	sbr	global_slope	EUR	4116	3447	1075055	-0.0284261193343782	0.0150727828223341	0.0593800451537463	1	0.0593800451537463	0.000808044260412308
SCZpooled	sbr	slope_PC1	EUR	4116	3447	1075055	0.0221847542226641	0.0156252446849301	0.155747584192717	1	0.155747584192717	0.000492163319920011
SCZpooled	sbr	slope_PC2	EUR	4116	3447	1075055	-0.00174160602468172	0.0160037904349755	0.913347218795594	1	0.913347218795594	3.03319154520768e-06
SCZpooled	sbr	slope_PC3	EUR	4116	3447	1075055	-0.0102886195285039	0.015927779824345	0.518347073608184	1	0.518347073608184	0.000105855691802312
SCZpooled	sbr	baseline_thickness	full	8082	6789	1075055	-0.00326651787193296	0.0239664455211318	0.891591113762947	1	0.891591113762947	1.06701390076574e-05
SCZpooled	sbr	global_slope	full	8082	6789	1075055	-0.0708263151376722	0.0233395535176747	0.00241659062492397	1	0.00241659062492397	0.00501636691598085
SCZpooled	sbr	slope_PC1	full	8082	6789	1075055	0.0816406587396382	0.0241103153788188	0.000712448111597314	1	0.000712448111597314	0.00666519715944207
SCZpooled	sbr	slope_PC2	full	8082	6789	1075055	0.0328510373501167	0.0246289855428752	0.18229680549039	1	0.18229680549039	0.00107919065497876
SCZpooled	sbr	slope_PC3	full	8082	6789	1075055	-0.0474832653354084	0.0242308773379866	0.0500765779195219	1	0.0500765779195219	0.0022546604869128
