disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZIGAP	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0899680331589367	0.0415076562261323	0.0305330971577548	-0.0130752104573281	0.0170177793553194	0.442345530935088	-0.103043243616265	0.044866070414051	-2.29668528278318	0.0216367296094416
ALZIGAP	0p01	baseline_thickness	EUR	4116	3447	655	686	0.0928731372589968	0.0400585635896655	0.0207122239616096	0.00398763148709518	0.0176193204548525	0.820964603014394	-0.0888855057719017	0.0437213004316938	-2.03300233282787	0.0420522873168032
ALZIGAP	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0856868553218361	0.0438702994714883	0.0511943888971934	0.0164350243160338	0.0185250404775647	0.375043735995642	-0.0692518310058023	0.0475322304507206	-1.45694469519161	0.145131647076483
ALZIGAP	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0802921924913709	0.0443131767686205	0.0704260351323301	0.00900158421934508	0.0188061201481922	0.632216394432878	-0.0712906082720258	0.0480566368530543	-1.48347060760859	0.137949420009977
ALZIGAP	0p5	baseline_thickness	EUR	4116	3447	655	686	0.0405140283587725	0.0432090836470069	0.348758985478158	0.00926303830840943	0.0190135376892042	0.626160595742657	-0.0312509900503631	0.0471234479408795	-0.663172824059271	0.507219874323452
ALZIGAP	1	baseline_thickness	EUR	4116	3447	655	686	0.0421153806373005	0.0433091312828196	0.331169278560547	0.00926892507310991	0.0190117065983834	0.62590800965568	-0.0328464555641906	0.0472247594800401	-0.695534628992094	0.486720317363375
ALZIGAP	1e-5	baseline_thickness	EUR	4116	3447	655	686	0.0736475164109957	0.0415388472744569	0.0766684882797723	-0.0214498003262088	0.0169910798233459	0.206884486718963	-0.0950973167372044	0.0448826967760181	-2.11879685420367	0.0341076387299848
ALZIGAP	5e-8	baseline_thickness	EUR	4116	3447	655	686	0.0646635791079626	0.041601683038745	0.12055391744267	-0.0217482824044222	0.0169780808054199	0.200292656464935	-0.0864118615123849	0.044943678452375	-1.92266998358739	0.0545215088106901
ALZIGAP	0p001	baseline_thickness	full	8082	6789	1250	1339	0.0485993447665534	0.0384714235971193	0.206712073069803	-0.00356737033042838	0.0158259326340266	0.821664729634698	-0.0521667150969818	0.0414131451738473	-1.25966561771612	0.207790013498074
ALZIGAP	0p01	baseline_thickness	full	8082	6789	1250	1339	0.111223702868701	0.063959758694574	0.0822641595698757	0.016301945173998	0.0292006816662368	0.57667541333938	-0.0949217576947027	0.068500940808776	-1.38570005862667	0.165838510292624
ALZIGAP	0p05	baseline_thickness	full	8082	6789	1250	1339	0.0909444819708167	0.089014879655966	0.307106714335875	0.0615407838746987	0.0416398581168339	0.139468641730328	-0.029403698096118	0.0925253237057635	-0.317790815729796	0.750643617836663
ALZIGAP	0p1	baseline_thickness	full	8082	6789	1250	1339	0.111051924236431	0.0968673324963854	0.251804593470729	0.04515001397595	0.0460953819372387	0.32736881473439	-0.0659019102604808	0.0995769948525145	-0.661818629474504	0.508087465374844
ALZIGAP	0p5	baseline_thickness	full	8082	6789	1250	1339	0.0850851978783714	0.0998161245860601	0.394118954902357	0.0439932046644832	0.0495824171002449	0.37495941696303	-0.0410919932138882	0.101939422092668	-0.403102081317798	0.686873129541899
ALZIGAP	1	baseline_thickness	full	8082	6789	1250	1339	0.0890216555693797	0.0999866414535955	0.373430082806609	0.042978029798438	0.0497310923566796	0.387500766713392	-0.0460436257709417	0.102105232547685	-0.450942861811109	0.652030730673511
ALZIGAP	1e-5	baseline_thickness	full	8082	6789	1250	1339	0.0497184515135096	0.0293774794702912	0.0907985565532181	-0.00755682401388526	0.0119876561223489	0.528464800234314	-0.0572752755273948	0.0317303012797223	-1.80506560660984	0.0710644162802496
ALZIGAP	5e-8	baseline_thickness	full	8082	6789	1250	1339	0.0429848702418089	0.0294843996757664	0.145102795898624	-0.0064206787730585	0.0119398351904499	0.590765463174794	-0.0494055490148674	0.0318105352825103	-1.55311907127923	0.120394690702536
ALZIGAP	0p001	global_slope	EUR	4116	3447	655	686	0.0745085336115065	0.0536406924570437	0.16519648074981	-0.0268180888227077	0.0156036736479013	0.0857585280557033	-0.101326622434214	0.0558668216655499	-1.81371732655228	0.0697212561575866
ALZIGAP	0p01	global_slope	EUR	4116	3447	655	686	0.080796998707407	0.0517610952702668	0.118914354921838	-0.0221244001701426	0.0161805271046851	0.171605098081486	-0.10292139887755	0.0542033402078319	-1.89880178016554	0.0575905430642813
ALZIGAP	0p05	global_slope	EUR	4116	3447	655	686	0.0107220609647769	0.0566779033618802	0.850001469312292	-0.0327811338174572	0.0170030991575666	0.053943238916958	-0.0435031947822341	0.0591117918097093	-0.735947827842509	0.461762448934882
ALZIGAP	0p1	global_slope	EUR	4116	3447	655	686	0.0276254078293763	0.0572418207719045	0.629500497433391	-0.0335832592473962	0.0172418560451429	0.0515235725693721	-0.0612086670767725	0.05972607574666	-1.02482318336804	0.305446625344061
ALZIGAP	0p5	global_slope	EUR	4116	3447	655	686	0.0166930944957932	0.0557277184042786	0.764597216879526	-0.0417089785881255	0.0174258141286856	0.0167413329456201	-0.0584020730839187	0.0583326144660134	-1.00119073383803	0.316734605481322
