disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZIGAPnoAPOE	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0544044716456665	0.0383256469449397	0.156188790203932	-0.00363639346525861	0.0173151916168449	0.833670853181889	-0.0580408651109252	0.0420604328015134	-1.37993979721571	0.167605181831033
ALZIGAPnoAPOE	0p01	baseline_thickness	EUR	4116	3447	655	686	0.0737399592175657	0.0403376874352593	0.0679639244193453	0.011516541502401	0.017840215205309	0.518620940170401	-0.0622234177151647	0.0440465408849873	-1.41267433185367	0.157751502111822
ALZIGAPnoAPOE	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0688950109837497	0.0437287921632746	0.115590097348566	0.0211428969682645	0.0187058786368061	0.258435484017259	-0.0477521140154852	0.047464838042021	-1.00605239552719	0.314390366495852
ALZIGAPnoAPOE	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0645292142143433	0.0440536440982181	0.143428105108816	0.012270945611687	0.0189641986508897	0.517636765411061	-0.0522582686026563	0.0478760083732115	-1.09153353377507	0.275038184621348
ALZIGAPnoAPOE	0p5	baseline_thickness	EUR	4116	3447	655	686	0.0290933168456882	0.043136765489279	0.500251932322872	0.0115407770857768	0.019117511361564	0.546098624662685	-0.0175525397599114	0.0470965984436304	-0.372692303477499	0.709377465371248
ALZIGAPnoAPOE	1	baseline_thickness	EUR	4116	3447	655	686	0.0308895090411256	0.0432415188128301	0.475249984050763	0.0115319383405229	0.0191111731205349	0.546273059206961	-0.0193575707006027	0.0472008359602451	-0.410110759837107	0.681724700035242
ALZIGAPnoAPOE	1e-5	baseline_thickness	EUR	4116	3447	655	686	0.0295151782570629	0.0372796021776316	0.428790378850371	-0.0316152478618294	0.017072824606623	0.0641405336967025	-0.0611304261188923	0.0409969060834654	-1.49109852325044	0.135935629997174
ALZIGAPnoAPOE	5e-8	baseline_thickness	EUR	4116	3447	655	686	0.0222749761476482	0.0396044786741168	0.573999709333626	-0.0401631589773848	0.0170611478610739	0.018624515504736	-0.0624381351250331	0.0430885415829239	-1.44906587299714	0.147319187391284
ALZIGAPnoAPOE	0p001	baseline_thickness	full	8082	6789	1250	1339	0.0124078108199122	0.0297293475219078	0.676481530270281	0.00950390070781368	0.0120268719948521	0.429425437285928	-0.00290391011209848	0.0320769667337025	-0.0905294486291751	0.927866493403839
ALZIGAPnoAPOE	0p01	baseline_thickness	full	8082	6789	1250	1339	0.0407326372968485	0.0320485089000956	0.203956751188569	0.0242220105344743	0.0124537838921042	0.0518218022606159	-0.0165106267623742	0.0343868921110172	-0.480143035580827	0.63112568892075
