disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZIGAP	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0899680200630798	0.0415076555214337	0.0305331184751163	-0.0130752178204794	0.0170177793722717	0.442345274435148	-0.103043237883559	0.0448660697662794	-2.29668518816874	0.0216367350107284
ALZIGAP	0p01	baseline_thickness	EUR	4116	3447	655	686	0.092873092467123	0.0400585640668316	0.0207122865462868	0.0039876244753286	0.0176193203801229	0.820964911740152	-0.0888854679917944	0.0437213008428283	-2.03300144959832	0.0420523765493129
ALZIGAP	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0856869237048757	0.0438703025801353	0.0511942203418374	0.0164350200387326	0.0185250401035296	0.375043850624211	-0.0692519036661431	0.0475322331971054	-1.45694613966424	0.145131248315081
ALZIGAP	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0802922563698927	0.0443131807400584	0.0704258372761764	0.0090015902715865	0.0188061198165439	0.632216159463724	-0.0712906660983062	0.0480566403601804	-1.48347170264065	0.137949129277292
ALZIGAP	0p5	baseline_thickness	EUR	4116	3447	655	686	0.0405140503878211	0.0432090800188693	0.34875868309283	0.00926304288628681	0.0190135379676781	0.626160430207585	-0.0312510075015343	0.0471234447015996	-0.663173239974825	0.507219607978666
ALZIGAP	1	baseline_thickness	EUR	4116	3447	655	686	0.0421153916654168	0.0433091279089749	0.331169114351846	0.00926892658768085	0.0190117067877549	0.62590795666168	-0.0328464650777359	0.0472247564429323	-0.695534875175662	0.486720163140033
ALZIGAP	1e-5	baseline_thickness	EUR	4116	3447	655	686	0.0736475316241263	0.0415388506324916	0.0766684513502548	-0.0214498009551228	0.0169910795526269	0.206884466171861	-0.0950973325792491	0.0448826997729176	-2.11879706569326	0.0341076208490667
ALZIGAP	5e-8	baseline_thickness	EUR	4116	3447	655	686	0.0646635696514155	0.0416016832901351	0.120553973872042	-0.0217482816156917	0.0169780808149239	0.200292673033093	-0.0864118512671072	0.0449436786911634	-1.92266974541399	0.0545215387411879
ALZIGAP	0p001	baseline_thickness	full	8082	6789	1250	1339	0.0311575952685837	0.0305847114385346	0.308511347781445	0.0053203690285946	0.0118768495643472	0.654195339304412	-0.0258372262399891	0.0328111854165117	-0.787451776338047	0.431017447527698
ALZIGAP	0p01	baseline_thickness	full	8082	6789	1250	1339	0.0515912559583389	0.0314537018774683	0.101188312687453	0.021178803302666	0.0123276047054756	0.0858422246193282	-0.0304124526556729	0.0337825662588486	-0.900241042159046	0.367991989081418
ALZIGAP	0p05	baseline_thickness	full	8082	6789	1250	1339	0.0239037369386249	0.0355982840377	0.502024931089713	0.0338704830203891	0.0127350705890006	0.00784106770464572	0.00996674608176422	0.0378233313466542	0.263507885924117	0.792159146186354
ALZIGAP	0p1	baseline_thickness	full	8082	6789	1250	1339	0.0298754668566772	0.0364326233705195	0.412348326635769	0.0284518666215891	0.0128164357787785	0.0264548139124439	-0.00142360023508806	0.0386305826651671	-0.0368516376630196	0.970603301083425
ALZIGAP	0p5	baseline_thickness	full	8082	6789	1250	1339	0.0169447107085177	0.0366049380882546	0.643504385505398	0.0281053653864539	0.012866291200323	0.02896541217519	0.0111606546779361	0.0388107592515938	0.287565996985173	0.773678976339584
ALZIGAP	1	baseline_thickness	full	8082	6789	1250	1339	0.0194024155918089	0.0365703050094641	0.595816335176897	0.0276394436482616	0.0128684105878816	0.0317606091634728	0.00823702805645264	0.0387789456699653	0.212409799032579	0.831787341675455
ALZIGAP	1e-5	baseline_thickness	full	8082	6789	1250	1339	0.0369545559898329	0.0294883243686901	0.210350656970164	-0.00312116905104501	0.0118574554040544	0.792385758793032	-0.0400757250408779	0.0317846828045887	-1.26085024309547	0.207362807843385
ALZIGAP	5e-8	baseline_thickness	full	8082	6789	1250	1339	0.0316588824906821	0.0295170093370363	0.283656744578034	-0.00246854008329021	0.0118550969656119	0.835058695130714	-0.0341274225739723	0.0318104499031271	-1.07283684065775	0.283344328103037
ALZIGAP	0p001	global_slope	EUR	4116	3447	655	686	0.0745085515899939	0.0536406914979449	0.165196371324113	-0.0268180892190539	0.0156036736716312	0.0857585239035233	-0.101326640809048	0.0558668207498395	-1.81371768518506	0.06972120091567
ALZIGAP	0p01	global_slope	EUR	4116	3447	655	686	0.0807970347932137	0.051761095607981	0.118914192816026	-0.0221243978775925	0.01618052704832	0.171605140974205	-0.102921432670806	0.0542033405172603	-1.89880239277932	0.0575904624868458
ALZIGAP	0p05	global_slope	EUR	4116	3447	655	686	0.0107220546574178	0.056677902703181	0.850001554779188	-0.0327811402322302	0.0170030990914249	0.0539431910350691	-0.043503194889648	0.0591117911733464	-0.735947837582422	0.461762443007212
ALZIGAP	0p1	global_slope	EUR	4116	3447	655	686	0.0276253352193228	0.0572418211759625	0.629501400307692	-0.0335832694955069	0.0172418560297752	0.051523501180075	-0.0612086047148297	0.0597260761113214	-1.02482213297832	0.305447121055728
ALZIGAP	0p5	global_slope	EUR	4116	3447	655	686	0.0166931503356112	0.055727718447763	0.764596452913812	-0.0417089829227964	0.0174258140950287	0.0167413214023837	-0.0584021332584076	0.0583326144840939	-1.00119176510308	0.316734107003937
ALZIGAP	1	global_slope	EUR	4116	3447	655	686	0.000327753710647366	0.0558603060838002	0.995319940524445	-0.0438388791866713	0.0174187148548425	0.0118891494648402	-0.0441666328973187	0.058464102203932	-0.755448749443863	0.44997977230816
ALZIGAP	1e-5	global_slope	EUR	4116	3447	655	686	0.0672921594655526	0.0536714076403679	0.210276197170198	-0.0289120800730339	0.0155627010915061	0.0632866060877763	-0.0962042395385864	0.0558852435553888	-1.72146050402799	0.0851672932536993
ALZIGAP	5e-8	global_slope	EUR	4116	3447	655	686	0.0445010078679006	0.0537397885261167	0.407861943715141	-0.029563028062333	0.0155578342810784	0.0574908088264881	-0.0740640359302336	0.0559555828380682	-1.32362191891683	0.185628641868442
ALZIGAP	0p001	global_slope	full	8082	6789	1250	1339	0.0721966068723322	0.0377673530046176	0.0561044417325149	-0.0116400450329894	0.011227451751761	0.299890231254029	-0.0838366519053216	0.0394015112502864	-2.12775219135059	0.0333576351470207
ALZIGAP	0p01	global_slope	full	8082	6789	1250	1339	0.0508358597711467	0.0388941427193583	0.191390086204978	-0.0100514325037365	0.011654902763149	0.388486717644618	-0.0608872922748832	0.0406028267938627	-1.49958259270969	0.133722559567501
ALZIGAP	0p05	global_slope	full	8082	6789	1250	1339	0.0272483876249182	0.0439983096098659	0.535803389815661	-0.0234362399104559	0.0120377294869402	0.0515887255391563	-0.0506846275353741	0.0456271419371474	-1.11084379567744	0.266635591423098
ALZIGAP	0p1	global_slope	full	8082	6789	1250	1339	0.0410834524971317	0.0450241831275191	0.36165614546	-0.0165650027229697	0.0121083367106211	0.171337693338443	-0.0576484552201014	0.0466309846300659	-1.23626931057621	0.216358474697626
ALZIGAP	0p5	global_slope	full	8082	6789	1250	1339	0.030262749449949	0.0452320190100753	0.503556361785177	-0.019608803538301	0.0121567356181311	0.106792102104159	-0.0498715529882499	0.0468451887633536	-1.06460352289719	0.287055384944382
ALZIGAP	1	global_slope	full	8082	6789	1250	1339	0.0231488962165023	0.0451912088943766	0.608551403438692	-0.0204540804217481	0.0121576947520102	0.0925386237599515	-0.0436029766382504	0.0468061037242903	-0.931566038803234	0.351560841027681
ALZIGAP	1e-5	global_slope	full	8082	6789	1250	1339	0.0546488523118854	0.0364428677509607	0.133921858205004	-0.0149230275714582	0.0112016571541946	0.182834519329706	-0.0695718798833436	0.0381266068201037	-1.8247592871721	0.0680373621221737
ALZIGAP	5e-8	global_slope	full	8082	6789	1250	1339	0.0472136843466036	0.0364767182889831	0.195731077638931	-0.0192107337335057	0.011198826519944	0.0863137877102072	-0.0664244180801093	0.0381582582016368	-1.74076127188793	0.081725433103324
ALZIGAP	0p001	slope_PC1	EUR	4116	3447	655	686	-0.0191983781023319	0.0574622529076669	0.738390563935938	0.0224068124337153	0.0161297830658945	0.164877229944747	0.0416051905360472	0.0596856286658266	0.69707216738874	0.485757631301766
ALZIGAP	0p01	slope_PC1	EUR	4116	3447	655	686	-0.041561525300328	0.0554476980768254	0.453743418012157	0.0192164258204724	0.0167284743025987	0.250750351183602	0.0607779511208004	0.0578883659359625	1.04991650978772	0.293756500251786
ALZIGAP	0p05	slope_PC1	EUR	4116	3447	655	686	-0.0385683926148483	0.0606563482828754	0.525059439010673	0.0100919578839875	0.0175822323976256	0.566015552472555	0.0486603504988358	0.0630913317890678	0.771268399619794	0.440547858841429
ALZIGAP	0p1	slope_PC1	EUR	4116	3447	655	686	-0.0547955883634651	0.0612455313092158	0.371229857870654	0.0140217183971137	0.0178258957404206	0.431576386682933	0.0688173067605788	0.0637306597530505	1.07981475520948	0.280224679230822
ALZIGAP	0p5	slope_PC1	EUR	4116	3447	655	686	-0.0286703276739827	0.0596330801794272	0.630808041811483	0.0225111574718739	0.0180191320866716	0.211646216947153	0.0511814851458566	0.0622399487106907	0.822325310449128	0.410891775309257
ALZIGAP	1	slope_PC1	EUR	4116	3447	655	686	-0.0133585653550241	0.0597852009099425	0.823249324059166	0.0198800550288933	0.0180131757162041	0.26982952738915	0.0332386203839174	0.0623909094528162	0.532747810144592	0.594208165623931
