disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZnoAPOE	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0858563094064346	0.0394532402863796	0.0298778344544066	-0.00425902028936675	0.0171376582762011	0.803748166908528	-0.0901153296958013	0.0429769977937781	-2.09682700797792	0.0360088918472631
ALZnoAPOE	0p01	baseline_thickness	EUR	4116	3447	655	686	0.021479520183966	0.038849049939245	0.580510814054973	0.00717936924358997	0.0171068480367865	0.674746468467188	-0.014300150940376	0.0424398542668326	-0.336950990700074	0.736153845552312
ALZnoAPOE	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0197940475454074	0.0384670604877527	0.607015408397768	0.0164325183718456	0.0171396375987327	0.337754510212171	-0.00336152917356172	0.0421134313982496	-0.079820832973051	0.936379754873525
ALZnoAPOE	0p1	baseline_thickness	EUR	4116	3447	655	686	0.018941056941629	0.0382384062228093	0.620515126036378	0.023226567066647	0.0171840125370081	0.176579061480311	0.00428551012501793	0.0419213094393755	0.102227487221396	0.918576110395371
ALZnoAPOE	0p5	baseline_thickness	EUR	4116	3447	655	686	-0.021900377425758	0.0394093156893737	0.578583130630521	0.0145169740413966	0.0172327326621434	0.399618393801832	0.0364173514671546	0.0430099125804674	0.846719960172465	0.397151230462158
ALZnoAPOE	1	baseline_thickness	EUR	4116	3447	655	686	-0.0271997156455813	0.0397351165877365	0.493870232520064	0.0155207725918638	0.0172177426424064	0.367416832660672	0.0427204882374451	0.0433018367519586	0.986574506808023	0.323851272917811
ALZnoAPOE	1e-5	baseline_thickness	EUR	4116	3447	655	686	0.00708790305880902	0.0388788974775598	0.855394261655123	-0.0229872465447514	0.0172262368004597	0.182149834696987	-0.0300751496035605	0.0423870051631605	-0.709537026449309	0.477991282783281
ALZnoAPOE	5e-8	baseline_thickness	EUR	4116	3447	655	686	-0.00916333507464867	0.0381891102365476	0.810442330282766	-0.0450623171033694	0.0171296437700268	0.0085596219300842	-0.0358989820287208	0.0418459799577741	-0.857883650112763	0.390956713218497
ALZnoAPOE	0p001	baseline_thickness	full	8082	6789	1250	1339	0.0446672597344508	0.0298093995597011	0.134253262900653	0.0108128793750025	0.0125343459360927	0.388354843398579	-0.0338543803594483	0.0322936509454487	-1.04832929595467	0.294486916574836
ALZnoAPOE	0p01	baseline_thickness	full	8082	6789	1250	1339	0.0201831458513034	0.0317881933577741	0.525583293949258	0.0157346342554093	0.0133584333731046	0.238885355597502	-0.00444851159589406	0.0344286327859744	-0.12920965010572	0.897191760541418
ALZnoAPOE	0p05	baseline_thickness	full	8082	6789	1250	1339	0.0468333460669303	0.0335761683091769	0.163291707336201	0.0291457998914647	0.0141211010700265	0.0390563716223794	-0.0176875461754656	0.0363564723857729	-0.48650336555719	0.626610319715719
ALZnoAPOE	0p1	baseline_thickness	full	8082	6789	1250	1339	0.0401410341360587	0.0349861595417133	0.251442274134533	0.0249724479999467	0.0148360195085607	0.0923759922594983	-0.015168586136112	0.0379138390299734	-0.400080459383715	0.689097256155977
ALZnoAPOE	0p5	baseline_thickness	full	8082	6789	1250	1339	0.0343914829943867	0.0356463588808201	0.334817774354322	0.0170323692426584	0.015095901359949	0.25924235830818	-0.0173591137517283	0.0386074190060314	-0.449631552656146	0.652976132998709
ALZnoAPOE	1	baseline_thickness	full	8082	6789	1250	1339	0.0251503999217432	0.0356115046827706	0.480157262746702	0.0173218400834645	0.015023366722024	0.248953616305	-0.00782855983827875	0.038551717337381	-0.20306643591952	0.839083105399594
ALZnoAPOE	1e-5	baseline_thickness	full	8082	6789	1250	1339	0.0354034669748259	0.0288963511421705	0.220715702532635	9.36260605985696e-05	0.0123575874575625	0.993955184827874	-0.0353098409142273	0.0313909407029952	-1.12484175763673	0.260656095964711
ALZnoAPOE	5e-8	baseline_thickness	full	8082	6789	1250	1339	0.0132825420837244	0.0302354757704662	0.660511499392858	-0.0165980602242406	0.0126777916577618	0.190502964560419	-0.0298806023079651	0.0327749278444113	-0.911690864730925	0.361931474275718
ALZnoAPOE	0p001	global_slope	EUR	4116	3447	655	686	-0.0138720795107449	0.05095507091303	0.785504072996551	-0.0252168056448227	0.0157132238611401	0.108627267020684	-0.0113447261340778	0.0532948498001121	-0.212867212810007	0.83143053665398
ALZnoAPOE	0p01	global_slope	EUR	4116	3447	655	686	-0.0605354566272488	0.0500321475711275	0.226651151100403	-0.0216327098065173	0.015708828230739	0.168568725448601	0.0389027468207314	0.0524334591894373	0.741945075189096	0.458120614113964
