disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZnoAPOE	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0842176943889381	0.0392628657890733	0.0322991214906873	-0.00426448707970939	0.0171401376919409	0.803529262722959	-0.0884821814686475	0.0428040366617485	-2.06714572664869	0.0387204244666461
ALZnoAPOE	0p01	baseline_thickness	EUR	4116	3447	655	686	0.0217368907344186	0.0389418756780625	0.576894796979633	0.00613765988278265	0.0170993889260756	0.719661458389915	-0.0155992308516359	0.0425205197981987	-0.366863597285957	0.713720766172105
ALZnoAPOE	0p05	baseline_thickness	EUR	4116	3447	655	686	0.022010924183895	0.038523303612698	0.567935134460196	0.0154544712280492	0.0171306806724394	0.367038742853475	-0.00655645295584575	0.0421622026770341	-0.155505465548579	0.876422845472005
ALZnoAPOE	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0209717835703722	0.0382877552683999	0.584044590299923	0.0224225044397873	0.0171775975325526	0.191865488067363	0.00145072086941517	0.0419655376809348	0.0345693383090918	0.972423151364332
ALZnoAPOE	0p5	baseline_thickness	EUR	4116	3447	655	686	-0.0214409128554353	0.0394151427682485	0.586631253927431	0.0141683177578312	0.0172286188769738	0.410922386423486	0.0356092306132665	0.0430135418106076	0.827860927380895	0.407749265030368
ALZnoAPOE	1	baseline_thickness	EUR	4116	3447	655	686	-0.0265577523292179	0.0397423094162011	0.504195592726668	0.0153120671842627	0.017214085456796	0.37379194912939	0.0418698195134806	0.0433060399973565	0.966835561876275	0.33362624374996
ALZnoAPOE	1e-5	baseline_thickness	EUR	4116	3447	655	686	0.0119243003562247	0.0389587953921808	0.759638393239276	-0.0235563116196342	0.0172099085365741	0.171161455530991	-0.0354806119758588	0.0424450433725952	-0.835918853101397	0.403200555431607
ALZnoAPOE	5e-8	baseline_thickness	EUR	4116	3447	655	686	-0.00781506110213719	0.0382190614083556	0.838037426205592	-0.0450932531761367	0.0171251560848441	0.00849710840612523	-0.0372781920739995	0.0418719070627732	-0.890291240332403	0.373309523446848
ALZnoAPOE	0p001	baseline_thickness	full	8082	6789	1250	1339	0.0420275830444746	0.0285370388971049	0.141052145457907	0.00931207931253267	0.0119127266910787	0.434422952930415	-0.0327155037319419	0.0309069612082428	-1.05851570173831	0.289820396134983
ALZnoAPOE	0p01	baseline_thickness	full	8082	6789	1250	1339	0.0219491945846832	0.0292141582099768	0.452589357779012	0.0183429013616172	0.0119123321038069	0.123649439501811	-0.00360629322306597	0.0315447519941947	-0.114323080546953	0.908981686815412
ALZnoAPOE	0p05	baseline_thickness	full	8082	6789	1250	1339	0.048880267541928	0.0294148712885069	0.0967919761201053	0.0306476319262577	0.0119132622595107	0.010115730303607	-0.0182326356156703	0.0317327997613544	-0.574567505949311	0.565583833373358
ALZnoAPOE	0p1	baseline_thickness	full	8082	6789	1250	1339	0.0325010980281822	0.0293861667040286	0.268921509535635	0.0262780241143298	0.0119480121094475	0.0278854431067591	-0.00622307391385239	0.0317207779500863	-0.196182890711086	0.844467019080983
ALZnoAPOE	0p5	baseline_thickness	full	8082	6789	1250	1339	0.0289630564179764	0.0294465621644749	0.325496241580903	0.0207830784900893	0.0119815991694372	0.0828599243577004	-0.00817997792788709	0.0317956793347717	-0.257266965167229	0.796972692334917
ALZnoAPOE	1	baseline_thickness	full	8082	6789	1250	1339	0.0200397683580293	0.0294895298526041	0.496901267173313	0.0211503569341197	0.0119831911350466	0.077608263625713	0.00111058857609038	0.0318339543446312	0.0348869186676358	0.972169911655529
ALZnoAPOE	1e-5	baseline_thickness	full	8082	6789	1250	1339	0.0386023734748374	0.0279412939234662	0.167334741494017	0.000555314985416042	0.01191327388326	0.962822929032583	-0.0380470584894214	0.0303444644960374	-1.25383852117047	0.209900704624217
