disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ASD	0p001	baseline_thickness	EUR	4116	3447	655	686	-0.0749039613450851	0.0397239573625284	0.059758943480709	-0.0360659639114292	0.0174230834973914	0.0385248923554719	0.0388379974336559	0.0431479225795366	0.900112800611987	0.368060224582581
ASD	0p01	baseline_thickness	EUR	4116	3447	655	686	-0.0502435719381375	0.0426037817642765	0.238669687448668	-0.0187741079713193	0.0172051846056038	0.275265301580692	0.0314694639668182	0.0458388568125571	0.68652375201027	0.49238289165027
ASD	0p05	baseline_thickness	EUR	4116	3447	655	686	-0.0397147594050824	0.0410194667561806	0.333282273595851	-0.00161896818573837	0.017133507002209	0.924724320116387	0.038095791219344	0.0444103686202063	0.85781299284264	0.390995734133448
ASD	0p1	baseline_thickness	EUR	4116	3447	655	686	-0.0640347581890928	0.0404779304642303	0.114108446251101	0.0079389151396339	0.0171906931679804	0.644243275245479	0.0719736733287267	0.0439215930403337	1.63868540156621	0.10127879591365
ASD	0p5	baseline_thickness	EUR	4116	3447	655	686	-0.0736060430385572	0.0396253185341716	0.0636536562737463	0.0215451284929724	0.0171181180438435	0.208254120097292	0.0951511715315296	0.0431484794161325	2.20520335407125	0.0274398279403516
ASD	1	baseline_thickness	EUR	4116	3447	655	686	-0.0718852615715679	0.0393404498193667	0.068087451141581	0.0209688398682059	0.0171248205983866	0.220858087626824	0.0928541014397738	0.042885941187686	2.16514080997796	0.0303769035205464
ASD	1e-5	baseline_thickness	EUR	4116	3447	655	686	-0.0319134830468614	0.0387640399801561	0.410612687829613	-0.0567392680015547	0.0191596866814285	0.00308242356791683	-0.0248257849546933	0.0416451081370789	-0.596127277974085	0.551090202496387
ASD	5e-8	baseline_thickness	EUR	4116	3447	655	686	-0.0129611852961949	0.0382484827505372	0.734808697902861	-0.0245726995490451	0.0176587126393518	0.164151004769411	-0.0116115142528501	0.041667032654895	-0.278673894275647	0.780495098499478
ASD	0p001	baseline_thickness	full	8082	6789	1250	1339	-0.00594844227126568	0.0295199340783124	0.84033299519545	-0.011751580359535	0.0123187541449748	0.34013838446693	-0.00580313808826934	0.0319409018771443	-0.181683601502243	0.855831035887399
ASD	0p01	baseline_thickness	full	8082	6789	1250	1339	0.00415134236928692	0.0307492467899048	0.892626809362649	0.00365921194809449	0.0120869854028647	0.762097383295386	-0.000492130421192429	0.033003779387005	-0.0149113353177425	0.98810291665261
ASD	0p05	baseline_thickness	full	8082	6789	1250	1339	0.00142291956861801	0.0321052740752901	0.964655478996389	0.00290042493007333	0.0128798090849884	0.821836968161198	0.00147750536145532	0.0345327079155913	0.0427856791615301	0.965872379909545
ASD	0p1	baseline_thickness	full	8082	6789	1250	1339	-0.0256756341658788	0.032052929096005	0.42324889188826	0.00534140852900679	0.0130109187843052	0.681428058261249	0.0310170426948856	0.0345237343459377	0.898426641338565	0.368958138507282
ASD	0p5	baseline_thickness	full	8082	6789	1250	1339	-0.0314438023165793	0.032843038545992	0.33853708048157	0.0210290952124176	0.0134741657922626	0.118641416661525	0.0524728975289969	0.035436780434619	1.48074675197454	0.138674070616038
ASD	1	baseline_thickness	full	8082	6789	1250	1339	-0.0253230774254955	0.0328306165521068	0.440647999385053	0.0219588747912244	0.0135435376308261	0.104987693368378	0.0472819522167199	0.0354463481665042	1.33390192960413	0.182235999109901
ASD	1e-5	baseline_thickness	full	8082	6789	1250	1339	-0.0561853110427803	0.029132770800889	0.0539851173492965	-0.0452214525159807	0.0129103950229937	0.000463475530085477	0.0109638585267995	0.0315112138365379	0.347935137747272	0.727888895901527
ASD	5e-8	baseline_thickness	full	8082	6789	1250	1339	-0.0461324970444354	0.0289091202620019	0.110770321870706	-0.020862550930173	0.0120458832246641	0.0833321776207282	0.0252699461142624	0.0312782980593014	0.807906685534885	0.41914430236283
ASD	0p001	global_slope	EUR	4116	3447	655	686	0.0643442953204501	0.0512176637042243	0.209363870615622	0.0140799569255592	0.0159850125098862	0.378476184487304	-0.0502643383948908	0.0534936079828927	-0.939632608272851	0.347406044080987
ASD	0p01	global_slope	EUR	4116	3447	655	686	0.0474240266596548	0.0548941259434219	0.387882619341094	-0.0101572353595795	0.0157811607433176	0.519858350445811	-0.0575812620192343	0.0570400560442573	-1.00948817396948	0.312740570399392
ASD	0p05	global_slope	EUR	4116	3447	655	686	-0.0248233009835918	0.0528675715415958	0.638809000233311	0.00217011675861003	0.0157000638424685	0.890072034338344	0.0269934177422018	0.0551197072844193	0.489723532146407	0.624329547577476
ASD	0p1	global_slope	EUR	4116	3447	655	686	-0.0225494201098804	0.0522317466906848	0.666058084402242	-0.00656153898509254	0.0157381297332854	0.67676360845274	0.0159878811247879	0.0545125106804623	0.293288291535581	0.769301802363786
ASD	0p5	global_slope	EUR	4116	3447	655	686	-0.0468383527209799	0.0511720309175421	0.36029472912153	0.00620621924310473	0.0156873586205763	0.69241090913796	0.0530445719640846	0.0535119377686011	0.991266139407293	0.321555642383284
ASD	1	global_slope	EUR	4116	3447	655	686	-0.0378455215833376	0.0508113102529661	0.456589144994164	0.00422804742934571	0.0156922934685863	0.787611635969095	0.0420735690126833	0.0531653969034414	0.791371295301285	0.428727355387815
ASD	1e-5	global_slope	EUR	4116	3447	655	686	-0.038644192986905	0.049486714386052	0.435075309563775	0.0372819663313951	0.0176990702786622	0.0352370625339532	0.0759261593183002	0.051399887414155	1.47716586821533	0.1396311805967
ASD	5e-8	global_slope	EUR	4116	3447	655	686	0.00540484277460203	0.0491425311577509	0.912449163213858	-0.00160561042843549	0.0162556708271023	0.92132471519901	-0.00701045320303752	0.0514275834001145	-0.136316986713047	0.891570695776846
ASD	0p001	global_slope	full	8082	6789	1250	1339	0.0301316883276184	0.036442053168198	0.408451871206754	0.00476021891107834	0.0116431742869435	0.682668588083626	-0.0253714694165401	0.0382224171394365	-0.663785059013516	0.506827889702528
ASD	0p01	global_slope	full	8082	6789	1250	1339	-0.0213557117675987	0.0379757759196189	0.573955758448703	-0.0112262197377571	0.0114146333255511	0.325400061883299	0.0101294920298416	0.0396273434686095	0.255618750670622	0.798245238376329
ASD	0p05	global_slope	full	8082	6789	1250	1339	-0.0159507444547284	0.0396525391495425	0.687544324796878	-0.00944035091577	0.0121638349276558	0.437717439719438	0.00651039353895836	0.0414318940784007	0.157134827740168	0.875138589950115
ASD	0p1	global_slope	full	8082	6789	1250	1339	-0.00532874562126601	0.0395967122288634	0.892964473491233	-0.011993526439648	0.0122901437286351	0.329166367664216	-0.00666478081838201	0.0414091578522787	-0.160949441236107	0.872133221406175
ASD	0p5	global_slope	full	8082	6789	1250	1339	-0.0219741665288941	0.0405766235805224	0.588205704332078	-0.00734942431296392	0.0127359085769301	0.563916064054389	0.0146247422159302	0.0424816764429479	0.344260006677724	0.730650758162561
ASD	1	global_slope	full	8082	6789	1250	1339	-0.0177622902462041	0.0405581526039799	0.661484372865553	-0.00805511916021019	0.0128032432362473	0.529274307256927	0.00970717108599392	0.0424801426848659	0.228510792866339	0.819249166573097
ASD	1e-5	global_slope	full	8082	6789	1250	1339	0.0266747104318311	0.0359472805825595	0.458164197623127	0.0370997551351504	0.0122049692775767	0.00237705192990151	0.0104250447033193	0.0376945133517915	0.276566634672413	0.782112887347193
ASD	5e-8	global_slope	full	8082	6789	1250	1339	0.0779690388699598	0.0356774993632135	0.0290055717514876	-0.00177623997023617	0.0113931349468755	0.87611301036685	-0.0797452788401959	0.0374239754320941	-2.13086070946402	0.0331006191081316
ASD	0p001	slope_PC1	EUR	4116	3447	655	686	0.0163909995042922	0.0549073491122986	0.765384692251534	-0.0140533298141237	0.0165201613845938	0.395010143826345	-0.0304443293184158	0.057178379856836	-0.532444770114906	0.5944179843919
ASD	0p01	slope_PC1	EUR	4116	3447	655	686	0.019088860064632	0.0588378049447854	0.745697925952615	0.0141294248385573	0.0163084962546716	0.386342103505552	-0.00495943522607468	0.0609783611148635	-0.0813310678641019	0.935178667240967
ASD	0p05	slope_PC1	EUR	4116	3447	655	686	-0.00577543170366104	0.0566564351014667	0.918832244090534	0.002433677613604	0.0162231627283796	0.880763914483809	0.00820910931726504	0.0589036396589522	0.139365060712635	0.889161680393733
ASD	0p1	slope_PC1	EUR	4116	3447	655	686	0.0345615397976224	0.0559598969024977	0.537010955521869	0.0074169322752628	0.0162596605191829	0.648308597079941	-0.0271446075223596	0.0582354467516827	-0.466118301420521	0.641130823990857
ASD	0p5	slope_PC1	EUR	4116	3447	655	686	0.0428698489746976	0.0548318985446932	0.434545439790738	-0.0143407212609536	0.0162088588852749	0.376358350690678	-0.0572105702356512	0.0571668962509223	-1.00076397334109	0.316940930724672
ASD	1	slope_PC1	EUR	4116	3447	655	686	0.0361703666441354	0.0544434129186992	0.506652612004933	-0.0138513209234273	0.0162135939987582	0.392999391280784	-0.0500216875675626	0.0567925075429784	-0.880779696682845	0.378437070988076
ASD	1e-5	slope_PC1	EUR	4116	3447	655	686	0.0772453709228104	0.0529440520867394	0.144954077286143	0.0216479717151224	0.0183113049481393	0.237200739836192	-0.055597399207688	0.0548579456623387	-1.0134794246562	0.310831219078788
ASD	5e-8	slope_PC1	EUR	4116	3447	655	686	0.0314156293251779	0.0526217593689502	0.550673185804221	0.0294960005552474	0.0168003502535063	0.0792333636722748	-0.00191962876993054	0.0549035623030505	-0.0349636469731197	0.972108728651364
ASD	0p001	slope_PC1	full	8082	6789	1250	1339	0.0219678894138383	0.0381383982033338	0.564694903168254	0.00147352343244956	0.0120160164241292	0.90240383212178	-0.0204943659813888	0.03995146626342	-0.512981572347287	0.607964211072269
ASD	0p01	slope_PC1	full	8082	6789	1250	1339	0.0761457975169919	0.0396890776030477	0.055222423170219	0.0168153424118641	0.0117788299445561	0.153456951259201	-0.0593304551051278	0.0413726800969717	-1.43404911081578	0.151558248599422
ASD	0p05	slope_PC1	full	8082	6789	1250	1339	0.0457776713316626	0.0414744892786093	0.26986928249848	0.0181364129841629	0.0125514056253776	0.148513429071095	-0.0276412583474997	0.0432868759121627	-0.638559788966731	0.523109347230774
ASD	0p1	slope_PC1	full	8082	6789	1250	1339	0.0657421844153702	0.0414056773219054	0.112543498257793	0.023839358129437	0.0126801857359225	0.0601453140732367	-0.0419028262859332	0.043251829636293	-0.968810490522513	0.332639751489241
ASD	0p5	slope_PC1	full	8082	6789	1250	1339	0.0651702986556765	0.0424369677112333	0.124815377946226	0.00785789346083683	0.0131429471944256	0.549940937474436	-0.0573124051948397	0.0443779603986091	-1.29146100181377	0.196543869604554
