disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
MDDpooled	0p001	baseline_thickness	EUR	4116	3447	655	686	-0.0597914095768975	0.0408193338194961	0.143430777937045	-0.0214743057215591	0.017231887009436	0.212776925149856	0.0383171038553384	0.044262350403634	0.865681634750975	0.386664774036635
MDDpooled	0p01	baseline_thickness	EUR	4116	3447	655	686	0.0132371807872034	0.0414250386727936	0.749408352323978	-0.0283390171886695	0.0171832350002094	0.0991922210831456	-0.041576197975873	0.0448188798656691	-0.927649198295113	0.353589568497398
MDDpooled	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0263440274387591	0.0416142798835489	0.526906018120522	-0.0232290183022105	0.0172513357848028	0.178227458586033	-0.0495730457409696	0.0450468552016378	-1.1004773922413	0.27112417462714
MDDpooled	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0149876631333801	0.0418646090324864	0.720448801470859	-0.0239977397915381	0.0172768702871636	0.164918934079806	-0.0389854029249182	0.0452837155905752	-0.860914401931987	0.389285188996021
MDDpooled	0p5	baseline_thickness	EUR	4116	3447	655	686	0.0174725633183811	0.0424300729937986	0.680614622775198	-0.0275431817939127	0.0173047025172721	0.111552745441549	-0.0450157451122939	0.0458115621553947	-0.982628467451047	0.325790328351667
MDDpooled	1	baseline_thickness	EUR	4116	3447	655	686	0.0111244231482317	0.0425095079545629	0.793635498122369	-0.0255847793983346	0.0172937932662276	0.139119233644013	-0.0367092025465663	0.0458798246432625	-0.800116452754512	0.423643329551155
MDDpooled	1e-5	baseline_thickness	EUR	4116	3447	655	686	-0.0425152324740139	0.040427806421296	0.293330374349364	0.0105400871824198	0.0172191238012358	0.540501874672606	0.0530553196564338	0.0438539933945114	1.20981729483897	0.226349008318526
MDDpooled	5e-8	baseline_thickness	EUR	4116	3447	655	686	-0.0774568995045159	0.0419615718458335	0.0653286944253757	-0.0148458784667225	0.017135951260167	0.38635339385561	0.0626110210377934	0.0451997206527604	1.38520814141292	0.165988831977343
MDDpooled	0p001	baseline_thickness	full	8082	6789	1250	1339	-0.0416940389299264	0.0421058038438417	0.322242009918223	-0.0303450167456517	0.0170694845893318	0.075491586133753	0.0113490221842746	0.0452608342126934	0.25074708369144	0.802009655749563
MDDpooled	0p01	baseline_thickness	full	8082	6789	1250	1339	0.0149455489896127	0.046831129942549	0.749671398143623	-0.0383304030035451	0.018767319877259	0.0411495458619006	-0.0532759519931577	0.0502110759223909	-1.06103984060218	0.28867179571114
MDDpooled	0p05	baseline_thickness	full	8082	6789	1250	1339	0.0467371175600072	0.0535119261596454	0.382600437515962	-0.0500300169350911	0.0218605105495257	0.0221321717819788	-0.0967671344950982	0.0572224683440478	-1.69106886325297	0.0908236511936594
MDDpooled	0p1	baseline_thickness	full	8082	6789	1250	1339	0.0463725474427812	0.0566937237857115	0.413528901722112	-0.0591078688086357	0.0233212257234689	0.0112820098737514	-0.105480416251417	0.0605277982785382	-1.74267723676343	0.0813900100421953
