disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
MDDpooled	0p001	baseline_thickness	EUR	4116	3447	655	686	-0.0597914407185075	0.040819333015311	0.14343056190052	-0.0214743024961332	0.0172318869994446	0.212776993577545	0.0383171382223743	0.0442623496636294	0.865682425663446	0.38666434018906
MDDpooled	0p01	baseline_thickness	EUR	4116	3447	655	686	0.0132371776262162	0.0414250341685787	0.749408383812618	-0.0283390164345519	0.0171832352842944	0.0991922356593672	-0.0415761940607681	0.0448188758451915	-0.927649194155966	0.353589570645172
MDDpooled	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0263439979721219	0.0416142805119032	0.52690648647497	-0.0232290181694752	0.0172513357343962	0.17822745979729	-0.0495730161415971	0.0450468557516913	-1.10047672172404	0.271124466621126
MDDpooled	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0149876959499172	0.0418646090390567	0.720448215155533	-0.0239977426185848	0.0172768703124601	0.164918884945649	-0.0389854385685019	0.0452837155947395	-0.860915188969847	0.389284755493393
MDDpooled	0p5	baseline_thickness	EUR	4116	3447	655	686	0.0174725036768836	0.0424300769818411	0.680615681030131	-0.0275431834120753	0.0173047021953518	0.111552717756379	-0.0450156870889589	0.0458115657372984	-0.982627124056327	0.325790989769007
MDDpooled	1	baseline_thickness	EUR	4116	3447	655	686	0.0111244122761176	0.0425095079574606	0.793635695250985	-0.0255847823529246	0.0172937932670417	0.139119188030422	-0.0367091946290422	0.0458798246377607	-0.800116280279529	0.423643429470943
MDDpooled	1e-5	baseline_thickness	EUR	4116	3447	655	686	-0.042515204907666	0.0404278015079221	0.293330628430841	0.0105400948224222	0.0172191241253821	0.540501588795462	0.0530552997300883	0.0438539889823758	1.20981696217898	0.226349135995168
MDDpooled	5e-8	baseline_thickness	EUR	4116	3447	655	686	-0.0774568686591005	0.0419615726843871	0.0653288066863382	-0.0148458858280806	0.0171359512481895	0.386353158049423	0.0626109828310199	0.0451997214189206	1.38520727264507	0.165989097548919
MDDpooled	0p001	baseline_thickness	full	8082	6789	1250	1339	-0.0399817055275934	0.0307983316471996	0.194445999184907	-0.00961779207699485	0.0119384395261508	0.420492703789181	0.0303639134505985	0.0330440975854463	0.918890684549116	0.358152752883763
MDDpooled	0p01	baseline_thickness	full	8082	6789	1250	1339	-0.00340830243964478	0.0311673237343821	0.912937004742403	-0.0106709545683785	0.0119559255408079	0.37214340036718	-0.00726265212873371	0.0334015708745537	-0.217434448098566	0.827869787601713
MDDpooled	0p05	baseline_thickness	full	8082	6789	1250	1339	0.011777346089312	0.0319693394631449	0.712635871721337	-0.0109039544425238	0.0120048875641376	0.363755514580218	-0.0226813005318358	0.0341601815063261	-0.663968970060521	0.506710171400213
MDDpooled	0p1	baseline_thickness	full	8082	6789	1250	1339	0.0107182574244408	0.0321376070224373	0.738799573378168	-0.0129077789825161	0.0120175238528317	0.282824829766117	-0.0236260364069569	0.0343241320584008	-0.688321451705126	0.491250375816096
MDDpooled	0p5	baseline_thickness	full	8082	6789	1250	1339	0.00872696755042163	0.032893914105067	0.790813503187519	-0.0148086355531398	0.0120448270387366	0.218941668658123	-0.0235356031035614	0.0350434288480568	-0.671612449957689	0.501830450303886
MDDpooled	1	baseline_thickness	full	8082	6789	1250	1339	0.0065385563857355	0.0327702818479882	0.841880268528382	-0.0147151882152774	0.0120420786883657	0.22175710479936	-0.0212537446010129	0.0349262234520886	-0.608532572385577	0.542834309546421
MDDpooled	1e-5	baseline_thickness	full	8082	6789	1250	1339	-0.0498714833240033	0.0297601631114777	0.09401035030589	0.0147045101299568	0.0118889258742562	0.216195114564986	0.0645759934539601	0.0320573406915659	2.01439021643332	0.0439685807283067
MDDpooled	5e-8	baseline_thickness	full	8082	6789	1250	1339	-0.0562074683470549	0.0300916538575759	0.061993869087673	0.0016183064374905	0.0118527893610621	0.891403339562183	0.0578257747845454	0.0323436637089082	1.78785481153203	0.0737994350601208
MDDpooled	0p001	global_slope	EUR	4116	3447	655	686	-0.0278868104189722	0.0526487155338884	0.59647764982513	-0.0270711817880137	0.0157807872256184	0.0863540086030904	0.000815628630958496	0.0549310338018384	0.0148482301261769	0.98815326173695
MDDpooled	0p01	global_slope	EUR	4116	3447	655	686	-0.0903540753316399	0.0532975786795098	0.0903999787545404	-0.0096848923811683	0.0157523583801673	0.538713608588084	0.0806691829504716	0.0555559318179997	1.45203545887309	0.146491746046596
MDDpooled	0p05	global_slope	EUR	4116	3447	655	686	-0.0790875554107782	0.0535749929310739	0.140269983504334	-0.0159229628915088	0.015819126957748	0.314215703003767	0.0631645925192694	0.0558592713271904	1.13078081791094	0.258147355514582
MDDpooled	0p1	global_slope	EUR	4116	3447	655	686	-0.094705319876191	0.0538656695286609	0.0790879216860415	-0.0110435699651027	0.0158417791070623	0.485777229866083	0.0836617499110883	0.0561422252400456	1.49017516768134	0.136178183903675
MDDpooled	0p5	global_slope	EUR	4116	3447	655	686	-0.107806130983528	0.0545798811773584	0.0485787580748619	-0.00757861993285259	0.0158554982338193	0.632694901469629	0.100227511050676	0.0568273172840191	1.76372061608585	0.077779028396842
MDDpooled	1	global_slope	EUR	4116	3447	655	686	-0.106552422516704	0.0546799497568726	0.0516753411893601	-0.00824315164874718	0.0158432146400228	0.602891749688545	0.098309270867957	0.0569192225618795	1.72717170831138	0.084136830247957
MDDpooled	1e-5	global_slope	EUR	4116	3447	655	686	-0.0654325120122112	0.0520477183717462	0.209048164471311	-0.0188773815580476	0.0157589462553069	0.231046825794841	0.0465551304541636	0.0543179732920645	0.857085189902787	0.391397805456698
MDDpooled	5e-8	global_slope	EUR	4116	3447	655	686	-0.0999435911071501	0.0540592978804038	0.0648468232779482	-0.00884894694240777	0.0157134979295629	0.573374503740723	0.0910946441647424	0.0562062864539187	1.62071985025069	0.105077734469582
MDDpooled	0p001	global_slope	full	8082	6789	1250	1339	-0.0134113455897511	0.0380593855301515	0.724600105768466	-0.0143925600885033	0.0112751082294056	0.201826686707191	-0.000981214498752157	0.0397043686083965	-0.0247130110147289	0.980283876961699
MDDpooled	0p01	global_slope	full	8082	6789	1250	1339	-0.0440695118372713	0.0384815843724033	0.252293298466585	-0.0167132501174648	0.011296259593101	0.139043271307686	0.0273562617198065	0.0401204239119396	0.681853755579722	0.495331429330881
MDDpooled	0p05	global_slope	full	8082	6789	1250	1339	-0.0326860956165759	0.039489357190523	0.407953113081783	-0.0172129982350611	0.0113428558953614	0.129182683967681	0.0154730973815148	0.0410946662827658	0.376523251826572	0.706527932684172
MDDpooled	0p1	global_slope	full	8082	6789	1250	1339	-0.0487458287411665	0.0396899083274451	0.219565228408648	-0.0177901508438481	0.011357000166433	0.117290683349809	0.0309556778973184	0.041292775240084	0.749663293816805	0.453457520028056
MDDpooled	0p5	global_slope	full	8082	6789	1250	1339	-0.0452977662662064	0.0406269107126845	0.265031160139028	-0.0173972828688647	0.0113790467792341	0.126339411082724	0.0279004833973417	0.0422006761733955	0.661138302208792	0.508523623875814
MDDpooled	1	global_slope	full	8082	6789	1250	1339	-0.0435747038205181	0.0404747363791687	0.281825901951228	-0.0176742099240089	0.0113756486125095	0.120305970564119	0.0259004938965092	0.0420530810479099	0.615900030416356	0.537960501493331
MDDpooled	1e-5	global_slope	full	8082	6789	1250	1339	-0.0471136465861045	0.0367685607596103	0.200253930903497	-0.0127921457180006	0.0112255358126337	0.25451146605598	0.0343215008681039	0.0384522434060477	0.89257473239405	0.372084955487684
MDDpooled	5e-8	global_slope	full	8082	6789	1250	1339	-0.0727969193163458	0.0371595573185062	0.0502822606435643	-0.00871340490232012	0.0111945385002513	0.436383022398917	0.0640835144140257	0.0388105119810608	1.65118961701144	0.0986998625754282
MDDpooled	0p001	slope_PC1	EUR	4116	3447	655	686	-0.0112147933074305	0.0564541881148156	0.842586034433223	0.0039356403718189	0.0163102700999857	0.809339020530432	0.0151504336792494	0.0587311793198345	0.257962360958974	0.796435955913196
MDDpooled	0p01	slope_PC1	EUR	4116	3447	655	686	0.0154983142572695	0.0572113587728966	0.78654292745139	0.00606253986443915	0.0162785277196623	0.709599932308071	-0.00943577439283035	0.0594613310302516	-0.158687574417562	0.873915028303221
MDDpooled	0p05	slope_PC1	EUR	4116	3447	655	686	0.0343409489314903	0.0574699646450729	0.550316430106298	0.00724817935727831	0.0163506700598949	0.657580861141645	-0.027092769574212	0.0597480658082221	-0.453450152866433	0.650224629439218
MDDpooled	0p1	slope_PC1	EUR	4116	3447	655	686	0.0584441691174107	0.0577825366338699	0.312115043988599	0.00894219448588632	0.0163728584164365	0.584992949001038	-0.0495019746315243	0.0600526596426279	-0.824309446510938	0.409763752439237
MDDpooled	0p5	slope_PC1	EUR	4116	3447	655	686	0.0927352192896894	0.058521831782654	0.113458428086605	0.00941795122288064	0.016383994188006	0.565448115353383	-0.0833172680668088	0.0607629812890606	-1.37118466374211	0.170317397749524
MDDpooled	1	slope_PC1	EUR	4116	3447	655	686	0.0925189606827513	0.0586251422033017	0.114939542464466	0.00890486644686716	0.0163712920675374	0.586525339641304	-0.0836140942358841	0.0608582870316342	-1.37391468465784	0.169468170203129
MDDpooled	1e-5	slope_PC1	EUR	4116	3447	655	686	0.0271121564455676	0.0558396039217729	0.627432290315444	-0.00288307139218369	0.0162826305026356	0.859468954734478	-0.0299952278377513	0.0581017915115572	-0.516253063070953	0.605677673748563
MDDpooled	5e-8	slope_PC1	EUR	4116	3447	655	686	0.0774133996012928	0.0579877280453329	0.182267698484399	0.00468689275821409	0.0162394469721519	0.772896658615298	-0.0727265068430787	0.0601280098310779	-1.20952792296626	0.226460090172899
MDDpooled	0p001	slope_PC1	full	8082	6789	1250	1339	0.0233018979821251	0.0398252944859347	0.558562885008992	0.00408709356028347	0.011636708607552	0.725431319794436	-0.0192148044218416	0.0415007530272935	-0.462998934241139	0.643365131026552
MDDpooled	0p01	slope_PC1	full	8082	6789	1250	1339	0.0264483950197921	0.0402797803396863	0.51152367433309	0.0173228723137554	0.0116577383494626	0.137338380551368	-0.00912552270603669	0.0419482291495885	-0.217542501579621	0.827785588493654
MDDpooled	0p05	slope_PC1	full	8082	6789	1250	1339	0.0404750389601271	0.0413167366413252	0.327421307388867	0.0144852373288117	0.0117066619532257	0.216000788101911	-0.0259898016313154	0.0429519134520985	-0.605090659355611	0.54511876023619
MDDpooled	0p1	slope_PC1	full	8082	6789	1250	1339	0.0582341258004344	0.041523436305291	0.160982681233021	0.0165049207096635	0.0117211933196606	0.159140225629414	-0.041729205090771	0.0431562175734905	-0.966933791630615	0.333577132662405
MDDpooled	0p5	slope_PC1	full	8082	6789	1250	1339	0.0704979913469449	0.0424930126798038	0.0973069322177906	0.0157554400127975	0.0117433933538337	0.179757637865419	-0.0547425513341474	0.044096355177479	-1.24143029767017	0.214446832464182
MDDpooled	1	slope_PC1	full	8082	6789	1250	1339	0.0688693088786903	0.042333623233569	0.103976651730603	0.0157462596135459	0.0117399362217897	0.179883200367082	-0.0531230492651444	0.0439416568638614	-1.20894506617555	0.226683950813521
MDDpooled	1e-5	slope_PC1	full	8082	6789	1250	1339	0.0297196503810496	0.038492408211665	0.440176943474799	-0.0021604044508681	0.0115849687155748	0.85207140944874	-0.0318800548319177	0.0402064217150784	-0.792909527185352	0.427830536167495
