disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZeur	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0347780052188553	0.0401921559003672	0.387160809574777	-0.00556591201655839	0.0181672856058776	0.759341037939011	-0.0403439172354137	0.0432110709712348	-0.933647704827086	0.350485648886842
SCZeur	0p01	baseline_thickness	EUR	4116	3447	655	686	0.0119933460602442	0.0406328679177322	0.767954163154932	-0.00295443218381858	0.0177363669950827	0.867714223161183	-0.0149477782440628	0.0437991411893886	-0.341280167559181	0.732892676649137
SCZeur	0p05	baseline_thickness	EUR	4116	3447	655	686	0.00918960853206242	0.0403462950222304	0.819891887006813	0.00803347790177554	0.0174580317927373	0.645430436908695	-0.00115613063028688	0.0436322837984561	-0.0264971376613522	0.97886081661428
SCZeur	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0107538101034465	0.04089647109887	0.792663809880583	0.00397740404931043	0.017372670837152	0.818924273060893	-0.00677640605413612	0.0441429185013257	-0.153510603380984	0.877995629127182
SCZeur	0p5	baseline_thickness	EUR	4116	3447	655	686	0.0368098283088207	0.0421553983235733	0.382854658738531	0.0150954500131512	0.017290331515654	0.382692173223011	-0.0217143782956695	0.0453700460121361	-0.478606045271832	0.632218916886105
SCZeur	1	baseline_thickness	EUR	4116	3447	655	686	0.0361124941048571	0.0424571809681504	0.395301017020924	0.0139714653830968	0.0172741980625346	0.418682457280578	-0.0221410287217603	0.0456513063383704	-0.485003179485152	0.627674090142427
SCZeur	1e-5	baseline_thickness	EUR	4116	3447	655	686	-0.00425890408863352	0.0390750082901678	0.913237340046078	-0.0187923301357742	0.0186250169854738	0.313051131987709	-0.0145334260471407	0.0420393752091085	-0.34570984879889	0.729560781878174
SCZeur	5e-8	baseline_thickness	EUR	4116	3447	655	686	-0.000311104728908668	0.0392568773525777	0.993679066023548	-0.0237485181761147	0.0187462769026305	0.205295417181411	-0.023437413447206	0.0421683748675292	-0.555805470825802	0.578343845162205
SCZeur	0p001	baseline_thickness	full	8082	6789	1250	1339	0.00221063445328439	0.0292884255900808	0.939845357240339	0.00189264473096577	0.0120026551421243	0.874709310536364	-0.000317989722318622	0.0315978331281234	-0.0100636559801184	0.991970499802639
SCZeur	0p01	baseline_thickness	full	8082	6789	1250	1339	-0.00257477145231376	0.0299613275800383	0.931529486395801	0.0175554595407461	0.0119725006537857	0.142608601558572	0.0201302309930599	0.0322341225531058	0.624500665712098	0.5322988332749
SCZeur	0p05	baseline_thickness	full	8082	6789	1250	1339	-0.00168668876873631	0.0307668760332038	0.9562886303595	0.0265714163362512	0.0119433365993399	0.0261278589498816	0.0282581051049875	0.032998673930954	0.856340626417728	0.391809395683088
SCZeur	0p1	baseline_thickness	full	8082	6789	1250	1339	0.0016142126911595	0.0313002958677801	0.958877438301509	0.0263497184251084	0.0119368158978507	0.027316869533946	0.0247355057339489	0.0334966733360081	0.738446635754687	0.460243084014037
SCZeur	0p5	baseline_thickness	full	8082	6789	1250	1339	0.0120502208327957	0.0324399365501886	0.710350782487737	0.03257670133163	0.0119519271067343	0.00643395673730565	0.0205264804988343	0.0345750717567032	0.593678608775548	0.552727093024432
SCZeur	1	baseline_thickness	full	8082	6789	1250	1339	0.0118036523422768	0.0326123937071535	0.717454725437876	0.0325077950020119	0.011947944497854	0.00652918188892343	0.0207041426597351	0.0347344616627885	0.596069196659402	0.551129001171481
SCZeur	1e-5	baseline_thickness	full	8082	6789	1250	1339	-0.0140265353181784	0.0283153906320842	0.620419774502627	-0.00293450687218039	0.0120531747200322	0.80765376679686	0.011092028445998	0.030687359051598	0.361452688950775	0.717761066350015
SCZeur	5e-8	baseline_thickness	full	8082	6789	1250	1339	-0.00944324181734251	0.0283968878610996	0.739528659148147	-0.00648703940522623	0.0120340666973939	0.589865630813363	0.00295620241211628	0.0307625005205165	0.0960975981177046	0.923443058904491
SCZeur	0p001	global_slope	EUR	4116	3447	655	686	-0.0906836746093301	0.051404738709101	0.0780730787036907	-0.0152871665735701	0.0166648091312658	0.35903405126312	0.07539650803576	0.0533949379472769	1.41205348174031	0.157934214350718
