disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZ	prscs	baseline_thickness	EUR	4116	3447	655	686	0.103073177394879	0.0407396933752183	0.0116234312582104	-0.00916156019221981	0.0170242913354831	0.590510548279577	-0.112234737587099	0.0441150272407162	-2.54413846272119	0.0109547650238276
ALZ	prscs	baseline_thickness	full	8082	6789	1250	1339	0.0778334403196761	0.0380645282940241	0.0410684628563483	0.0128796024796407	0.0150181396794633	0.391141629729242	-0.0649538378400354	0.0408184505232663	-1.59128622001494	0.111545176565373
ALZ	prscs	global_slope	EUR	4116	3447	655	686	-0.00150530739281001	0.0526768844126675	0.977209416493509	-0.0356228907292062	0.0156036875036332	0.0224926869644836	-0.0341175833363962	0.0549118273596014	-0.621315752487531	0.534391891189788
ALZ	prscs	global_slope	full	8082	6789	1250	1339	0.0372314823400175	0.0470326129438905	0.42870504608391	-0.046318343707468	0.0141900952120128	0.0011034713299746	-0.0835498260474855	0.049049992441444	-1.70336063042675	0.0885006005833812
ALZ	prscs	slope_PC1	EUR	4116	3447	655	686	-0.0240584910542504	0.0565340320024875	0.67054783650137	0.0434010019836583	0.0161146793878897	0.00711130613659898	0.0674594930379087	0.0587583801024119	1.14808292741106	0.250934331359273
ALZ	prscs	slope_PC1	full	8082	6789	1250	1339	-0.0977653588838754	0.0491998811632286	0.0470849890407779	0.0342948272122967	0.0146474492571301	0.0192433330954973	0.132060186096172	0.0512557704757616	2.5764940195099	0.009980793205031
ALZ	prscs	slope_PC2	EUR	4116	3447	655	686	0.0364094512697999	0.0549793393983661	0.508005802168025	0.0445308950856856	0.0165743626992982	0.00725031134316925	0.00812144381588572	0.0573936824413183	0.14150414244964	0.887471687770642
ALZ	prscs	slope_PC2	full	8082	6789	1250	1339	-0.035211910329714	0.0488115485393517	0.470776272684333	0.0281978476157695	0.014995114559424	0.0600868553884061	0.0634097579454835	0.0509806527467479	1.2438004326951	0.213573021113145
ALZ	prscs	slope_PC3	EUR	4116	3447	655	686	0.0638541672039599	0.05326422390862	0.231031484099621	-0.0405252853655254	0.0165449752390041	0.0143611014829116	-0.104379452569485	0.0557443544585287	-1.87246679207917	0.0611420519921685
ALZ	prscs	slope_PC3	full	8082	6789	1250	1339	0.0883451460914077	0.0482183571939436	0.0671187743636039	-0.0363260045506385	0.0147466458487299	0.0137898716560092	-0.124671150642046	0.0503423653474143	-2.47646589074006	0.0132690303170658
