disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZ	prscs	baseline_thickness	EUR	4116	3447	655	686	0.102042727193823	0.0407682789787862	0.0125419373016176	-0.00894154347949308	0.0170207727568555	0.599386538079633	-0.110984270673316	0.0441426991839926	-2.51421577576665	0.0119297418939031
ALZ	prscs	baseline_thickness	full	8082	6789	1250	1339	0.0574551947144925	0.0306936525591231	0.0614351417909115	0.0170024017769685	0.0118532560961045	0.151501820742537	-0.0404527929375239	0.032903694730412	-1.22943010713428	0.218910587911562
ALZ	prscs	global_slope	EUR	4116	3447	655	686	-0.000554947955890151	0.0527658445491307	0.991611178368485	-0.0357859776015684	0.0155972076555308	0.0218288309687815	-0.0352310296456783	0.0549972078704247	-0.640596695902886	0.521784746828741
ALZ	prscs	global_slope	full	8082	6789	1250	1339	0.0310550407209751	0.0379470584073786	0.413262730852185	-0.0364274182839976	0.0111963900548657	0.00114557829003577	-0.0674824590049727	0.039564873649683	-1.70561543055789	0.0880797045118279
ALZ	prscs	slope_PC1	EUR	4116	3447	655	686	-0.0256035132512411	0.0565426119721664	0.650805738927994	0.0436900301042133	0.0161076302491068	0.00671462929255923	0.0692935433554544	0.0587665632271187	1.17913213824759	0.238345563058968
ALZ	prscs	slope_PC1	full	8082	6789	1250	1339	-0.0809676000993169	0.0396858182271579	0.0414966517489646	0.028023716569231	0.0115563207938796	0.0153361892028362	0.108991316668548	0.041334682602382	2.63680061891335	0.00836920068270743
ALZ	prscs	slope_PC2	EUR	4116	3447	655	686	0.0390459199016806	0.0550911446486427	0.478682201598238	0.0440923743079202	0.0165423459983932	0.00772528795735653	0.00504645440623962	0.0574936781297243	0.0877740748270303	0.930056243508777
ALZ	prscs	slope_PC2	full	8082	6789	1250	1339	-0.0308586107595239	0.0393086278277776	0.432548053184302	0.021900223059784	0.0118157279681456	0.063856951509586	0.0527588338193079	0.0410466257662791	1.28533911946182	0.198673805627081
ALZ	prscs	slope_PC3	EUR	4116	3447	655	686	0.0694774404632857	0.0529675917918862	0.190082514663306	-0.0416148218298677	0.016437948973105	0.0113994935776331	-0.111092262293153	0.0554316029675723	-2.00413223406407	0.0450558972976655
ALZ	prscs	slope_PC3	full	8082	6789	1250	1339	0.06474634628115	0.0387774524866588	0.0951862812173918	-0.027636583983828	0.0115906620093601	0.0171355480775705	-0.092382930264978	0.0404731796212626	-2.28257159752392	0.022455615586795
