disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ASD	prscs	baseline_thickness	EUR	4116	3447	655	686	-0.067330552701156	0.0393569309412132	0.0875656818134096	-0.0396608073742524	0.0173439837455662	0.0222720135233566	0.0276697453269036	0.0428519007117757	0.645706371649927	0.5184695333831
ASD	prscs	baseline_thickness	full	8082	6789	1250	1339	-0.0336122774718972	0.0314151662305285	0.284836541881026	-0.0167408624028266	0.0129272030829863	0.195360098170111	0.0168714150690706	0.0338783097168378	0.49800049678055	0.618483692037266
ASD	prscs	global_slope	EUR	4116	3447	655	686	0.0165818195120989	0.0507692230708496	0.744043833055605	0.0156362570743259	0.0159213675401567	0.326123675023394	-0.00094556243777303	0.0530968697013455	-0.0178082520323994	0.985791821634793
ASD	prscs	global_slope	full	8082	6789	1250	1339	0.0301252951743535	0.0388014411553749	0.437629740429538	0.00247884416208113	0.0122345563872061	0.839445873596852	-0.0276464510122724	0.0406146942004366	-0.680700705903019	0.496060889589696
ASD	prscs	slope_PC1	EUR	4116	3447	655	686	-0.00282421377317595	0.0544124229543493	0.958618576395279	0.00324806556648559	0.0164561401485099	0.843544489098397	0.00607227933966155	0.0567362041622784	0.107026534984495	0.91476792878321
ASD	prscs	slope_PC1	full	8082	6789	1250	1339	0.0208502181195713	0.0406175128270486	0.607792457505129	0.0117996608610004	0.0126258921476373	0.350048203057476	-0.00905055725857081	0.0424634117657041	-0.213137778671863	0.831219498453208
ASD	prscs	slope_PC2	EUR	4116	3447	655	686	-0.0610564041133376	0.0528593702836674	0.248398154383749	-0.00242937400346656	0.0169262417874086	0.885882353749791	0.058627030109871	0.0553837286946963	1.05856054642066	0.289799962911394
ASD	prscs	slope_PC2	full	8082	6789	1250	1339	-0.0313145704687211	0.0402225188027375	0.436367746030054	0.000441262557150739	0.0129233686497091	0.972762877402836	0.0317558330258719	0.0421725816099398	0.752997132582162	0.45145163710696
ASD	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0484934244677856	0.0513103971962545	0.344955004748825	-0.0194084131214259	0.0168861773388775	0.25048799335521	0.0290850113463597	0.0538954029270871	0.539656626850116	0.589433856868817
ASD	prscs	slope_PC3	full	8082	6789	1250	1339	-0.0464507234180945	0.0397959921205454	0.243304180413063	-0.0226196282576565	0.0127068161574614	0.0751015069926825	0.023831095160438	0.0417019904404431	0.571461815341225	0.567686637148986
