disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ASD	prscs	baseline_thickness	EUR	4116	3447	655	686	-0.0667342727646906	0.0393791239017241	0.0905831103177801	-0.0401154985684707	0.0173419074469099	0.0207690112568519	0.0266187741962199	0.0428743576126268	0.620855347541824	0.534694802916081
ASD	prscs	baseline_thickness	full	8082	6789	1250	1339	-0.0362755290112357	0.0295572186170518	0.219922163086764	-0.0124869786665278	0.0119357293261746	0.295512473993435	0.0237885503447079	0.0318349074981854	0.747247352487639	0.454914265546323
ASD	prscs	global_slope	EUR	4116	3447	655	686	0.0160641585764897	0.0508515251166786	0.752155231872842	0.0159713702874708	0.0159164251921216	0.315713806754497	-9.27882890188435e-05	0.0531762095913638	-0.00174492107902916	0.998607755117729
ASD	prscs	global_slope	full	8082	6789	1250	1339	0.0331439198311981	0.0365346429973406	0.364442104545641	0.00250023531515057	0.0113018737023615	0.824925351272919	-0.0306436845160475	0.0382113700000403	-0.80195199795284	0.422580725837251
ASD	prscs	slope_PC1	EUR	4116	3447	655	686	-0.00199778874494065	0.054418087354951	0.970724116911062	0.00271304925715965	0.0164508634071757	0.86901827050901	0.00471083800210029	0.0567422104912317	0.0830217568423467	0.933834239873938
ASD	prscs	slope_PC1	full	8082	6789	1250	1339	0.0184610241965966	0.0382440903493644	0.629365105971292	0.0101806570232328	0.0116632473603883	0.3827574928715	-0.00828036717336385	0.0399509764395058	-0.207263198833252	0.835804313154826
ASD	prscs	slope_PC2	EUR	4116	3447	655	686	-0.062504822078949	0.0529627127356959	0.238277698019691	-0.00142599887427876	0.0168951423063988	0.932741039380664	0.0610788232046702	0.0554755489496692	1.10100439492874	0.270894744382027
ASD	prscs	slope_PC2	full	8082	6789	1250	1339	-0.027169320816484	0.0378139442757337	0.472552346003323	0.00186422531067092	0.0119208713593227	0.875735477953783	0.029033546127155	0.0396147636101575	0.732897119186912	0.46362118030076
ASD	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0515405790871835	0.0510312549726858	0.312876763407768	-0.0173206046012409	0.0167800357583586	0.302047125164979	0.0342199744859426	0.0536002106130479	0.638429851199361	0.523193904280615
ASD	prscs	slope_PC3	full	8082	6789	1250	1339	-0.0459959456463347	0.0373429763845532	0.218245708642545	-0.0164500235300271	0.0116930904893532	0.159527832850545	0.0295459221163076	0.0390980123370488	0.755688597711915	0.44983592201283
