disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
MDDeur	prscs	baseline_thickness	EUR	4116	3447	655	686	-0.0253188792324954	0.0428430815374835	0.554732989800698	-0.0253901256122788	0.017189707854915	0.139751744075888	-7.12463797833754e-05	0.0461415520210398	-0.00154408286376861	0.998768000611953
MDDeur	prscs	baseline_thickness	full	8082	6789	1250	1339	-0.0351763618478511	0.0330650868360212	0.287583753985542	-0.00877010854270629	0.0119495028765722	0.463016057137801	0.0264062533051448	0.0351634918498599	0.750956515294143	0.452678826310975
MDDeur	prscs	global_slope	EUR	4116	3447	655	686	-0.0410268022055349	0.0552620303375785	0.458052426015455	-0.00914567042951781	0.0157712870165246	0.562024415570929	0.0318811317760171	0.0574525227539651	0.554912652183177	0.57895440741179
MDDeur	prscs	global_slope	full	8082	6789	1250	1339	-0.0296281118232646	0.0408635296881985	0.468527116479377	-0.0124046995633045	0.0112996853150155	0.272334664215662	0.01722341225996	0.0424016753803226	0.406196502979525	0.684598223354054
MDDeur	prscs	slope_PC1	EUR	4116	3447	655	686	0.0173234026942129	0.0591529345034114	0.769708630153298	-0.00169422322284665	0.0163002630022371	0.917224482118602	-0.0190176259170596	0.0613416477128441	-0.310027960221837	0.756539694021658
MDDeur	prscs	slope_PC1	full	8082	6789	1250	1339	0.0482399690376084	0.0427474446473581	0.259286877759581	0.0121396061197322	0.0116610847729586	0.2978966076619	-0.0361003629178762	0.044314172211072	-0.814645995098978	0.415274974429199
MDDeur	prscs	slope_PC2	EUR	4116	3447	655	686	0.000473267650210023	0.057610187782816	0.993447461366492	0.0142365690128867	0.0167382472090615	0.395083555323762	0.0137633013626767	0.0599753699830179	0.22948255869991	0.818493875097769
MDDeur	prscs	slope_PC2	full	8082	6789	1250	1339	0.0400036143883848	0.0422877208902099	0.344296061868626	0.0213731670059583	0.0119180311238554	0.072961792335337	-0.0186304473824265	0.043939958033868	-0.423997841965769	0.671567387129679
MDDeur	prscs	slope_PC3	EUR	4116	3447	655	686	-0.00919483089846803	0.0555070695179457	0.868482344321822	-0.00443499187518042	0.0166268593581194	0.789688619872631	0.00475983902328761	0.057926415672865	0.0821704393064546	0.934511179947453
MDDeur	prscs	slope_PC3	full	8082	6789	1250	1339	-0.0225504713320352	0.0417756705730466	0.589414505091245	-0.00341722536380601	0.011694792262024	0.770142288440442	0.0191332459682292	0.0433865185610701	0.440995189353521	0.659216479668047
