disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZeur	prscs	baseline_thickness	EUR	4116	3447	655	686	0.0347856541143295	0.0411911059283115	0.398674541382531	0.00563642169292357	0.0179185489967452	0.75311616341899	-0.0291492324214059	0.0443789532093607	-0.656825596671749	0.51129306363311
SCZeur	prscs	baseline_thickness	full	8082	6789	1250	1339	-0.0147386912971296	0.0326661941756076	0.651923570967688	0.0120969079958758	0.0121413959221769	0.31912249377621	0.0268355992930054	0.0348170491318843	0.770760301694557	0.440849021729196
SCZeur	prscs	global_slope	EUR	4116	3447	655	686	-0.0580747455753749	0.052890097368994	0.272507384838077	-0.0238055048478657	0.016405875107979	0.146863633194483	0.0342692407275092	0.0549885476438809	0.62320687117334	0.533148586959842
SCZeur	prscs	global_slope	full	8082	6789	1250	1339	-0.023967286561803	0.040335459421305	0.552463004919489	-0.0133436375978391	0.0114593264642915	0.244289648999925	0.0106236489639639	0.0419076034333869	0.253501705981599	0.799880543029684
SCZeur	prscs	slope_PC1	EUR	4116	3447	655	686	0.0813667362625567	0.0566176618542113	0.15107830770648	0.0203246563667723	0.0169504923456515	0.230592339155306	-0.0610420798957844	0.0587115075458232	-1.03969532460297	0.298481473452434
SCZeur	prscs	slope_PC1	full	8082	6789	1250	1339	0.0375252503421914	0.0421956738319906	0.373970333331612	0.0184775681049255	0.0118243578299852	0.118178344325604	-0.0190476822372659	0.0437966067107881	-0.434912283571368	0.663626098134584
SCZeur	prscs	slope_PC2	EUR	4116	3447	655	686	0.0600224028812112	0.0550996783198373	0.276319807979173	0.0106358564233897	0.0174485759197317	0.542198122494656	-0.0493865464578215	0.0573773276413101	-0.860732775261992	0.389385237322921
SCZeur	prscs	slope_PC2	full	8082	6789	1250	1339	0.0408250209453849	0.0417995324597004	0.328869540723313	0.0107918741217293	0.0121083427469161	0.372813065911036	-0.0300331468236556	0.0434920438977308	-0.690543468002493	0.489852484348418
SCZeur	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0368432929162824	0.0535004964796192	0.491280844657313	-0.00447237410249189	0.0174161599263413	0.797353737325036	0.0323709188137905	0.0558363319082062	0.579746514635088	0.562085570724071
SCZeur	prscs	slope_PC3	full	8082	6789	1250	1339	-0.00358163547117924	0.0413754108768701	0.931029191471755	-0.0052165770423547	0.0119081529349783	0.661351530825022	-0.00163494157117546	0.0430296200359193	-0.0379957241037844	0.969691091239033
