disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZpooled	prscs	baseline_thickness	EUR	4116	3447	655	686	0.0440158875093938	0.0396653799618084	0.267509961587393	-0.00715002022021665	0.0176822108817883	0.685971131495083	-0.0511659077296104	0.0429945221739224	-1.19005643376226	0.234024212008778
SCZpooled	prscs	baseline_thickness	full	8082	6789	1250	1339	0.000116575390419082	0.0303282152442676	0.996933665347916	0.00203611459352356	0.0120208612647786	0.865501418892364	0.00191953920310448	0.0325892071318691	0.058901070999894	0.953030905000029
SCZpooled	prscs	global_slope	EUR	4116	3447	655	686	-0.0364447002069158	0.0510538855403401	0.475519840599369	-0.0197579478157671	0.0161943373910827	0.222530273702368	0.0166867523911487	0.0532500854870231	0.313365739013043	0.754002810625102
SCZpooled	prscs	global_slope	full	8082	6789	1250	1339	-0.0124943972806229	0.0374771493613842	0.738885760738381	-0.0151419586034622	0.0113481955025819	0.182149511650553	-0.00264756132283927	0.0391324020726029	-0.0676564990293009	0.94605907866785
SCZpooled	prscs	slope_PC1	EUR	4116	3447	655	686	0.0329911637678911	0.0546201441657269	0.546009771965382	0.0164010453321665	0.0167324077471429	0.327061852745038	-0.0165901184357245	0.0568135959367755	-0.292009653009584	0.770279243443809
SCZpooled	prscs	slope_PC1	full	8082	6789	1250	1339	0.00871546218573791	0.0392170082863961	0.824158521137045	0.0253769720508625	0.0117069286249583	0.0302181951118947	0.0166615098651246	0.0409014565461691	0.40735737237908	0.683745530549116
SCZpooled	prscs	slope_PC2	EUR	4116	3447	655	686	0.036374593892551	0.0532049286846188	0.494375710824371	0.00166888171187976	0.0171952887922451	0.92268879664328	-0.0347057121806712	0.0555797085153181	-0.624431345679081	0.532344344713504
SCZpooled	prscs	slope_PC2	full	8082	6789	1250	1339	0.0122721750463157	0.0387848422070634	0.751726805652468	0.0143320882989021	0.0119734543687432	0.231353264321685	0.00205991325258634	0.0405638554101642	0.0507819888360558	0.959499243183925
SCZpooled	prscs	slope_PC3	EUR	4116	3447	655	686	-0.0155924981240056	0.0512804286794988	0.761174905362679	-0.00199386189049951	0.0170838109357334	0.907096598258942	0.013598636233506	0.0537104295496178	0.253184276266933	0.800125816484578
SCZpooled	prscs	slope_PC3	full	8082	6789	1250	1339	0.0105938856150094	0.0383063741874029	0.782158037674051	-0.0128255276606147	0.011746052970105	0.274916433495453	-0.023419413275624	0.0400403683258838	-0.584895051039896	0.558618286471522
