disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZ	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.112327256476833	0.0423259481236688	0.00813881658303552	-0.0214543126555009	0.0169731326775315	0.20630959644538	-0.133781569132334	0.0455973590821831	-2.93397626145872	0.00334649801830662
ALZ	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.0650456615000513	0.0326963893288329	0.0468583977110392	0.00534064063697155	0.012892275666596	0.678703220636069	-0.0597050208630798	0.0351228158027193	-1.69989277620666	0.0891510959530022
ALZ	sbrc	global_slope	EUR	4116	3447	655	686	0.0475294437802054	0.0547962634867225	0.385981697372313	-0.0311865618514256	0.0155408910497361	0.0448564762976673	-0.078716005631631	0.0569541593199286	-1.38209406602702	0.166942820260201
ALZ	sbrc	global_slope	full	8082	6789	1250	1339	0.0281906087305022	0.0404241608295675	0.485672100566836	-0.033297840664066	0.012170870004446	0.00623815657761425	-0.0614884493945682	0.0421989919181794	-1.45710706819228	0.145086827608396
ALZ	sbrc	slope_PC1	EUR	4116	3447	655	686	-0.0616976612008228	0.0587400173829102	0.293883241583731	0.0455864371206968	0.0160399210788364	0.00450998775732761	0.10728409832152	0.0608873723821435	1.76200900324914	0.0780677763347593
ALZ	sbrc	slope_PC1	full	8082	6789	1250	1339	-0.0816248074133568	0.0422877920918576	0.0537602257102442	0.0173606580412193	0.012561717396537	0.167009652563088	0.0989854654545761	0.0440961232293886	2.24476571193464	0.0247831770350762
ALZ	sbrc	slope_PC2	EUR	4116	3447	655	686	0.00173466191710803	0.0572649511615326	0.975841738850278	0.0492204340074609	0.0164758820729494	0.0028335853727133	0.0474857720903528	0.0595844686042426	0.7969488224482	0.425480754450402
ALZ	sbrc	slope_PC2	full	8082	6789	1250	1339	-0.038449301745231	0.0418716702786266	0.358616337992602	0.0219955796564812	0.0128423474754564	0.0868068016542241	0.0604448814017122	0.0437779325461501	1.38071575988638	0.167366373636554
ALZ	sbrc	slope_PC3	EUR	4116	3447	655	686	0.0725695098271071	0.0550305536989475	0.187727423418714	-0.035839185746591	0.0163833748079622	0.0287744025488515	-0.108408695573698	0.0574139324176943	-1.88819492079048	0.0589997874550153
ALZ	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0652015311317549	0.0413229271682577	0.114807370663836	-0.0170130102400697	0.0125999846954455	0.176985024477471	-0.0822145413718246	0.0431827525691875	-1.9038744980441	0.0569265311348841
