disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZnoAPOE	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0781680264805247	0.0389823262791999	0.0453240264394577	-0.0140221962385639	0.0171477558395952	0.413569143310197	-0.0921902227190886	0.0425547735289803	-2.16638969201201	0.0302814209824765
ALZnoAPOE	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.0665896714850792	0.0283260941246734	0.0188735728877417	0.00695239848434893	0.0118996746399143	0.559070652875072	-0.0596372730007303	0.0307218066138257	-1.94120332018143	0.0522336205693561
ALZnoAPOE	sbrc	global_slope	EUR	4116	3447	655	686	0.0360045270015264	0.0503632397569879	0.474873652716859	-0.00482605352445092	0.0156988803389378	0.758547372736247	-0.0408305805259774	0.0527304796449794	-0.774325983774072	0.438738041628593
ALZnoAPOE	sbrc	global_slope	full	8082	6789	1250	1339	0.00176644306657454	0.0350619384685363	0.959825336588681	-0.011234654739635	0.0112520168226324	0.318093611274651	-0.0130010978062095	0.0368209806074824	-0.353089396091954	0.724021422260841
ALZnoAPOE	sbrc	slope_PC1	EUR	4116	3447	655	686	-0.0907539183057094	0.0538144998279703	0.092115011313364	0.0107999151869624	0.0162182774988391	0.505515531384816	0.101553833492672	0.0561823629188234	1.80757497934725	0.0706726753080707
ALZnoAPOE	sbrc	slope_PC1	full	8082	6789	1250	1339	-0.0438659350634399	0.0366775878733	0.231882507279287	0.0135213718299502	0.0116109117409276	0.244246781702444	0.0573873068933901	0.0384692484992932	1.49177093736168	0.135759205275247
ALZnoAPOE	sbrc	slope_PC2	EUR	4116	3447	655	686	-0.0326281968006586	0.0525074978185118	0.534509411173432	0.0348317203581921	0.0166530195013994	0.0365473820471345	0.0674599171588507	0.0550604670901734	1.22519696479092	0.220501017809325
ALZnoAPOE	sbrc	slope_PC2	full	8082	6789	1250	1339	-0.0433715605945034	0.0362748762607435	0.232012819194808	0.0237514022225952	0.0118665908489787	0.0453743288186722	0.0671229628170985	0.0381641825120634	1.75879472319056	0.0786123813942658
ALZnoAPOE	sbrc	slope_PC3	EUR	4116	3447	655	686	0.0837490241167274	0.0505050731496918	0.0977508533720432	-0.0142872908561709	0.016554451326949	0.388174712980898	-0.0980363149728984	0.0531238729895211	-1.84542860781699	0.0649752148308054
ALZnoAPOE	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0273974756693628	0.0358467429093462	0.444810120664529	-0.0149795210401089	0.0116430447621174	0.198290763924852	-0.0423769967094717	0.0376878912066056	-1.12441941835271	0.260835138006961
