disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ASD	sbrc	baseline_thickness	EUR	4116	3447	655	686	-0.0234690913725372	0.0383882444934875	0.541158033230956	-0.0164246078088777	0.0172168930824276	0.340158720073312	0.00704448356365944	0.0419597492988545	0.167886693351901	0.866672418707897
ASD	sbrc	baseline_thickness	full	8082	6789	1250	1339	-0.0175364296221697	0.0296936811088225	0.554901136582955	-0.00967053072385742	0.0122584631194758	0.430205842062227	0.0078658988983123	0.032062852145158	0.245327485611731	0.806202871447239
ASD	sbrc	global_slope	EUR	4116	3447	655	686	-0.0118305003922257	0.049440097137796	0.810940039968486	-0.00277814166805228	0.0158152244204682	0.860569389288527	0.00905235872417346	0.0518287081055921	0.174659161978933	0.86134745845669
ASD	sbrc	global_slope	full	8082	6789	1250	1339	0.0164556184634673	0.0366658815032309	0.653637231431819	0.00850123659900838	0.0115970638449151	0.463552714441316	-0.00795438186445896	0.0384104274872502	-0.207089126178023	0.835940254082473
ASD	sbrc	slope_PC1	EUR	4116	3447	655	686	0.0034576670565036	0.0529806547877039	0.94798143114857	0.0131498144106492	0.0163469439687561	0.421210947161207	0.00969214735414563	0.0553659937596584	0.175055962983684	0.861035660324886
ASD	sbrc	slope_PC1	full	8082	6789	1250	1339	0.00889743353859662	0.0383746425772276	0.816679301931967	0.00909435552040389	0.011968831301348	0.44737885166809	0.000196921981807274	0.0401512556759341	0.00490450369464547	0.996086787911817
ASD	sbrc	slope_PC2	EUR	4116	3447	655	686	-0.0251939449856666	0.0514794727156551	0.624690981856237	-0.0176993084673965	0.0168086210112508	0.2924189449559	0.00749463651827011	0.0540681659208975	0.138614587541861	0.889754715406497
ASD	sbrc	slope_PC2	full	8082	6789	1250	1339	-0.00594792824505976	0.0380104196612157	0.875672862929025	-0.000378233681653403	0.0122507745159383	0.975370709866598	0.00556969456340635	0.0398866208542444	0.139638165483093	0.888945884334725
ASD	sbrc	slope_PC3	EUR	4116	3447	655	686	-0.0436553771311109	0.049951722819226	0.382463043960857	-0.0331199809371926	0.016761595993503	0.0482432467408224	0.0105353961939184	0.0526011266171879	0.200288413413484	0.841255023713987
ASD	sbrc	slope_PC3	full	8082	6789	1250	1339	-0.024909486258074	0.0376067498658162	0.507836048689836	-0.0257458726822019	0.012044472511407	0.0325876236328333	-0.000836386424127939	0.039440321403236	-0.0212063795215248	0.983081025305606
