disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ASD	sbrc	baseline_thickness	EUR	4116	3447	655	686	-0.0238863653393548	0.038407528250587	0.534196978013442	-0.0169582557733415	0.0172160290792186	0.324678970989938	0.00692810956601328	0.0419746861645654	0.165054469707076	0.868901109308667
ASD	sbrc	baseline_thickness	full	8082	6789	1250	1339	-0.0216981913563358	0.0291469729406664	0.456738054612033	-0.00922888546853715	0.0119025564406792	0.438147702592147	0.0124693058877987	0.0314429847468725	0.396568773231331	0.691685483640453
ASD	sbrc	global_slope	EUR	4116	3447	655	686	-0.011468027227211	0.0495187648760409	0.816913828282068	-0.00234208356835633	0.0158122827718459	0.882258289320958	0.00912594365885467	0.0519009714410433	0.175833773539697	0.860424535542212
ASD	sbrc	global_slope	full	8082	6789	1250	1339	0.0199553514639117	0.0360154331580652	0.579602960389774	0.00947370121222168	0.011269177441988	0.400560188220828	-0.01048165025169	0.0377071195165191	-0.277975363434963	0.781031270850361
ASD	sbrc	slope_PC1	EUR	4116	3447	655	686	0.00285590268709278	0.0529855631071593	0.957028874888984	0.012442325233983	0.0163436361079936	0.44653422626093	0.00958642254689026	0.0553677951979006	0.173140767347257	0.862540781118033
ASD	sbrc	slope_PC1	full	8082	6789	1250	1339	0.00829965635521969	0.0376921361797118	0.825747231277452	0.00864308288989489	0.0116304819043727	0.457422371393783	0.000343426534675197	0.0394149919954768	0.00871309411187013	0.993048044694529
ASD	sbrc	slope_PC2	EUR	4116	3447	655	686	-0.024164631589275	0.0515807949313543	0.639565293458666	-0.0164168852511075	0.0167802047887831	0.327970390385373	0.00774774633816747	0.0541540710317691	0.143068585436953	0.886236014864773
ASD	sbrc	slope_PC2	full	8082	6789	1250	1339	-0.000230204205501319	0.0372770963436137	0.995073463646752	0.00297908593549311	0.0118869644727807	0.802117031078302	0.00320929014099443	0.0390940079988311	0.0820916121235352	0.934573863167733
ASD	sbrc	slope_PC3	EUR	4116	3447	655	686	-0.0414657996679813	0.0496850543216382	0.404261385704891	-0.0304748099901102	0.0166586896105291	0.0674342498017882	0.0109909896778711	0.0523141077806208	0.210096093466066	0.833592674402716
ASD	sbrc	slope_PC3	full	8082	6789	1250	1339	-0.0230252264792759	0.0368153474802568	0.531786107816614	-0.0207421827248511	0.0116591671994924	0.0752771479905819	0.00228304375442483	0.0385857957094888	0.0591679842917792	0.952818309784129
