disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZeur	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.03843915532498	0.0403282701085345	0.340839799602388	0.014705411451144	0.0173677637119776	0.397217057565693	-0.023733743873836	0.0438318842812731	-0.541472132969106	0.588182200326252
SCZeur	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.0611266816438363	0.0631738192574573	0.333415996955065	-0.00764629856718881	0.0280221678298317	0.784964137066893	-0.0687729802110251	0.0672565356704816	-1.02254716995792	0.306521999222976
SCZeur	sbrc	global_slope	EUR	4116	3447	655	686	-0.0299390002487811	0.0520256913479946	0.565132280668348	-0.0357864057030194	0.0158818637230978	0.024305376442093	-0.00584740545423826	0.0543399731141418	-0.107607809116057	0.914306802186553
SCZeur	sbrc	global_slope	full	8082	6789	1250	1339	-0.0750583947923406	0.0779910759414697	0.335994365450448	-0.0750110385918597	0.026557729081578	0.00474998985805355	4.73562004809497e-05	0.080995936472638	0.000584673781714315	0.999533497843042
SCZeur	sbrc	slope_PC1	EUR	4116	3447	655	686	0.0259824899469495	0.0556764605166169	0.640866598256123	0.0245764529619145	0.0164135350363437	0.134404950001971	-0.00140603698503497	0.0579891885622574	-0.0242465366371776	0.980655958158917
SCZeur	sbrc	slope_PC1	full	8082	6789	1250	1339	0.0490972832158064	0.0816374751556992	0.547655907844036	0.0835073742952783	0.0274031655639581	0.00231759126634043	0.0344100910794719	0.0846952648561243	0.406281167405591	0.684536021228894
SCZeur	sbrc	slope_PC2	EUR	4116	3447	655	686	0.0159833942272535	0.0542270266226802	0.768260161643333	0.00277572153855245	0.016872746103697	0.869340204727881	-0.013207672688701	0.0567311896652373	-0.232811488118575	0.815907791793285
SCZeur	sbrc	slope_PC2	full	8082	6789	1250	1339	0.0148229798897731	0.080726294792001	0.854334144048001	0.0188229061063248	0.0280309528322652	0.501921947239973	0.00399992621655169	0.083958176960073	0.0476418898239524	0.962001646663747
SCZeur	sbrc	slope_PC3	EUR	4116	3447	655	686	0.000393006374882122	0.0522469372733925	0.994000583274378	-0.00753263627817354	0.0167640774656038	0.653222315685173	-0.00792564265305567	0.0548093879800488	-0.144603742992728	0.885023741818361
SCZeur	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0444915174484558	0.0797107969480675	0.576815451616137	-0.0744243487906617	0.0274861973380663	0.0067922268945793	-0.118915866239118	0.082858636818713	-1.4351656122378	0.151239910219017
