disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZeur	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0384391609433305	0.0403282675405071	0.340839698319242	0.0147054178065192	0.0173677639816982	0.397216860911364	-0.0237337431368113	0.0438318820249995	-0.541472144026916	0.588182192706456
SCZeur	sbrc	baseline_thickness	full	8082	6789	1250	1339	0.00106148978569454	0.0326629580743963	0.97407944471255	0.014243585745005	0.012077122191717	0.238285776710597	0.0131820959593105	0.0348169218424991	0.378611757206514	0.704976190076829
SCZeur	sbrc	global_slope	EUR	4116	3447	655	686	-0.0299389886443344	0.0520256925006889	0.565132440026277	-0.0357864122840784	0.0158818636914916	0.0243053500207821	-0.005847423639744	0.0543399742076985	-0.107608141612176	0.914306538424576
SCZeur	sbrc	global_slope	full	8082	6789	1250	1339	-0.00985211277521531	0.0403687334080167	0.8072210059785	-0.0266670305952079	0.0114084940294993	0.0194439731013769	-0.0168149178199926	0.0419444371509919	-0.400885527667523	0.688504405567186
SCZeur	sbrc	slope_PC1	EUR	4116	3447	655	686	0.0259824551307551	0.0556764617547184	0.640867052944953	0.0245764595981895	0.0164135350045833	0.134404844100039	-0.00140599553256565	0.0579891897410649	-0.0242458213133127	0.980656528737045
SCZeur	sbrc	slope_PC1	full	8082	6789	1250	1339	0.0135377280027621	0.042237052226344	0.748618598110304	0.0250692296000758	0.0117736007441821	0.0332682846996948	0.0115315015973137	0.0438418041966842	0.263025252007897	0.792531115895524
SCZeur	sbrc	slope_PC2	EUR	4116	3447	655	686	0.0159833422581501	0.0542270278354468	0.768260898573334	0.00277572856608775	0.0168727460751332	0.869339876680284	-0.0132076136920624	0.0567311908151327	-0.232810443466653	0.8159086030197
SCZeur	sbrc	slope_PC2	full	8082	6789	1250	1339	0.0242967773591061	0.0417640053157333	0.5608066536487	0.00662450066268868	0.0120410505239235	0.582228010866549	-0.0176722766964174	0.0434593542289198	-0.406639192182415	0.684273007588084
SCZeur	sbrc	slope_PC3	EUR	4116	3447	655	686	0.000393036073891903	0.0522469384291317	0.994000130047105	-0.0075326426282143	0.016764077437149	0.653222041954921	-0.0079256787021062	0.0548093890722997	-0.14460439782774	0.885023224769803
SCZeur	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0142694654758077	0.0412573277429803	0.729492005878599	-0.0120193193675164	0.0118114723872686	0.308906475291869	-0.0262887848433242	0.0429091277636177	-0.612661832422849	0.540099964453167
