disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZIGAPnoAPOE	sbr	baseline_thickness	EUR	4116	3447	655	686	0.0457545452602203	0.0397690151104538	0.250328542593067	-0.00899021399319409	0.0176311516062702	0.610150568920037	-0.0547447592534144	0.0434517026148542	-1.25989905939151	0.207705778108209
ALZIGAPnoAPOE	sbr	baseline_thickness	full	8082	6789	1250	1339	0.0414286658253707	0.0320380466562861	0.196192501489784	0.019298347140286	0.0122925781479251	0.116480409608025	-0.0221303186850848	0.0343168254768233	-0.644882455693083	0.519003361933786
ALZIGAPnoAPOE	sbr	global_slope	EUR	4116	3447	655	686	0.0347315319458579	0.051283816948346	0.498441451742713	-0.0159810734864324	0.0161405808033486	0.32218771680055	-0.0507126054322903	0.0537289777921418	-0.943859487304584	0.345241456916623
ALZIGAPnoAPOE	sbr	global_slope	full	8082	6789	1250	1339	0.00846650040240858	0.0396154676604147	0.830794945269186	-0.00507387435565961	0.0116194924153601	0.662365339911367	-0.0135403747580682	0.0412851405822623	-0.327972112171653	0.742932748670735
ALZIGAPnoAPOE	sbr	slope_PC1	EUR	4116	3447	655	686	-0.0780809551243728	0.054856696525509	0.155031573149105	0.019973293835923	0.0166719333693033	0.230996511259951	0.0980542489602959	0.0572992508233978	1.71126581152883	0.0870320545822742
ALZIGAPnoAPOE	sbr	slope_PC1	full	8082	6789	1250	1339	-0.0461303365340929	0.0414430808160535	0.265836087534583	0.0022889598623623	0.011990050385748	0.848605910472346	0.0484192963964552	0.0431434512724087	1.12228611686012	0.261740807129111
ALZIGAPnoAPOE	sbr	slope_PC2	EUR	4116	3447	655	686	-0.00964053020501885	0.0535113410692674	0.857072835015369	0.00945114199345535	0.0171317742852999	0.58120871944408	0.0190916721984742	0.0561493292941548	0.340016032933481	0.733844453970316
ALZIGAPnoAPOE	sbr	slope_PC2	full	8082	6789	1250	1339	0.0102235516103022	0.0410050896674515	0.803141716656899	0.00858557354796452	0.0122574867864109	0.483679722856308	-0.00163797806233771	0.0427988130852464	-0.0382715768092726	0.969471152597785
ALZIGAPnoAPOE	sbr	slope_PC3	EUR	4116	3447	655	686	0.063005223715475	0.05151905836476	0.221789956132413	-0.0398725799500602	0.0170065389897862	0.0191103870803774	-0.102877803665535	0.0542152346764171	-1.89758108176715	0.0577512884867008
ALZIGAPnoAPOE	sbr	slope_PC3	full	8082	6789	1250	1339	0.0516189637546707	0.0404804925777544	0.202448798898053	-0.007982128905505	0.0120246782547209	0.50683345262689	-0.0596010926601757	0.0422295455996309	-1.411360028006	0.158138482831448
