disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
ALZIGAP	sbr	baseline_thickness	EUR	4116	3447	655	686	0.121604114125715	0.0419064646302031	0.00382754410035968	-0.021813549149191	0.0169970158734309	0.199446540116731	-0.143417663274906	0.0452244599183543	-3.17124103933632	0.0015178913629229
ALZIGAP	sbr	baseline_thickness	full	8082	6789	1250	1339	0.0631662067299028	0.0312682777763115	0.0435644733821214	0.0116264551143449	0.0118935474673761	0.328335143502712	-0.0515397516155579	0.0334641644629716	-1.54014757107075	0.123524386313561
ALZIGAP	sbr	global_slope	EUR	4116	3447	655	686	0.0369272451706964	0.0543664057320163	0.497182377388044	-0.0291879736595379	0.0155752981508191	0.0610171322948193	-0.0661152188302343	0.0565556997084953	-1.16902839450332	0.24239219147335
ALZIGAP	sbr	global_slope	full	8082	6789	1250	1339	0.0520305968316336	0.0386715363834292	0.178670732310084	-0.0210154718586392	0.0112319872469828	0.0613835748118515	-0.0730460686902728	0.0402776588626838	-1.81356292180001	0.0697450431957109
ALZIGAP	sbr	slope_PC1	EUR	4116	3447	655	686	-0.0860279177808546	0.0582023279507934	0.139791696847356	0.0490587685679708	0.016075243348264	0.00229265076852304	0.135086686348825	0.0603838049326928	2.23713438560887	0.0252775581886068
ALZIGAP	sbr	slope_PC1	full	8082	6789	1250	1339	-0.0934618015102001	0.0404320532933804	0.0209308297484359	0.0127884264123932	0.0115911834774031	0.269941856714487	0.106250227922593	0.042068922500639	2.52562275444491	0.0115493425091911
ALZIGAP	sbr	slope_PC2	EUR	4116	3447	655	686	-0.00398299504406771	0.0567691588729678	0.944082630854627	0.0464221252957956	0.0165150465165008	0.0049685456084577	0.0504051203398633	0.0591249649507263	0.852518396955838	0.393926432681789
ALZIGAP	sbr	slope_PC2	full	8082	6789	1250	1339	-0.0283853294620681	0.0400604661906758	0.478698023241393	0.0186043050415131	0.011849481385951	0.116449921341816	0.0469896345035812	0.041784763964443	1.12456383727732	0.260773905009904
ALZIGAP	sbr	slope_PC3	EUR	4116	3447	655	686	0.0909207119081346	0.0545184446077072	0.0958550582090311	-0.0440496026394885	0.016411768439933	0.00731069818648235	-0.134970314547623	0.0569374217835452	-2.37050274353359	0.0177639120969739
ALZIGAP	sbr	slope_PC3	full	8082	6789	1250	1339	0.069288335756362	0.039522628663752	0.079781413607125	-0.00906582614831902	0.0116266181334592	0.435567366846716	-0.078354161904681	0.0412056512844376	-1.90153921761391	0.0572314207552994
