disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
EA	sbr	baseline_thickness	EUR	4116	3447	655	686	0.0105738515196347	0.044213212100507	0.811054818890382	0.0307107521219958	0.0174150641326039	0.0779116284042831	0.0201369006023611	0.0475189976727479	0.423765264180006	0.671737013058095
EA	sbr	baseline_thickness	full	8082	6789	1250	1339	-0.00534392374369058	0.0324219774304235	0.869106842341823	0.00381133501901845	0.0119216830605261	0.749207235774872	0.00915525876270903	0.0345544373998094	0.26495175299134	0.791046629376046
EA	sbr	global_slope	EUR	4116	3447	655	686	0.0537249132481755	0.0570297327126905	0.346441293285617	0.0280911175961031	0.0159328300613885	0.0779753244527768	-0.0256337956520723	0.0592115311444752	-0.432918979742751	0.665073630953107
EA	sbr	global_slope	full	8082	6789	1250	1339	0.0219532884919299	0.0400655898754759	0.583813817011047	0.0172634188700848	0.01127490362415	0.125782330580287	-0.0046898696218451	0.0416293931851769	-0.112657650352565	0.910301977551314
EA	sbr	slope_PC1	EUR	4116	3447	655	686	-0.0426821735070797	0.0610248713403668	0.484496520293812	-0.00918329354390734	0.016467325931572	0.577109841919805	0.0334988799631724	0.063205298567546	0.530001134752538	0.596111144025836
EA	sbr	slope_PC1	full	8082	6789	1250	1339	-0.0362416766187604	0.0419137655988619	0.38735116583772	-0.00450781027303019	0.0116378284777195	0.698515928228765	0.0317338663457303	0.0435071850669363	0.729393692028278	0.46576087527793
EA	sbr	slope_PC2	EUR	4116	3447	655	686	-0.0138860141335242	0.0594587285842212	0.815400522397471	0.0107079079186313	0.0169213877870678	0.526905203884276	0.0245939220521555	0.0618176686705911	0.397846159213955	0.690743589611745
EA	sbr	slope_PC2	full	8082	6789	1250	1339	-0.0260624463345615	0.0414600679193266	0.52968911544582	-0.00323198346342975	0.0118956951665371	0.785865885596872	0.0228304628711318	0.0431410258288222	0.529205377770107	0.596662986517642
EA	sbr	slope_PC3	EUR	4116	3447	655	686	0.0520328431299031	0.0572171094433606	0.363477277877259	0.0239490047048989	0.0168113168635828	0.154376239763945	-0.0280838384250042	0.0596339211798829	-0.470937309996614	0.637685503409672
EA	sbr	slope_PC3	full	8082	6789	1250	1339	0.0233904796352516	0.0409538689429078	0.567987709041192	0.0025300503488258	0.011670069649845	0.828372172007684	-0.0208604292864258	0.0425920962809961	-0.489772307725868	0.624295028508287
