disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
MDDeur	sbr	baseline_thickness	EUR	4116	3447	655	686	0.014192937500013	0.0439596831573544	0.746896019474192	-0.0190475146354372	0.0173548377750543	0.272484907499572	-0.0332404521354502	0.0472846105591065	-0.702986695722049	0.482064040673164
MDDeur	sbr	baseline_thickness	full	8082	6789	1250	1339	-0.00806013987101525	0.0345960748033534	0.815813105537392	-0.000375782544220093	0.0120329152524394	0.975087385944351	0.00768435732679516	0.036624738485516	0.209813302280209	0.833813390428205
MDDeur	sbr	global_slope	EUR	4116	3447	655	686	-0.0376747287857962	0.0566863829865867	0.506480343336175	-0.0217428307462893	0.0158815650368241	0.171071674936199	0.015931898039507	0.0588846821061938	0.270560992598636	0.786728700498705
MDDeur	sbr	global_slope	full	8082	6789	1250	1339	-0.0428440393591521	0.0427333570535571	0.316210227729636	-0.024611379441032	0.0113697122646422	0.0304500959912908	0.01823265991812	0.0442171994052308	0.41234316427474	0.680087915127771
MDDeur	sbr	slope_PC1	EUR	4116	3447	655	686	0.0279960712841624	0.0606745230152771	0.644630215348218	0.0141501253608629	0.0164095579008206	0.388580403668752	-0.0138459459232995	0.0628699241101	-0.220231630931381	0.825690763390802
MDDeur	sbr	slope_PC1	full	8082	6789	1250	1339	0.0677345846501305	0.0447008611702414	0.129902220513118	0.0201645875947723	0.0117339746223438	0.0857558970867624	-0.0475699970553582	0.0462124461174705	-1.02937630556142	0.303302878957732
MDDeur	sbr	slope_PC2	EUR	4116	3447	655	686	0.0288938649102814	0.0590977042337345	0.625032134734016	0.0163800630285032	0.0168606128992567	0.331369695477376	-0.0125138018817782	0.0614726731037275	-0.203566906235925	0.838691956583226
MDDeur	sbr	slope_PC2	full	8082	6789	1250	1339	0.0690128832049439	0.0442117818010837	0.118727910426111	0.0184243522894597	0.0119961576548421	0.124620771513704	-0.0505885309154841	0.0458072919444587	-1.10437724580669	0.269429527063681
MDDeur	sbr	slope_PC3	EUR	4116	3447	655	686	-0.00757730043877684	0.0569349873170878	0.894165559699722	-0.0198922619978678	0.0167513713162694	0.235117338021788	-0.0123149615590909	0.0593653716655617	-0.207443518225877	0.835663499049246
MDDeur	sbr	slope_PC3	full	8082	6789	1250	1339	-0.0300087137693552	0.0436970282973731	0.492348192567283	-0.00930511615589903	0.0117699853013271	0.429217175975388	0.0207035976134562	0.0452514442448761	0.457523466022866	0.647294839596806
