disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZeur	sbr	baseline_thickness	EUR	4116	3447	655	686	0.0349435923665422	0.0405305546482666	0.388898289317495	0.0106196964214593	0.017465236082631	0.543195931317247	-0.024323895945083	0.0440768836484898	-0.551851536035633	0.581050074892136
SCZeur	sbr	baseline_thickness	full	8082	6789	1250	1339	0.0711095690522011	0.0781560757876001	0.363062315369586	-0.00958869977723671	0.0365570327427593	0.793102036006555	-0.0806982688294378	0.0821934790118738	-0.981808651970797	0.32619412495242
SCZeur	sbr	global_slope	EUR	4116	3447	655	686	-0.0153609044777802	0.0522996307504459	0.769053219838153	-0.0365006966784749	0.0159638680551509	0.0222897926523886	-0.0211397922006947	0.0546420972551751	-0.38687739421811	0.698846977337043
SCZeur	sbr	global_slope	full	8082	6789	1250	1339	-0.0832248991511159	0.0962902472435709	0.387542927406636	-0.114414806603867	0.0347450403548888	0.000996315528937568	-0.0311899074527508	0.0992727653611712	-0.314183928888015	0.75338134802665
SCZeur	sbr	slope_PC1	EUR	4116	3447	655	686	0.0204504361044709	0.0559632067988431	0.714891986580998	0.0299139549112916	0.0164952005089202	0.0698481383823735	0.0094635188068207	0.0583037507166487	0.162314065398856	0.871058538967528
SCZeur	sbr	slope_PC1	full	8082	6789	1250	1339	0.0929847682154521	0.100759973633544	0.356232976166349	0.12387253257795	0.035856245646449	0.000554272868382785	0.030887764362498	0.103796362533097	0.297580412344884	0.766023426322156
SCZeur	sbr	slope_PC2	EUR	4116	3447	655	686	0.0322076837426636	0.0544990201819996	0.554699495783201	0.00909915808015171	0.0169597774078805	0.591638927275007	-0.0231085256625118	0.0570341098407335	-0.405170269634117	0.685352356951893
SCZeur	sbr	slope_PC2	full	8082	6789	1250	1339	0.0463625332004721	0.0996675562285938	0.641869582997922	0.029501132301933	0.0366732963832542	0.421175678119388	-0.0168614008985391	0.102876252132676	-0.163899836444212	0.869809995857454
SCZeur	sbr	slope_PC3	EUR	4116	3447	655	686	0.0140651332529203	0.0525137666361191	0.788909119335246	-0.0149041074799814	0.0168505685580979	0.37649943822948	-0.0289692407329017	0.0551074023813917	-0.525686921920381	0.599105751943686
SCZeur	sbr	slope_PC3	full	8082	6789	1250	1339	0.0365891989681971	0.0984168456996132	0.710109051097382	-0.106399352314784	0.0359594555366352	0.00309825990114615	-0.142988551282981	0.101541565042506	-1.40817754013467	0.159078505105864
