method	trait	arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ	pooled	raw	SCZpooled	0p001	baseline_thickness	EUR	4116	3447	655	686	0.0334555113508134	0.0402377529183128	0.40599425299399	-0.0141563916649048	0.0179885280395133	0.431353826394632	-0.0476119030157182	0.0433109105052198	-1.09930505870986	0.271635026575106
CT	SCZ	pooled	raw	SCZpooled	0p01	baseline_thickness	EUR	4116	3447	655	686	0.00180235804232184	0.0412423271114307	0.965154323834433	-0.0115296483862911	0.0175303145446544	0.510775463504554	-0.013332006428613	0.0443355273417033	-0.300707067852388	0.763637878737647
CT	SCZ	pooled	raw	SCZpooled	0p05	baseline_thickness	EUR	4116	3447	655	686	0.0380383986876165	0.0407664437572119	0.351095539278486	-0.00329244746415661	0.0174163554407293	0.850069768641052	-0.0413308461517731	0.0440471114695731	-0.938332725412055	0.348073446937934
CT	SCZ	pooled	raw	SCZpooled	0p1	baseline_thickness	EUR	4116	3447	655	686	0.0346579430095687	0.0423384464569656	0.413293524276962	-0.00257049777292379	0.0173701801533399	0.882364452037627	-0.0372284407824925	0.0455026516400216	-0.818159809169197	0.413265941043625
CT	SCZ	pooled	raw	SCZpooled	0p5	baseline_thickness	EUR	4116	3447	655	686	0.029334783206867	0.0425253301001828	0.490534680796176	0.0151108301553281	0.017338753796881	0.383538097190684	-0.0142239530515389	0.0457468802595334	-0.310927280086486	0.755855905143519
CT	SCZ	pooled	raw	SCZpooled	1	baseline_thickness	EUR	4116	3447	655	686	0.0347348420697386	0.0429101456070732	0.418512884711569	0.0160879854481715	0.0173229050646598	0.353102983735204	-0.018646856621567	0.0461052161607701	-0.404441366385638	0.685888186315424
CT	SCZ	pooled	raw	SCZpooled	1e-5	baseline_thickness	EUR	4116	3447	655	686	0.0268327505818577	0.0396787526084538	0.499092328970895	-0.0117981551344439	0.0185173215449428	0.524073640445147	-0.0386309057163016	0.0426032029979196	-0.906760595399085	0.364533411816489
CT	SCZ	pooled	raw	SCZpooled	5e-8	baseline_thickness	EUR	4116	3447	655	686	0.0130170889821729	0.0389034420199694	0.738021087343916	-0.0213437763342007	0.0186812069527747	0.253312147512438	-0.0343608653163736	0.0419123980685013	-0.819825800953084	0.412315420388035
CT	SCZ	pooled	raw	SCZpooled	0p001	baseline_thickness	full	8082	6789	1250	1339	-0.00713815476307538	0.0294617226178109	0.808595122280396	-0.00457816135515898	0.0123122067164624	0.710024252856818	0.0025599934079164	0.0318637558987162	0.0803418597623498	0.93596536652066
CT	SCZ	pooled	raw	SCZpooled	0p01	baseline_thickness	full	8082	6789	1250	1339	-0.0171630551544073	0.0337289885834464	0.610938437323968	-0.00311545948692617	0.0136880556342265	0.819960759499005	0.0140475956674811	0.0363259855710637	0.386709278403475	0.698971446402968
CT	SCZ	pooled	raw	SCZpooled	0p05	baseline_thickness	full	8082	6789	1250	1339	0.00634417423176753	0.0358905418485722	0.859719614006464	0.00631884123327446	0.014619817794274	0.66560196947767	-2.53329984930707e-05	0.0386161508633207	-0.000656020808048299	0.999476571163237
CT	SCZ	pooled	raw	SCZpooled	0p1	baseline_thickness	full	8082	6789	1250	1339	0.00960590026980591	0.0379239046294558	0.800079151014112	0.00659804545778146	0.0149852191562562	0.659731186485421	-0.00300785481202445	0.0406284150673931	-0.0740332795910233	0.940983904626357
CT	SCZ	pooled	raw	SCZpooled	0p5	baseline_thickness	full	8082	6789	1250	1339	-0.00384361777839722	0.0401527379105857	0.923753110135316	0.0173407476288751	0.0157970532453612	0.272365262244614	0.0211843654072724	0.042949405975332	0.493240009406407	0.621843011020707
CT	SCZ	pooled	raw	SCZpooled	1	baseline_thickness	full	8082	6789	1250	1339	-0.00643716665781994	0.0405039048669077	0.873749870720139	0.0193278849011949	0.0158510524626489	0.222755728546922	0.0257650515590148	0.0432901175440766	0.59517167013422	0.551728725111761
CT	SCZ	pooled	raw	SCZpooled	1e-5	baseline_thickness	full	8082	6789	1250	1339	0.00903673743948839	0.0288639527702192	0.754267261125568	-0.00572357245672216	0.0122089295710152	0.639226204262069	-0.0147603098962105	0.0312567191328308	-0.472228381791579	0.636763783488496
CT	SCZ	pooled	raw	SCZpooled	5e-8	baseline_thickness	full	8082	6789	1250	1339	0.00225144179765631	0.0282744588395007	0.936544671555523	-0.0038210024088193	0.0122243568940661	0.754614855592953	-0.00607244420647561	0.0307173609688082	-0.197687692397854	0.843289419725047
CT	SCZ	pooled	raw	SCZpooled	0p001	global_slope	EUR	4116	3447	655	686	-0.0869656045518391	0.0515227205629405	0.0917979214107837	-0.00346123151619722	0.0165028697005799	0.833887023575727	0.0835043730356418	0.0535511155186705	1.55933956233887	0.118916032659698
CT	SCZ	pooled	raw	SCZpooled	0p01	global_slope	EUR	4116	3447	655	686	-0.114537757651015	0.0528126796058236	0.0303820630053838	-0.019573648554247	0.0160995869287348	0.224149885623565	0.0949641090967676	0.0548690392692038	1.73074124062653	0.0834979261764991
CT	SCZ	pooled	raw	SCZpooled	0p05	global_slope	EUR	4116	3447	655	686	-0.0880069092917552	0.0523946496004682	0.0933919888583386	-0.0403623849183087	0.0159655194256862	0.0115129053088091	0.0476445243734465	0.0545683674911568	0.873116176348279	0.38259975762657
CT	SCZ	pooled	raw	SCZpooled	0p1	global_slope	EUR	4116	3447	655	686	-0.071232955670052	0.0544363088751792	0.191045056027168	-0.039234299842697	0.0159211462117683	0.0137773631224352	0.031998655827355	0.056528703826057	0.56606031381539	0.571352780406192
CT	SCZ	pooled	raw	SCZpooled	0p5	global_slope	EUR	4116	3447	655	686	-0.0519701040548612	0.0546988584618201	0.342329905187344	-0.0511626346850518	0.0158748272710088	0.00128105705227251	0.000807469369809411	0.0568267917305351	0.0142093077089117	0.988662994259251
