disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	auto	baseline_thickness	EUR	4116	3447		-0.0319067066568756	0.0158401723823817	0.0440442354044585	1	0.0440442354044585	0.00101803792968791
ASD	auto	global_slope	EUR	4116	3447		0.00937330283160251	0.0151887936417446	0.537191684164029	1	0.537191684164029	8.78588059729277e-05
ASD	auto	slope_PC1	EUR	4116	3447		0.00671676492975709	0.0157490252587684	0.669776415181068	1	0.669776415181068	4.51149311216148e-05
ASD	auto	slope_PC2	EUR	4116	3447		-0.0129548723644662	0.016114536071083	0.421489002645534	1	0.421489002645534	0.00016782871797961
ASD	auto	slope_PC3	EUR	4116	3447		-0.0233441722073907	0.0160307604869415	0.145414084717749	1	0.145414084717749	0.000544950376048314
ASD	auto	baseline_thickness	full	8082	6789		-0.0198882483610748	0.0132977534955503	0.134794540745625	1	0.134794540745625	0.000395542422871794
ASD	auto	global_slope	full	8082	6789		0.0086511406367771	0.0129847084028196	0.505267331536335	1	0.505267331536335	7.4842234317296e-05
ASD	auto	slope_PC1	full	8082	6789		0.0172347339437066	0.0134162751790354	0.19896597126655	1	0.19896597126655	0.000297036054110351
ASD	auto	slope_PC2	full	8082	6789		-0.0051484911042382	0.0136922511864111	0.706916035042398	1	0.706916035042398	2.65069606504199e-05
ASD	auto	slope_PC3	full	8082	6789		-0.0363257048339882	0.0134674964610773	0.00700584114383056	1	0.00700584114383056	0.00131955683168603
