disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZ	sbr	baseline_thickness	EUR	4116	3447		0.0148121252036917	0.0160585258808195	0.356382666722042	1	0.356382666722042	0.00021939905304984
SCZ	sbr	global_slope	EUR	4116	3447		-0.0350315971873008	0.0152771607627421	0.0218979482458777	1	0.0218979482458777	0.0012272128014933
SCZ	sbr	slope_PC1	EUR	4116	3447		0.0294808696153467	0.0158328375095188	0.062680405282077	1	0.062680405282077	0.000869121673277073
SCZ	sbr	slope_PC2	EUR	4116	3447		0.0102856102986494	0.0162263980906303	0.52619588015199	1	0.52619588015199	0.000105793779215683
SCZ	sbr	slope_PC3	EUR	4116	3447		-0.0142666332905851	0.016153476194824	0.377187453424547	1	0.377187453424547	0.000203536825448032
SCZ	sbr	baseline_thickness	full	8082	6789		0.00462212661404665	0.0344921612468182	0.893401868739232	1	0.893401868739232	2.13640544362783e-05
SCZ	sbr	global_slope	full	8082	6789		-0.11333154400234	0.0335265630010528	0.000727584368462562	1	0.000727584368462562	0.0128440388659543
SCZ	sbr	slope_PC1	full	8082	6789		0.120918085861949	0.0346340457905719	0.000483420611280686	1	0.000483420611280686	0.0146211834885176
SCZ	sbr	slope_PC2	full	8082	6789		0.0297744934317121	0.0353909573997432	0.400204874873401	1	0.400204874873401	0.000886520459115066
SCZ	sbr	slope_PC3	full	8082	6789		-0.0950757254755012	0.0348051078568368	0.00631615673590604	1	0.00631615673590604	0.00903939357469287
