disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDD	0p001	baseline_thickness	EUR	4116	3447		-0.0221262432828867	0.0158565016061649	0.162969291982667	8	1	0.000489570641813491
MDD	0p01	baseline_thickness	EUR	4116	3447		-0.0202904333044483	0.0158363268295639	0.200175216297746	8	1	0.000411701683682265
MDD	0p05	baseline_thickness	EUR	4116	3447		-0.0144093820195112	0.0158899968689198	0.364554769015403	8	1	0.000207630290184212
MDD	0p1	baseline_thickness	EUR	4116	3447		-0.0188019341738938	0.015927807155638	0.237890894762286	8	1	0.000353512728679435
MDD	0p5	baseline_thickness	EUR	4116	3447		-0.0217665413513997	0.0160317419805109	0.174628846866248	8	1	0.000473782322402195
MDD	1	baseline_thickness	EUR	4116	3447		-0.0227275969528375	0.0160429559549588	0.156655115345486	8	1	0.000516543663250628
MDD	1e-5	baseline_thickness	EUR	4116	3447		0.00793045751805738	0.0158076136961412	0.615915397531756	8	1	6.28921564457128e-05
MDD	5e-8	baseline_thickness	EUR	4116	3447		-0.0198544578791709	0.0158375489290922	0.210047395679988	8	1	0.00039419949767577
MDD	0p001	global_slope	EUR	4116	3447		-0.0280304457003802	0.0151077732954619	0.0636201924253256	8	0.508961539402605	0.00078570588616196
MDD	0p01	global_slope	EUR	4116	3447		-0.0209293622187744	0.0151126371311531	0.166165209537066	8	1	0.00043803820288466
MDD	0p05	global_slope	EUR	4116	3447		-0.0232893629993467	0.015163378769601	0.124645398010106	8	0.997163184080847	0.000542394428915338
MDD	0p1	global_slope	EUR	4116	3447		-0.0220269537312814	0.0151966302892689	0.147289062357293	8	1	0.00048518669068001
MDD	0p5	global_slope	EUR	4116	3447		-0.0159069244535895	0.015267031241161	0.297517034161622	8	1	0.000253030245572204
MDD	1	global_slope	EUR	4116	3447		-0.0161502516236629	0.0152687785850183	0.290244649596579	8	1	0.000260830627507625
MDD	1e-5	global_slope	EUR	4116	3447		-0.019306430282323	0.015059461801004	0.199915085078975	8	1	0.000372738250246199
MDD	5e-8	global_slope	EUR	4116	3447		-0.0149141138338972	0.0150618529061026	0.322143134948722	8	1	0.000222430791450444
