disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZnoAPOEukbb	auto	baseline_thickness	EUR	4116	3447		0.00153639460688977	0.0157068716632069	0.922082613675079	1	0.922082613675079	2.36050838807996e-06
ALZnoAPOEukbb	auto	global_slope	EUR	4116	3447		-0.0171443550569439	0.0150512364089223	0.254745106609443	1	0.254745106609443	0.000293928910318557
ALZnoAPOEukbb	auto	slope_PC1	EUR	4116	3447		0.0173134113762661	0.0156059636366592	0.267322652265917	1	0.267322652265917	0.000299754213483821
ALZnoAPOEukbb	auto	slope_PC2	EUR	4116	3447		0.0303883867223083	0.0159630242945782	0.0570254586078577	1	0.0570254586078577	0.000923454047584563
ALZnoAPOEukbb	auto	slope_PC3	EUR	4116	3447		-0.0209863050616401	0.0158855835837433	0.186547788565709	1	0.186547788565709	0.000440425000140221
ALZnoAPOEukbb	auto	baseline_thickness	full	8082	6789		0.0202496035696572	0.011078933035249	0.0676229414451602	1	0.0676229414451602	0.000410046444728275
ALZnoAPOEukbb	auto	global_slope	full	8082	6789		-0.0211670628738405	0.0107950838274794	0.0499377508593588	1	0.0499377508593588	0.000448044550705117
ALZnoAPOEukbb	auto	slope_PC1	full	8082	6789		0.020964250190524	0.011153690587543	0.0602034484164727	1	0.0602034484164727	0.000439499786050885
ALZnoAPOEukbb	auto	slope_PC2	full	8082	6789		0.023192104911609	0.0113836701258517	0.0416525939698804	1	0.0416525939698804	0.000537873730231079
ALZnoAPOEukbb	auto	slope_PC3	full	8082	6789		-0.0212028810134288	0.0112017811175657	0.0584202019697597	1	0.0584202019697597	0.000449562163269618
