disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZ	sbr	baseline_thickness	EUR	4116	3447		-0.00464945378116738	0.0157659977044322	0.768082294669058	1	0.768082294669058	2.16174204632117e-05
ALZ	sbr	global_slope	EUR	4116	3447		-0.0217363138393558	0.0149650753674687	0.146453333559753	1	0.146453333559753	0.000472467339322972
ALZ	sbr	slope_PC1	EUR	4116	3447		0.0330139241953479	0.0154944575734839	0.0331798377388752	1	0.0331798377388752	0.00108991919077618
ALZ	sbr	slope_PC2	EUR	4116	3447		0.0464161337370875	0.0158670738220288	0.00346129729309113	1	0.00346129729309113	0.00215445747109919
ALZ	sbr	slope_PC3	EUR	4116	3447		-0.0215422755429353	0.0158145309425053	0.173220797188129	1	0.173220797188129	0.000464069635567748
ALZ	sbr	baseline_thickness	full	8082	6789		0.0144669778954185	0.0110230095471124	0.189411094395219	1	0.189411094395219	0.000209293449426528
ALZ	sbr	global_slope	full	8082	6789		-0.0211957177657801	0.0107151964678987	0.0479535468745506	1	0.0479535468745506	0.000449258451606604
ALZ	sbr	slope_PC1	full	8082	6789		0.00815757508893918	0.0110726318754028	0.461307503373004	1	0.461307503373004	6.65460313316812e-05
ALZ	sbr	slope_PC2	full	8082	6789		0.0163392180400115	0.0113029436587902	0.14833815049967	1	0.14833815049967	0.000266970046159036
ALZ	sbr	slope_PC3	full	8082	6789		-0.00736969356194179	0.0111232865344283	0.50764113391417	1	0.50764113391417	5.43123831969263e-05
