disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDD	sbr	baseline_thickness	EUR	4116	3447		-0.0161803639313243	0.0161374715231544	0.316085380706785	1	0.316085380706785	0.000261804176950099
MDD	sbr	global_slope	EUR	4116	3447		-0.0233945227204612	0.0152977631977116	0.126279095271426	1	0.126279095271426	0.000547303693318176
MDD	sbr	slope_PC1	EUR	4116	3447		0.0156631205099529	0.015848327365477	0.323063618545196	1	0.323063618545196	0.000245333344109309
MDD	sbr	slope_PC2	EUR	4116	3447		0.0171766373939902	0.0162415601721992	0.290316999285674	1	0.290316999285674	0.000295036872164622
MDD	sbr	slope_PC3	EUR	4116	3447		-0.0189739690539705	0.0161729854516346	0.240793745553372	1	0.240793745553372	0.000360011501661029
MDD	sbr	baseline_thickness	full	8082	6789		-0.00325085554831714	0.0113774375510742	0.775093732252274	1	0.775093732252274	1.05680617960243e-05
MDD	sbr	global_slope	full	8082	6789		-0.024692671487665	0.010994648497504	0.0247408084776387	1	0.0247408084776387	0.000609728025197744
MDD	sbr	slope_PC1	full	8082	6789		0.0229234761404845	0.0113573007585017	0.0435865753253924	1	0.0435865753253924	0.000525485758363363
MDD	sbr	slope_PC2	full	8082	6789		0.0214015740305168	0.0116019106482627	0.0651264004255451	1	0.0651264004255451	0.000458027370983692
MDD	sbr	slope_PC3	full	8082	6789		-0.0102383622148892	0.0114163382326205	0.369845719114983	1	0.369845719114983	0.000104824060843271
