disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
SCZ	sbr	baseline_thickness	EUR	4116	3447		0.0148121277959372	0.0160585258944821	0.356382582970251	1	0.356382582970251	0.000219399129843176
SCZ	sbr	global_slope	EUR	4116	3447		-0.0350315919331414	0.0152771607617514	0.021897968055672	1	0.021897968055672	0.00122721243337014
SCZ	sbr	slope_PC1	EUR	4116	3447		0.0294808646378901	0.0158328375063959	0.0626804495551119	1	0.0626804495551119	0.000869121379797596
SCZ	sbr	slope_PC2	EUR	4116	3447		0.0102856076673261	0.0162263980865648	0.526195985875204	1	0.526195985875204	0.000105793725086158
SCZ	sbr	slope_PC3	EUR	4116	3447		-0.0142666296424306	0.0161534761925975	0.377187575345584	1	0.377187575345584	0.00020353672135428
SCZ	sbr	baseline_thickness	full	8082	6789		0.0150397136910743	0.0114697533796252	0.189811289511774	1	0.189811289511774	0.000226192987909487
SCZ	sbr	global_slope	full	8082	6789		-0.0260939901866577	0.0110917179608233	0.018670222049374	1	0.018670222049374	0.000680896323861386
SCZ	sbr	slope_PC1	full	8082	6789		0.0239291568355291	0.0114585107789326	0.0368020941644287	1	0.0368020941644287	0.000572604546859348
SCZ	sbr	slope_PC2	full	8082	6789		0.00878578100558675	0.0117076058961636	0.453017018432796	1	0.453017018432796	7.7189947878129e-05
SCZ	sbr	slope_PC3	full	8082	6789		-0.00770810079959871	0.0115185490442204	0.503394790939132	1	0.503394790939132	5.94148179367742e-05
