disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
SCZ	sbrc	baseline_thickness	EUR	4116	3447	655	686	0.0358650664638079	0.0402911794902886	0.373692808783382	0.0148780299521022	0.0173847640483364	0.392163144630267	-0.0209870365117057	0.0438080725843025	-0.479067789876377	0.63189040330564
SCZ	sbrc	baseline_thickness	full	8082	6789	1250	1339	-0.00485011381125981	0.0328334144568522	0.882586504910018	0.0141241388097107	0.012089862939061	0.242741573639592	0.0189742526209705	0.0349762992323831	0.542488857809262	0.587481781144166
SCZ	sbrc	global_slope	EUR	4116	3447	655	686	-0.0238717524255176	0.0519254997136936	0.645829820474438	-0.0344279616449049	0.015898878199695	0.0304248159315184	-0.0105562092193873	0.0542514189545576	-0.194579412351029	0.84572222155286
SCZ	sbrc	global_slope	full	8082	6789	1250	1339	-0.00439295651056472	0.0405541299483315	0.913752830698368	-0.0256968016075094	0.0114169597732376	0.0244332001474175	-0.0213038450969447	0.0421213937269645	-0.505772559071491	0.61301632438358
SCZ	sbrc	slope_PC1	EUR	4116	3447	655	686	0.0218484886962868	0.055649432264568	0.694715233733964	0.026372982637291	0.0164290599119451	0.108532975088731	0.00452449394100418	0.0579700008277113	0.07804888522343	0.937789166775285
SCZ	sbrc	slope_PC1	full	8082	6789	1250	1339	0.00808302045088363	0.0424324763172699	0.848948811860607	0.0259777398749675	0.0117823796837746	0.0275026115970578	0.0178947194240838	0.0440285811159771	0.406434160958918	0.684423623789467
SCZ	sbrc	slope_PC2	EUR	4116	3447	655	686	0.0122746965614986	0.0540942428023998	0.820548017462004	0.00267883258091526	0.0169167307367991	0.874187323981477	-0.00959586398058332	0.0566198303853008	-0.169478854233278	0.865420003636879
SCZ	sbrc	slope_PC2	full	8082	6789	1250	1339	0.0227518694584712	0.042025745670055	0.588320200998681	0.00760652586672879	0.0120666325867775	0.528469316011792	-0.0151453435917425	0.0437138976206825	-0.346465184211272	0.728993144811542
SCZ	sbrc	slope_PC3	EUR	4116	3447	655	686	-0.00439524667320373	0.0525057172295023	0.93331261773562	-0.00937956904270629	0.0168829623703405	0.57854728861699	-0.00498432236950256	0.0550943515926125	-0.0904688452703544	0.927914650279128
SCZ	sbrc	slope_PC3	full	8082	6789	1250	1339	0.0134799682952373	0.0415926765484944	0.74591088060517	-0.0134520019291485	0.0118658629011256	0.256972751566674	-0.0269319702243858	0.043242519804822	-0.622812230784539	0.533407920007831
