phenotype,x_lo,x_hi,y_lo,y_hi,count
global,-0.0248727554862058,-0.024652167608170086,-0.030646855696685,-0.03028389912036645,1
global,-0.024652167608170086,-0.024431579730134375,-0.029920942544047903,-0.029557985967729353,1
global,-0.024652167608170086,-0.024431579730134375,-0.02810615966245516,-0.027743203086136613,1
global,-0.02399040397406295,-0.023769816096027234,-0.02846911623877371,-0.02810615966245516,1
global,-0.02399040397406295,-0.023769816096027234,-0.02592842020454387,-0.025565463628225323,1
global,-0.023769816096027234,-0.02354922821799152,-0.026654333357180968,-0.026291376780862418,2
global,-0.02354922821799152,-0.023328640339955808,-0.028832072815092258,-0.02846911623877371,1
global,-0.02354922821799152,-0.023328640339955808,-0.02592842020454387,-0.025565463628225323,2
global,-0.02354922821799152,-0.023328640339955808,-0.024113637322951128,-0.02375068074663258,1
global,-0.023328640339955808,-0.023108052461920093,-0.02592842020454387,-0.025565463628225323,1
global,-0.023328640339955808,-0.023108052461920093,-0.025202507051906773,-0.024839550475588223,1
global,-0.023328640339955808,-0.023108052461920093,-0.024476593899269677,-0.024113637322951128,1
global,-0.023108052461920093,-0.02288746458388438,-0.026654333357180968,-0.026291376780862418,1
global,-0.023108052461920093,-0.02288746458388438,-0.025565463628225323,-0.025202507051906773,3
global,-0.023108052461920093,-0.02288746458388438,-0.025202507051906773,-0.024839550475588223,1
global,-0.023108052461920093,-0.02288746458388438,-0.024113637322951128,-0.02375068074663258,1
global,-0.023108052461920093,-0.02288746458388438,-0.023387724170314032,-0.023024767593995483,1
global,-0.02288746458388438,-0.022666876705848667,-0.02592842020454387,-0.025565463628225323,2
global,-0.02288746458388438,-0.022666876705848667,-0.025565463628225323,-0.025202507051906773,1
global,-0.02288746458388438,-0.022666876705848667,-0.024839550475588223,-0.024476593899269677,3
global,-0.02288746458388438,-0.022666876705848667,-0.02375068074663258,-0.023387724170314032,1
global,-0.022666876705848667,-0.022446288827812955,-0.026654333357180968,-0.026291376780862418,1
global,-0.022666876705848667,-0.022446288827812955,-0.026291376780862418,-0.02592842020454387,1
global,-0.022666876705848667,-0.022446288827812955,-0.025565463628225323,-0.025202507051906773,1
global,-0.022666876705848667,-0.022446288827812955,-0.025202507051906773,-0.024839550475588223,2
global,-0.022666876705848667,-0.022446288827812955,-0.024839550475588223,-0.024476593899269677,3
global,-0.022666876705848667,-0.022446288827812955,-0.024476593899269677,-0.024113637322951128,2
global,-0.022666876705848667,-0.022446288827812955,-0.02375068074663258,-0.023387724170314032,1
global,-0.022666876705848667,-0.022446288827812955,-0.023387724170314032,-0.023024767593995483,2
global,-0.022446288827812955,-0.02222570094977724,-0.02592842020454387,-0.025565463628225323,1
global,-0.022446288827812955,-0.02222570094977724,-0.024839550475588223,-0.024476593899269677,1
global,-0.022446288827812955,-0.02222570094977724,-0.024476593899269677,-0.024113637322951128,1
global,-0.022446288827812955,-0.02222570094977724,-0.024113637322951128,-0.02375068074663258,3
global,-0.022446288827812955,-0.02222570094977724,-0.02375068074663258,-0.023387724170314032,2
global,-0.022446288827812955,-0.02222570094977724,-0.023387724170314032,-0.023024767593995483,2
global,-0.022446288827812955,-0.02222570094977724,-0.023024767593995483,-0.022661811017676933,1
global,-0.022446288827812955,-0.02222570094977724,-0.022661811017676933,-0.022298854441358387,2
global,-0.02222570094977724,-0.02200511307174153,-0.026291376780862418,-0.02592842020454387,1
global,-0.02222570094977724,-0.02200511307174153,-0.025565463628225323,-0.025202507051906773,1
global,-0.02222570094977724,-0.02200511307174153,-0.025202507051906773,-0.024839550475588223,1
global,-0.02222570094977724,-0.02200511307174153,-0.024839550475588223,-0.024476593899269677,2
global,-0.02222570094977724,-0.02200511307174153,-0.024476593899269677,-0.024113637322951128,3
global,-0.02222570094977724,-0.02200511307174153,-0.024113637322951128,-0.02375068074663258,3
global,-0.02222570094977724,-0.02200511307174153,-0.02375068074663258,-0.023387724170314032,3
global,-0.02222570094977724,-0.02200511307174153,-0.023387724170314032,-0.023024767593995483,2
global,-0.02222570094977724,-0.02200511307174153,-0.022661811017676933,-0.022298854441358387,1
global,-0.02200511307174153,-0.021784525193705814,-0.02592842020454387,-0.025565463628225323,1
global,-0.02200511307174153,-0.021784525193705814,-0.025565463628225323,-0.025202507051906773,2
global,-0.02200511307174153,-0.021784525193705814,-0.025202507051906773,-0.024839550475588223,1
global,-0.02200511307174153,-0.021784525193705814,-0.024839550475588223,-0.024476593899269677,3
global,-0.02200511307174153,-0.021784525193705814,-0.024476593899269677,-0.024113637322951128,3
global,-0.02200511307174153,-0.021784525193705814,-0.024113637322951128,-0.02375068074663258,4
global,-0.02200511307174153,-0.021784525193705814,-0.02375068074663258,-0.023387724170314032,5
global,-0.02200511307174153,-0.021784525193705814,-0.023387724170314032,-0.023024767593995483,6
global,-0.02200511307174153,-0.021784525193705814,-0.023024767593995483,-0.022661811017676933,4
global,-0.02200511307174153,-0.021784525193705814,-0.022661811017676933,-0.022298854441358387,3
global,-0.02200511307174153,-0.021784525193705814,-0.022298854441358387,-0.021935897865039838,3
global,-0.02200511307174153,-0.021784525193705814,-0.021935897865039838,-0.021572941288721288,2
global,-0.02200511307174153,-0.021784525193705814,-0.021209984712402742,-0.020847028136084196,1
global,-0.02200511307174153,-0.021784525193705814,-0.020847028136084196,-0.020484071559765643,1
global,-0.021784525193705814,-0.0215639373156701,-0.026291376780862418,-0.02592842020454387,1
global,-0.021784525193705814,-0.0215639373156701,-0.024839550475588223,-0.024476593899269677,1
global,-0.021784525193705814,-0.0215639373156701,-0.024113637322951128,-0.02375068074663258,3
global,-0.021784525193705814,-0.0215639373156701,-0.02375068074663258,-0.023387724170314032,1
global,-0.021784525193705814,-0.0215639373156701,-0.023387724170314032,-0.023024767593995483,10
global,-0.021784525193705814,-0.0215639373156701,-0.023024767593995483,-0.022661811017676933,7
global,-0.021784525193705814,-0.0215639373156701,-0.022661811017676933,-0.022298854441358387,2
global,-0.021784525193705814,-0.0215639373156701,-0.022298854441358387,-0.021935897865039838,4
global,-0.021784525193705814,-0.0215639373156701,-0.021935897865039838,-0.021572941288721288,4
global,-0.021784525193705814,-0.0215639373156701,-0.021209984712402742,-0.020847028136084196,2
global,-0.021784525193705814,-0.0215639373156701,-0.020484071559765643,-0.020121114983447097,1
global,-0.0215639373156701,-0.021343349437634388,-0.024839550475588223,-0.024476593899269677,1
global,-0.0215639373156701,-0.021343349437634388,-0.024476593899269677,-0.024113637322951128,2
global,-0.0215639373156701,-0.021343349437634388,-0.024113637322951128,-0.02375068074663258,2
global,-0.0215639373156701,-0.021343349437634388,-0.02375068074663258,-0.023387724170314032,4
global,-0.0215639373156701,-0.021343349437634388,-0.023387724170314032,-0.023024767593995483,6
global,-0.0215639373156701,-0.021343349437634388,-0.023024767593995483,-0.022661811017676933,7
global,-0.0215639373156701,-0.021343349437634388,-0.022661811017676933,-0.022298854441358387,10
global,-0.0215639373156701,-0.021343349437634388,-0.022298854441358387,-0.021935897865039838,2
global,-0.0215639373156701,-0.021343349437634388,-0.021935897865039838,-0.021572941288721288,5
global,-0.0215639373156701,-0.021343349437634388,-0.021572941288721288,-0.021209984712402742,5
global,-0.0215639373156701,-0.021343349437634388,-0.020847028136084196,-0.020484071559765643,1
global,-0.0215639373156701,-0.021343349437634388,-0.01975815840712855,-0.019395201830809998,1
global,-0.021343349437634388,-0.021122761559598673,-0.024839550475588223,-0.024476593899269677,1
global,-0.021343349437634388,-0.021122761559598673,-0.024476593899269677,-0.024113637322951128,3
global,-0.021343349437634388,-0.021122761559598673,-0.024113637322951128,-0.02375068074663258,2
global,-0.021343349437634388,-0.021122761559598673,-0.02375068074663258,-0.023387724170314032,1
global,-0.021343349437634388,-0.021122761559598673,-0.023387724170314032,-0.023024767593995483,8
global,-0.021343349437634388,-0.021122761559598673,-0.023024767593995483,-0.022661811017676933,11
global,-0.021343349437634388,-0.021122761559598673,-0.022661811017676933,-0.022298854441358387,10
global,-0.021343349437634388,-0.021122761559598673,-0.022298854441358387,-0.021935897865039838,13
global,-0.021343349437634388,-0.021122761559598673,-0.021935897865039838,-0.021572941288721288,7
global,-0.021343349437634388,-0.021122761559598673,-0.021572941288721288,-0.021209984712402742,9
global,-0.021343349437634388,-0.021122761559598673,-0.021209984712402742,-0.020847028136084196,2
