phenotype,k_bilateral,r_with_global,r_lh_rh,spearman_brown
topDelta,4,0.7961,0.5731,0.7286
topC3,4,0.8521,0.598,0.7485
topDelta,6,0.864,0.6486,0.7869
topC3,6,0.8844,0.6233,0.7679
topDelta,8,0.8876,0.6893,0.8161
topC3,8,0.9156,0.6492,0.7873
topDelta,10,0.9155,0.6905,0.8169
topC3,10,0.9291,0.6816,0.8107
topDelta,12,0.9254,0.703,0.8256
topC3,12,0.9348,0.6848,0.8129
topDelta,17,0.9571,0.7157,0.8343
topC3,17,0.9638,0.7098,0.8303
projDelta,34,0.2837,0.4565,0.6269
projC3,34,0.4078,0.4805,0.6491
global_slope,34,1.0,0.7723,0.8715
