base,group_mean_slope,C3,rank_delta,rank_C3,in_topDelta,in_topC3
frontalpole,-0.03088365,0.4806348735986563,1,15,True,False
parsorbitalis,-0.027200250000000002,1.2826595371620746,2,3,True,True
precuneus,-0.025236099999999997,0.595051698383097,3,13,True,False
inferiorparietal,-0.0250501,1.2698196346446733,4,4,True,True
rostralmiddlefrontal,-0.024394850000000003,1.1359138529787522,5,6,True,True
paracentral,-0.023607,-0.9477211825403208,6,26,True,False
medialorbitofrontal,-0.0230006,0.5298201791501582,7,14,True,False
superiorparietal,-0.0228129,0.2211949679022319,8,16,True,False
lateralorbitofrontal,-0.02239735,0.9282185232538284,9,8,False,True
bankssts,-0.02232315,1.4139222032754866,10,1,False,True
parstriangularis,-0.02187265,1.1982285218608604,11,5,False,True
superiorfrontal,-0.02107105,-0.0226093594926856,12,20,False,False
isthmuscingulate,-0.02028545,0.1403243234280502,13,17,False,False
rostralanteriorcingulate,-0.0202369,-0.6556303211443364,14,22,False,False
posteriorcingulate,-0.0202236,-0.0102666031760695,15,19,False,False
cuneus,-0.020078949999999998,-1.3272300812986135,16,30,False,False
supramarginal,-0.01998765,1.3650974883090408,17,2,False,True
lingual,-0.01930885,-1.0710853433336256,18,29,False,False
inferiortemporal,-0.0188486,1.0736087794378268,19,7,False,True
middletemporal,-0.01880705,0.8730265777072516,20,9,False,False
postcentral,-0.018662650000000003,-0.7956149188362478,21,25,False,False
transversetemporal,-0.018577700000000003,-0.9898798971953062,22,27,False,False
caudalanteriorcingulate,-0.01834545,-1.4091191565614147,23,32,False,False
insula,-0.0181368,-0.1578594745629921,24,21,False,False
fusiform,-0.017173599999999997,0.8385364123958069,25,10,False,False
superiortemporal,-0.016064099999999998,0.6756183028904786,26,12,False,False
lateraloccipital,-0.015932,-0.671700969412944,27,23,False,False
parsopercularis,-0.01530225,0.7733697976444989,28,11,False,False
parahippocampal,-0.014903050000000001,-1.0688182024673225,29,28,False,False
caudalmiddlefrontal,-0.014494900000000002,0.105364827799875,30,18,False,False
pericalcarine,-0.01288415,-1.7297885232059391,31,33,False,False
temporalpole,-0.006731115,-0.7099556555251872,32,24,False,False
precentral,-0.006058559999999999,-1.376269003920261,33,31,False,False
entorhinal,-0.002421725,-1.9568618091493803,34,34,False,False
