map_x,map_y,rho,p_spin
baseline_thickness,global_slope,0.140512,0.329334
baseline_thickness,slope_PC1,-0.255678,0.080784
baseline_thickness,slope_PC2,-0.276406,0.04979
baseline_thickness,slope_PC3,0.176661,0.24755
baseline_thickness,slope_topDelta,0.153262,0.285543
baseline_thickness,slope_topC3,-0.014162,0.917816
baseline_thickness,slope_projDelta,-0.210024,0.129374
baseline_thickness,slope_projC3,-0.120739,0.381124
global_slope,slope_PC1,-0.926022,0.0002
global_slope,slope_PC2,-0.511051,0.010998
global_slope,slope_PC3,0.676566,0.0002
global_slope,slope_topDelta,0.886857,0.0002
global_slope,slope_topC3,0.91812,0.0002
global_slope,slope_projDelta,0.437073,0.016997
global_slope,slope_projC3,0.648509,0.0002
slope_PC1,slope_PC2,0.702867,0.0002
slope_PC1,slope_PC3,-0.748254,0.0002
slope_PC1,slope_topDelta,-0.886857,0.0002
slope_PC1,slope_topC3,-0.83689,0.0002
slope_PC1,slope_projDelta,-0.386609,0.066787
slope_PC1,slope_projC3,-0.507692,0.0024
slope_PC2,slope_PC3,-0.229377,0.524495
slope_PC2,slope_topDelta,-0.441272,0.033793
slope_PC2,slope_topC3,-0.31454,0.19876
slope_PC2,slope_projDelta,0.084475,0.766447
slope_PC2,slope_projC3,0.152231,0.572086
slope_PC3,slope_topDelta,0.823339,0.0002
slope_PC3,slope_topC3,0.742909,0.0002
slope_PC3,slope_projDelta,0.734321,0.0002
slope_PC3,slope_projC3,0.730389,0.0002
slope_topDelta,slope_topC3,0.848609,0.0002
slope_topDelta,slope_projDelta,0.662939,0.0002
slope_topDelta,slope_projC3,0.66939,0.0002
slope_topC3,slope_projDelta,0.577623,0.0014
slope_topC3,slope_projC3,0.842997,0.0002
slope_projDelta,slope_projC3,0.733748,0.0002
