disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni
SCZ	EUR	slope_topDelta	4116	8	2000	0.005329823346632464	2.8150553879558973	0.027486256871564217	0.04263858677305971
SCZ	EUR	slope_topC3	4116	8	2000	0.017901422898674378	2.4427862989573517	0.06546726636681659	0.14321138318939503
SCZ	EUR	slope_projDelta	4116	8	2000	0.08082981348109333	1.828198025314729	0.23638180909545228	0.6466385078487467
SCZ	EUR	slope_projC3	4116	8	2000	0.3099178113512761	1.0453600950472999	0.7116441779110445	1.0
SCZ	EUR	global_slope	4116	8	2000	0.001973323632304714	3.1319403792689275	0.0069965017491254375	0.015786589058437713
MDD	EUR	slope_topDelta	4116	8	2000	0.03428495499991539	2.2150919477016333	0.0944527736131934	0.27427963999932314
MDD	EUR	slope_topC3	4116	8	2000	0.18132663128800702	1.400774863871732	0.4642678660669665	1.0
MDD	EUR	slope_projDelta	4116	8	2000	0.20506833989587353	1.328267614057493	0.5317341329335332	1.0
MDD	EUR	slope_projC3	4116	8	2000	0.418606256359992	0.8443509919048645	0.8385807096451774	1.0
MDD	EUR	global_slope	4116	8	2000	0.08018585512702876	1.8189108989075562	0.24237881059470265	0.6414868410162301
ASD	EUR	slope_topDelta	4116	8	2000	0.21765821167594926	1.2800083845350139	0.6891554222888556	1.0
ASD	EUR	slope_topC3	4116	8	2000	0.21504872081255544	1.2668679825445954	0.6761619190404797	1.0
ASD	EUR	slope_projDelta	4116	8	2000	0.05117537227629144	2.078693414888806	0.1874062968515742	0.4094029782103315
ASD	EUR	slope_projC3	4116	8	2000	0.2273129372943178	1.2547890518991256	0.7096451774112944	1.0
ASD	EUR	global_slope	4116	8	2000	0.07043285873842714	1.8762255007088	0.26486756621689156	0.5634628699074171
ALZ	EUR	slope_topDelta	4116	8	2000	0.02928753096489959	2.2297033071028043	0.09245377311344327	0.23430024771919672
ALZ	EUR	slope_topC3	4116	8	2000	0.02598478368200046	2.2026398589243326	0.13043478260869565	0.20787826945600368
ALZ	EUR	slope_projDelta	4116	8	2000	0.282409588275964	1.069338596195534	0.6981509245377311	1.0
ALZ	EUR	slope_projC3	4116	8	2000	0.06804386735486725	1.8861775985346332	0.2193903048475762	0.544350938838938
ALZ	EUR	global_slope	4116	8	2000	0.01752189924416533	2.3773060853913184	0.0769615192403798	0.14017519395332265
ALZnoAPOE	EUR	slope_topDelta	4116	8	2000	0.1078106483958076	1.6076121150880056	0.3743128435782109	0.8624851871664608
ALZnoAPOE	EUR	slope_topC3	4116	8	2000	0.07117347724009984	1.837189501658457	0.2588705647176412	0.5693878179207987
ALZnoAPOE	EUR	slope_projDelta	4116	8	2000	0.2560490762923533	1.1328081087883581	0.7081459270364817	1.0
ALZnoAPOE	EUR	slope_projC3	4116	8	2000	0.02858002733762579	2.2653882845709568	0.11794102948525736	0.22864021870100631
ALZnoAPOE	EUR	global_slope	4116	8	2000	0.05243964247271025	1.9826960336768487	0.20239880059970014	0.419517139781682
SCZ	full	slope_topDelta	8082	8	2000	0.0029110702388645943	3.0278174569154	0.010494752623688156	0.023288561910916755
SCZ	full	slope_topC3	8082	8	2000	0.006509156988961881	2.7433390542489	0.033483258370814596	0.052073255911695045
SCZ	full	slope_projDelta	8082	8	2000	0.12448061185017145	1.5970493917636535	0.351824087956022	0.9958448948013716
SCZ	full	slope_projC3	8082	8	2000	0.22285563183795234	1.2381517122562586	0.5997001499250375	1.0
SCZ	full	global_slope	8082	8	2000	0.002471058715148921	3.05731343054462	0.012993503248375811	0.019768469721191367
MDD	full	slope_topDelta	8082	8	2000	0.015208876526558784	2.526053396389334	0.05297351324337831	0.12167101221247027
MDD	full	slope_topC3	8082	8	2000	0.07330843851341728	1.8692926349969428	0.2193903048475762	0.5864675081073383
MDD	full	slope_projDelta	8082	8	2000	0.31614475759844984	1.0344583707499129	0.712143928035982	1.0
MDD	full	slope_projC3	8082	8	2000	0.42093833512105655	0.8329386764450821	0.8610694652673663	1.0
MDD	full	global_slope	8082	8	2000	0.021015817541222444	2.4141079718535567	0.06746626686656672	0.16812654032977956
ASD	full	slope_topDelta	8082	8	2000	0.013898594528839356	2.4842565299363017	0.08045977011494253	0.11118875623071485
ASD	full	slope_topC3	8082	8	2000	0.0059921335172265985	2.775746259026529	0.04447776111944028	0.04793706813781279
ASD	full	slope_projDelta	8082	8	2000	0.05356794853697315	2.026650963738045	0.2143928035982009	0.4285435882957852
ASD	full	slope_projC3	8082	8	2000	0.3692251551361368	0.9559177347400438	0.879560219890055	1.0
ASD	full	global_slope	8082	8	2000	0.0017705881190262737	3.159830537874607	0.012993503248375811	0.01416470495221019
ALZ	full	slope_topDelta	8082	8	2000	0.02824914604646584	2.157486154924541	0.11244377811094453	0.22599316837172673
ALZ	full	slope_topC3	8082	8	2000	0.014829020695986853	2.400480696008778	0.07846076961519241	0.11863216556789483
ALZ	full	slope_projDelta	8082	8	2000	0.2508105509331824	1.1499812430789298	0.6466766616691654	1.0
ALZ	full	slope_projC3	8082	8	2000	0.11112468910236217	1.62452881448808	0.328335832083958	0.8889975128188974
ALZ	full	global_slope	8082	8	2000	0.006102395777003581	2.7027869507390925	0.04097951024487756	0.04881916621602865
ALZnoAPOE	full	slope_topDelta	8082	8	2000	0.05453776367446356	1.8909971198060211	0.23788105947026486	0.43630210939570846
ALZnoAPOE	full	slope_topC3	8082	8	2000	0.04024240257587217	2.027659889420608	0.18140929535232383	0.3219392206069774
ALZnoAPOE	full	slope_projDelta	8082	8	2000	0.11656455866187139	1.5816566407933184	0.4222888555722139	0.9325164692949711
ALZnoAPOE	full	slope_projC3	8082	8	2000	0.08984580951657112	1.7418171281069086	0.31784107946026985	0.7187664761325689
ALZnoAPOE	full	global_slope	8082	8	2000	0.020180526352987366	2.3010123934922344	0.09795102448775612	0.16144421082389893
