disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni
SCZ	EUR	slope_topDelta	4116	8	2000	0.004983984643133644	2.836599202914942	0.026486756621689155	0.03987187714506915
SCZ	EUR	slope_topC3	4116	8	2000	0.01661798448518473	2.46873438310953	0.06146926536731634	0.13294387588147785
SCZ	EUR	slope_projDelta	4116	8	2000	0.08336874732860415	1.8133119022696906	0.24087956021989004	0.6669499786288332
SCZ	EUR	slope_projC3	4116	8	2000	0.2913528184406117	1.0870571262377486	0.6916541729135433	1.0
SCZ	EUR	global_slope	4116	8	2000	0.0018936242257325843	3.1423810800268295	0.0069965017491254375	0.015148993805860675
MDD	EUR	slope_topDelta	4116	8	2000	0.037145758751425534	2.1783221896539313	0.10094952523738131	0.29716607001140427
MDD	EUR	slope_topC3	4116	8	2000	0.18761622731587752	1.3795191850297572	0.48225887056471767	1.0
MDD	EUR	slope_projDelta	4116	8	2000	0.2013236355633046	1.3389661764959988	0.5262368815592204	1.0
MDD	EUR	slope_projC3	4116	8	2000	0.32144972272502925	0.9950091393480387	0.7401299350324838	1.0
MDD	EUR	global_slope	4116	8	2000	0.08785345809881533	1.7742699113511118	0.2623688155922039	0.7028276647905226
ASD	EUR	slope_topDelta	4116	8	2000	0.23294722674586016	1.2376011379062473	0.7176411794102948	1.0
ASD	EUR	slope_topC3	4116	8	2000	0.23167693091040265	1.2226689973664246	0.7151424287856072	1.0
ASD	EUR	slope_projDelta	4116	8	2000	0.05297689161357383	2.0647115253071724	0.19390304847576212	0.42381513290859063
ASD	EUR	slope_projC3	4116	8	2000	0.20179212549986228	1.3265573103697184	0.6596701649175413	1.0
ASD	EUR	global_slope	4116	8	2000	0.07478631166440441	1.8473010480771115	0.28335832083958024	0.5982904933152353
ALZ	EUR	slope_topDelta	4116	8	2000	0.030776037770820035	2.2148285242585253	0.09395302348825588	0.24620830216656028
ALZ	EUR	slope_topC3	4116	8	2000	0.027444141299333213	2.1781393168450776	0.136431784107946	0.2195531303946657
ALZ	EUR	slope_projDelta	4116	8	2000	0.28572406111362453	1.0614266003926214	0.7016491754122939	1.0
ALZ	EUR	slope_projC3	4116	8	2000	0.0854863055383537	1.7785985073542956	0.2658670664667666	0.6838904443068295
ALZ	EUR	global_slope	4116	8	2000	0.02016564795978427	2.347649415356912	0.08595702148925537	0.16132518367827417
ALZnoAPOE	EUR	slope_topDelta	4116	8	2000	0.11437857641146543	1.5776291927194954	0.391304347826087	0.9150286112917234
ALZnoAPOE	EUR	slope_topC3	4116	8	2000	0.07204786834975618	1.8285153953370086	0.2608695652173913	0.5763829467980495
ALZnoAPOE	EUR	slope_projDelta	4116	8	2000	0.2543133163213649	1.1363767293712679	0.7076461769115442	1.0
ALZnoAPOE	EUR	slope_projC3	4116	8	2000	0.029810892125594103	2.2450685052310044	0.12243878060969515	0.23848713700475282
ALZnoAPOE	EUR	global_slope	4116	8	2000	0.057543333871806684	1.9406152007195494	0.22038980509745126	0.4603466709744535
SCZ	full	slope_topDelta	8082	8	2000	0.0026624706256363614	3.053888457552303	0.010994502748625687	0.02129976500509089
SCZ	full	slope_topC3	8082	8	2000	0.006290257676943826	2.752394306275677	0.03298350824587706	0.05032206141555061
SCZ	full	slope_projDelta	8082	8	2000	0.12301108261813125	1.6031091188090743	0.34832583708145926	0.98408866094505
SCZ	full	slope_projC3	8082	8	2000	0.23028779100471675	1.2184852631239722	0.6096951524237881	1.0
SCZ	full	global_slope	8082	8	2000	0.002247029692558483	3.0839103717970784	0.012993503248375811	0.017976237540467864
MDD	full	slope_topDelta	8082	8	2000	0.015234801301332411	2.5234693398125785	0.051974012993503245	0.12187841041065929
MDD	full	slope_topC3	8082	8	2000	0.06668199331763588	1.9135122701832965	0.20189905047476261	0.5334559465410871
MDD	full	slope_projDelta	8082	8	2000	0.32149491304324007	1.0218615798743245	0.7286356821589205	1.0
MDD	full	slope_projC3	8082	8	2000	0.334607776347874	0.9954335211866393	0.7621189405297352	1.0
MDD	full	global_slope	8082	8	2000	0.020933087155242145	2.425617880505766	0.06546726636681659	0.16746469724193716
ASD	full	slope_topDelta	8082	8	2000	0.014532164727156252	2.467141694492673	0.08245877061469266	0.11625731781725002
ASD	full	slope_topC3	8082	8	2000	0.006392616228718386	2.7537252111661155	0.046476761619190406	0.051140929829747085
ASD	full	slope_projDelta	8082	8	2000	0.05278333031986639	2.03370858797279	0.21189405297351324	0.4222666425589311
ASD	full	slope_projC3	8082	8	2000	0.4092023137589468	0.8777821963732548	0.9105447276361819	1.0
ASD	full	global_slope	8082	8	2000	0.0018737033870200876	3.1428636156944183	0.013493253373313344	0.014989627096160701
ALZ	full	slope_topDelta	8082	8	2000	0.027653135659093477	2.163887299519045	0.11094452773613193	0.2212250852727478
ALZ	full	slope_topC3	8082	8	2000	0.013561514611623866	2.430141505239541	0.07246376811594203	0.10849211689299093
ALZ	full	slope_projDelta	8082	8	2000	0.24552414811574785	1.1635146610948266	0.6351824087956022	1.0
ALZ	full	slope_projC3	8082	8	2000	0.1425008391853191	1.4937028047889298	0.4102948525737131	1.0
ALZ	full	global_slope	8082	8	2000	0.005961657513449085	2.707813372599228	0.03698150924537731	0.04769326010759268
ALZnoAPOE	full	slope_topDelta	8082	8	2000	0.05373675031653478	1.8953938808347666	0.23288355822088955	0.4298940025322782
ALZnoAPOE	full	slope_topC3	8082	8	2000	0.03810867899156861	2.0477826019336427	0.1729135432283858	0.3048694319325489
ALZnoAPOE	full	slope_projDelta	8082	8	2000	0.11529475908841665	1.5876277059292732	0.41679160419790107	0.9223580727073332
ALZnoAPOE	full	slope_projC3	8082	8	2000	0.1001120313108315	1.6840455189746963	0.3468265867066467	0.800896250486652
ALZnoAPOE	full	global_slope	8082	8	2000	0.01987159761510171	2.304440120370468	0.09895052473763119	0.15897278092081368
