panel,phenotype,pipeline,disorder,stratum,source,caveat,estimate,se,p,n,status,m_eff,threshold,gene_set,h2_z,underpowered
h2,baseline_thickness,v2,,full,hpc_v2/work/results_v2/reml_zaitlen_pcrel/reml_zaitlen_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.5393,0.0548,0.0,8082.0,observed,,,,,
h2,global_slope,v2,,full,hpc_v2/work/results_v2/reml_zaitlen_pcrel/reml_zaitlen_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.183,0.0491,2.4359e-06,8082.0,observed,,,,,
h2,slope_topDelta,v2,,full,hpc_v2/work/results_v2/reml_zaitlen_pcrel/reml_zaitlen_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.1535,0.0418,0.017549,8082.0,observed,,,,,
h2,slope_topC3,v2,,full,hpc_v2/work/results_v2/reml_zaitlen_pcrel/reml_zaitlen_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.1792,0.0518,1.3534e-05,8082.0,observed,,,,,
h2,slope_projDelta,v2,,full,hpc_v2/work/results_v2/reml_zaitlen_pcrel/reml_zaitlen_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.1645,0.039,0.5,8082.0,observed,,,,,
h2,slope_projC3,v2,,full,hpc_v2/work/results_v2/reml_zaitlen_pcrel/reml_zaitlen_summary.tsv,"v1 single-GRM REML, relatives dropped (n=5,649); v2 Zaitlen two-GRM, relatives kept (n=8,082)",0.1945,0.0406,0.5,8082.0,observed,,,,,
prs,baseline_thickness,v2,SCZ,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",0.0167398298270788,0.0161315258607434,0.299466935223023,4116.0,observed,4.6,0p5,,,
prs,baseline_thickness,v2,SCZ,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",0.0160436782471871,0.0149102336342878,0.281951657941625,8082.0,observed,4.6,0p5,,,
prs,baseline_thickness,v2,MDD,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0217665362695592,0.0160317419416887,0.174628946436952,4116.0,observed,4.6,0p5,,,
prs,baseline_thickness,v2,MDD,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0579225550263966,0.0275597472854996,0.0356098809023685,8082.0,observed,4.6,0p5,,,
prs,global_slope,v2,SCZ,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0468020519589132,0.0153055010574004,0.0022446575892281,4116.0,observed,4.6,0p5,,,
prs,global_slope,v2,SCZ,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0413318951953446,0.0144687336325045,0.0042932486466539,8082.0,observed,4.6,0p5,,,
prs,global_slope,v2,MDD,EUR,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0159069222149289,0.0152670312062808,0.29751710103888,4116.0,observed,4.6,0p5,,,
prs,global_slope,v2,MDD,full,hpc_v3/prs_tables/prs_association_v3.tsv,"same scores, so pooled (n=8,082) is the IDENTICAL estimate in both and is drawn once; v1's row shows only EUR, a PC-distance cut (n=5,361) against v3's anchor set (n=4,116).",-0.0545480179089452,0.0268057972926224,0.0418920952878094,8082.0,observed,4.6,0p5,,,
