disorder	phenotype	rg	se	z	p	h2_obs	h2_obs_se	h2_z	gcov_int	underpowered
SCZ	baseline_thickness	0.003447	0.04496	0.07666	0.9389	0.4240	0.0800	5.30	-0.0039	no
SCZ	global_slope	-0.1404	0.08335	-1.684	0.09213	0.1207	0.0533	2.26	0.0025	yes
SCZ	slope_PC3	NA	NA	NA	NA	-0.0374	0.0544	-0.69	-0.0012	yes
SCZ	slope_PC2	-0.07802	0.1166	-0.669	0.5035	0.0612	0.0610	1.00	0.0109	yes
SCZ	slope_PC1	0.2286	0.3972	0.5755	0.565	0.0208	0.0514	0.40	0.0055	yes
MDD	baseline_thickness	-0.008678	0.0438	-0.1981	0.8429	0.4099	0.08137	5.04	-0.01022	no
MDD	global_slope	-0.06608	0.07944	-0.8318	0.4055	0.1096	0.05519	1.99	-0.001512	yes
MDD	slope_PC3	NA	NA	NA	NA	-0.05108	0.05625	-0.91	-0.002184	yes
MDD	slope_PC2	0.02451	0.1135	0.216	0.829	0.05573	0.06182	0.90	0.003755	yes
MDD	slope_PC1	NA	NA	NA	NA	NA	NA	NA	NA	no
