disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDD	0p001	baseline_thickness	EUR	3725	3103	8022	-0.0219649861706616	0.0165864417333604	0.185494185936203	8	1	0.000482460617477353
MDD	0p01	baseline_thickness	EUR	3725	3103	23694	-0.0267041479181222	0.0165320319222038	0.106331659750242	8	0.850653278001935	0.000713111516032948
MDD	0p05	baseline_thickness	EUR	3725	3103	55889	-0.016234851571579	0.0165230056856947	0.32588810753504	8	1	0.000263570405551203
MDD	0p1	baseline_thickness	EUR	3725	3103	82102	-0.0226146158730104	0.016533909319756	0.17146658893496	8	1	0.000511420851083813
MDD	0p5	baseline_thickness	EUR	3725	3103	193094	-0.0207240121251035	0.0165786226757882	0.211362504878611	8	1	0.000429484678561439
MDD	1	baseline_thickness	EUR	3725	3103	251717	-0.0200384284060692	0.0165937189184994	0.227281828367188	8	1	0.000401538612985159
MDD	1e-5	baseline_thickness	EUR	3725	3103	1501	0.00801576384242697	0.0165505298630214	0.628187002469981	8	1	6.42524699775595e-05
MDD	5e-8	baseline_thickness	EUR	3725	3103	424	-0.0162266999266558	0.016537118470151	0.32654405352744	8	1	0.000263305790509731
MDD	0p001	global_slope	EUR	3725	3103	8022	-0.0228151558807672	0.0157453392018179	0.147426033514484	8	1	0.000520531337863707
MDD	0p01	global_slope	EUR	3725	3103	23694	-0.0161714060728793	0.0157241915411204	0.303814348484447	8	1	0.000261514374373958
MDD	0p05	global_slope	EUR	3725	3103	55889	-0.0191448893166647	0.0157300991758823	0.223653927304517	8	1	0.000366526786947341
MDD	0p1	global_slope	EUR	3725	3103	82102	-0.0161315722113061	0.0157460007956496	0.305676611349568	8	1	0.000260227622008585
MDD	0p5	global_slope	EUR	3725	3103	193094	-0.0110554592104325	0.0157764431708942	0.483501448446459	8	1	0.000122223178353537
MDD	1	global_slope	EUR	3725	3103	251717	-0.0115263874621404	0.0157834969971877	0.465267890810203	8	1	0.000132857607927388
MDD	1e-5	global_slope	EUR	3725	3103	1501	-0.0177571430306778	0.015715254691337	0.258584732242566	8	1	0.00031531612861195
MDD	5e-8	global_slope	EUR	3725	3103	424	-0.0153708949589017	0.0157187798010612	0.328208169104696	8	1	0.000236264411837591
MDD	0p001	slope_PC1	EUR	3725	3103	8022	0.0056835438267928	0.0164177471553744	0.729226900718775	8	1	3.23026704310746e-05
MDD	0p01	slope_PC1	EUR	3725	3103	23694	0.00770241508021191	0.0163943306303474	0.638512544794922	8	1	5.93271980678759e-05
MDD	0p05	slope_PC1	EUR	3725	3103	55889	0.0146866213681282	0.016402555877029	0.370643791805303	8	1	0.00021569684721076
MDD	0p1	slope_PC1	EUR	3725	3103	82102	0.0154435054907054	0.0164186317013782	0.346972042306902	8	1	0.000238501861841448
MDD	0p5	slope_PC1	EUR	3725	3103	193094	0.0141105046411377	0.0164490184653984	0.391045300558812	8	1	0.000199106341227568
MDD	1	slope_PC1	EUR	3725	3103	251717	0.013525066727182	0.0164559765111698	0.41119500260173	8	1	0.000182927429974726
MDD	1e-5	slope_PC1	EUR	3725	3103	1501	-0.00714833039958454	0.0163830360968034	0.662628994019853	8	1	5.10986275016245e-05
MDD	5e-8	slope_PC1	EUR	3725	3103	424	0.00115468852430281	0.0163880117468092	0.943832235511847	8	1	1.33330558815659e-06
MDD	0p001	slope_PC2	EUR	3725	3103	8022	0.00491100118838155	0.0167675190910847	0.769625495748141	8	1	2.4117932672285e-05
MDD	0p01	slope_PC2	EUR	3725	3103	23694	0.0179968807048119	0.016734848969608	0.282264232178949	8	1	0.00032388771510323
MDD	0p05	slope_PC2	EUR	3725	3103	55889	0.0294111710307624	0.0167335334117578	0.0788998089536223	8	0.631198471628978	0.00086501698140076
MDD	0p1	slope_PC2	EUR	3725	3103	82102	0.0295776455335514	0.0167506068053944	0.0775223315933265	8	0.620178652746612	0.000874837115308415
MDD	0p5	slope_PC2	EUR	3725	3103	193094	0.0272747132493595	0.0167850452512489	0.10426529371584	8	0.834122349726717	0.000743909982834784
MDD	1	slope_PC2	EUR	3725	3103	251717	0.0278772794016531	0.0167935560341923	0.0970046639169888	8	0.776037311335911	0.00077714270683783
MDD	1e-5	slope_PC2	EUR	3725	3103	1501	-0.00224735090228087	0.0167351043420061	0.893181378965931	8	1	5.05058607798263e-06
MDD	5e-8	slope_PC2	EUR	3725	3103	424	0.00661875677631673	0.0167338871548647	0.692475973525159	8	1	4.38079412640386e-05
MDD	0p001	slope_PC3	EUR	3725	3103	8022	-0.00614007773332183	0.0167183178013705	0.713442733785063	8	1	3.77005545712346e-05
MDD	0p01	slope_PC3	EUR	3725	3103	23694	3.45279781415117e-05	0.0166877689956662	0.998349249599757	8	1	1.19218127454071e-09
MDD	0p05	slope_PC3	EUR	3725	3103	55889	0.00356967067171647	0.0166889348546302	0.830641823011353	8	1	1.27425487045127e-05
MDD	0p1	slope_PC3	EUR	3725	3103	82102	0.00329438421420401	0.0167055180202958	0.843679855113308	8	1	1.08529673507966e-05
MDD	0p5	slope_PC3	EUR	3725	3103	193094	0.00496756010290967	0.0167388526147941	0.766661098929279	8	1	2.46766533760199e-05
MDD	1	slope_PC3	EUR	3725	3103	251717	0.00513604795795932	0.0167483673980589	0.759120794186417	8	1	2.63789886264581e-05
MDD	1e-5	slope_PC3	EUR	3725	3103	1501	0.00319706973558572	0.0166859716609526	0.848065047865087	8	1	1.02212548941981e-05
MDD	5e-8	slope_PC3	EUR	3725	3103	424	0.00839466961000905	0.0166832519870151	0.614870041106334	8	1	7.04704778612095e-05
SCZ	0p001	baseline_thickness	EUR	3725	3103	8496	0.000843925019153774	0.0165339610935165	0.959294875707511	8	1	7.12209437953697e-07
SCZ	0p01	baseline_thickness	EUR	3725	3103	28843	-0.0108740202025496	0.0164917206050156	0.509704132483244	8	1	0.000118244315365457
SCZ	0p05	baseline_thickness	EUR	3725	3103	74479	0.00251309580274773	0.0164818028723728	0.878819039918726	8	1	6.31565051378825e-06
