disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDD	0p001	baseline_thickness	EUR	5361	4436	8022	-0.0213602023379294	0.0144094115595029	0.138298643458618	8	1	0.000456258243917284
MDD	0p01	baseline_thickness	EUR	5361	4436	23694	-0.0272683589607552	0.0147391373074398	0.0643594885680115	8	0.514875908544092	0.0007435634004126
MDD	0p05	baseline_thickness	EUR	5361	4436	55889	-0.0231244794111314	0.0150958048904183	0.125619223249627	8	1	0.000534741548035838
MDD	0p1	baseline_thickness	EUR	5361	4436	82102	-0.0271689260706319	0.0153055845265481	0.0759385781931349	8	0.607508625545079	0.000738150543831461
MDD	0p5	baseline_thickness	EUR	5361	4436	193094	-0.0272314535305821	0.0157348326752632	0.0835726101718363	8	0.66858088137469	0.000741552061388252
MDD	1	baseline_thickness	EUR	5361	4436	251717	-0.0284716606447929	0.0157218685480147	0.0702036075986523	8	0.561628860789219	0.000810635459872247
MDD	1e-5	baseline_thickness	EUR	5361	4436	1501	0.00381078380671388	0.0139785042922304	0.785157859028026	8	1	1.45220732215127e-05
MDD	5e-8	baseline_thickness	EUR	5361	4436	424	-0.0174225028402893	0.0139405586979045	0.211438153630847	8	1	0.000303543605219888
MDD	0p001	global_slope	EUR	5361	4436	8022	-0.0325342451869732	0.0137673989932773	0.0181587134026607	8	0.145269707221286	0.00105847710988609
MDD	0p01	global_slope	EUR	5361	4436	23694	-0.0299089140034135	0.0140830148088571	0.0337388594409413	8	0.26991087552753	0.000894543136863585
MDD	0p05	global_slope	EUR	5361	4436	55889	-0.0290361888679313	0.014422987092102	0.0441478621832916	8	0.353182897466333	0.00084310026397418
MDD	0p1	global_slope	EUR	5361	4436	82102	-0.0282074518538762	0.014620476265447	0.053748311560903	8	0.429986492487224	0.000795660340088742
MDD	0p5	global_slope	EUR	5361	4436	193094	-0.0260944467157479	0.0149972266521653	0.0819290666707971	8	0.655432533366377	0.000680920149401006
MDD	1	global_slope	EUR	5361	4436	251717	-0.025838398609889	0.0149804292791666	0.0846235704060308	8	0.676988563248246	0.000667622842723516
MDD	1e-5	global_slope	EUR	5361	4436	1501	-0.0218215871940606	0.0133642917305642	0.10256757763423	8	0.820540621073842	0.00047618166766799
MDD	5e-8	global_slope	EUR	5361	4436	424	-0.0169777126556174	0.0133075648218259	0.202087361854953	8	1	0.000288242727016711
MDD	0p001	slope_PC1	EUR	5361	4436	8022	0.0164596750446946	0.0142515524990523	0.248170462847207	8	1	0.000270920902576943
MDD	0p01	slope_PC1	EUR	5361	4436	23694	0.0233561153280522	0.014574684019226	0.109105236310013	8	0.872841890480106	0.000545508123217273
MDD	0p05	slope_PC1	EUR	5361	4436	55889	0.0237316516431267	0.0149258335288478	0.111904320060596	8	0.89523456048477	0.000563191289710717
MDD	0p1	slope_PC1	EUR	5361	4436	82102	0.0269562499062259	0.0151289658563987	0.0748483240967158	8	0.598786592773726	0.000726639409006904
MDD	0p5	slope_PC1	EUR	5361	4436	193094	0.0294043685658708	0.0155155751804665	0.058130362867101	8	0.465042902936808	0.000864616890757571
MDD	1	slope_PC1	EUR	5361	4436	251717	0.0297070957876833	0.0154978011124428	0.0553133396740498	8	0.442506717392399	0.000882511540138593
MDD	1e-5	slope_PC1	EUR	5361	4436	1501	0.00653391895141259	0.0138314325219742	0.636664434476306	8	1	4.26920968636286e-05
MDD	5e-8	slope_PC1	EUR	5361	4436	424	0.00960784112065197	0.0137697576156632	0.485366447409679	8	1	9.23106109996909e-05
MDD	0p001	slope_PC2	EUR	5361	4436	8022	-0.000404853254800765	0.0145653173326411	0.977826187735356	8	1	1.63906157922773e-07
MDD	0p01	slope_PC2	EUR	5361	4436	23694	0.0238995452984536	0.0148919218002329	0.108585527183347	8	0.868684217466773	0.000571188265472837
MDD	0p05	slope_PC2	EUR	5361	4436	55889	0.0317101405485009	0.0152485974130854	0.0376175464346332	8	0.300940371477066	0.00100553301360568
MDD	0p1	slope_PC2	EUR	5361	4436	82102	0.0330657863009833	0.0154572606449782	0.0324692570489256	8	0.259754056391405	0.00109334622370229
MDD	0p5	slope_PC2	EUR	5361	4436	193094	0.0345994016626131	0.0158559174945813	0.0291474338909201	8	0.233179471127361	0.00119711859541084
MDD	1	slope_PC2	EUR	5361	4436	251717	0.0350289797360267	0.015838366015159	0.0270355807744808	8	0.216284646195846	0.00122702942134697
MDD	1e-5	slope_PC2	EUR	5361	4436	1501	0.00418615237739441	0.0141335545642486	0.76710064526532	8	1	1.75238717267648e-05
MDD	5e-8	slope_PC2	EUR	5361	4436	424	0.00512211913871337	0.0140728873177316	0.715895141621412	8	1	2.62361044711738e-05
MDD	0p001	slope_PC3	EUR	5361	4436	8022	-0.0245561003456772	0.0144727991959	0.0898136481625286	8	0.718509185300229	0.000603002064186966
MDD	0p01	slope_PC3	EUR	5361	4436	23694	-0.0255147375531649	0.0148018767015975	0.0848140578623187	8	0.67851246289855	0.000651001832406885
MDD	0p05	slope_PC3	EUR	5361	4436	55889	-0.0187853019557231	0.015161317698015	0.215392573575052	8	1	0.000352887569567694
MDD	0p1	slope_PC3	EUR	5361	4436	82102	-0.0224934698062624	0.0153680616047365	0.143351767388714	8	1	0.000505956183925238
MDD	0p5	slope_PC3	EUR	5361	4436	193094	-0.0230249926567607	0.0157651578262518	0.1442158128569	8	1	0.000530150286843885
MDD	1	slope_PC3	EUR	5361	4436	251717	-0.0239294417519685	0.0157477302863194	0.12868771578047	8	1	0.000572618182560852
MDD	1e-5	slope_PC3	EUR	5361	4436	1501	-0.0206751992807839	0.0140453480912387	0.141074496077979	8	1	0.000427463865300126
