disorder	phenotype	rg	se	z	p	h2_obs	h2_obs_se	h2_z	gcov_int	underpowered
SCZ	baseline_thickness	0.02597	0.05202	0.4992	0.6176	0.4671	0.1040	4.49	-2.6420e-03	no
SCZ	global_slope	-0.1493	0.109	-1.37	0.1707	0.1238	0.1068	1.16	2.4868e-03	yes
SCZ	slope_PC3	NA	NA	NA	NA	-0.2398	0.0940	-2.55	-4.4911e-03	yes
SCZ	slope_PC2	-0.05206	0.05982	-0.8702	0.3842	0.3773	0.1089	3.46	4.4525e-03	yes
SCZ	slope_PC1	0.09397	0.15	0.6265	0.531	0.0676	0.1031	0.66	7.4488e-05	yes
MDD	baseline_thickness	-0.0186	0.0534	-0.3484	0.7276	0.4726	0.1102	4.29	-0.0031	no
MDD	global_slope	-0.05111	0.1067	-0.4787	0.6321	0.1153	0.1105	1.04	0.0003	yes
MDD	slope_PC3	NA	NA	NA	NA	-0.2414	0.0931	-2.59	-0.0006	yes
MDD	slope_PC2	-0.007857	0.06101	-0.1288	0.8975	0.4005	0.1062	3.77	0.0034	yes
MDD	slope_PC1	0.0127	0.1678	0.07565	0.9397	0.0448	0.1054	0.43	-0.0009	yes
