trait	model	set	submodel	n_genes	beta	beta_std	se	p
baseline_thickness	marginal	SCZ_locus_pool	-	455	0.18743	0.029208	0.050821	0.00011342
baseline_thickness	marginal	SCZ_pool_not_prio	-	354	0.17814	0.024555	0.057198	0.00092332
baseline_thickness	marginal	SCZ_prio_finemap	-	61	0.11633	0.0067104	0.11599	0.15797
baseline_thickness	marginal	SCZ_prio_rare	-	7	0.0863	0.0016889	0.38205	0.41065
baseline_thickness	marginal	SCZ_prio_smr	-	44	0.2192	0.010744	0.13839	0.056611
baseline_thickness	marginal	SCZ_prioritised	-	101	0.15416	0.01143	0.092314	0.047476
baseline_thickness	marginal	SCZ_prioritised_pc	-	101	0.15416	0.01143	0.092314	0.047476
global_slope	marginal	SCZ_locus_pool	-	455	0.12437	0.019381	0.051021	0.0073985
global_slope	marginal	SCZ_pool_not_prio	-	354	0.16064	0.022142	0.057411	0.0025748
global_slope	marginal	SCZ_prio_finemap	-	61	0.0070201	0.00040496	0.11642	0.47596
global_slope	marginal	SCZ_prio_rare	-	7	0.77568	0.01518	0.38339	0.021536
global_slope	marginal	SCZ_prio_smr	-	44	-0.0070073	-0.00034347	0.13891	0.52012
global_slope	marginal	SCZ_prioritised	-	101	-0.0081757	-0.0006062	0.092661	0.53515
global_slope	marginal	SCZ_prioritised_pc	-	101	-0.0081757	-0.0006062	0.092661	0.53515
MDD	marginal	SCZ_locus_pool	-	460	0.73138	0.1123	0.069703	5.7691e-26
MDD	marginal	SCZ_pool_not_prio	-	356	0.57458	0.077832	0.078566	1.3716e-13
MDD	marginal	SCZ_prio_finemap	-	64	1.1216	0.06492	0.16108	1.7341e-12
MDD	marginal	SCZ_prio_rare	-	7	2.0878	0.040025	0.50738	1.9484e-05
MDD	marginal	SCZ_prio_smr	-	44	0.6734	0.032335	0.21645	0.00093357
MDD	marginal	SCZ_prioritised	-	104	0.99969	0.073684	0.13258	2.48e-14
MDD	marginal	SCZ_prioritised_pc	-	104	0.99969	0.073684	0.13258	2.48e-14
SCZ	marginal	SCZ_locus_pool	-	457	2.4149	0.37536	0.06709	4.2675e-272
SCZ	marginal	SCZ_pool_not_prio	-	356	2.1271	0.29264	0.076388	1.4303e-166
SCZ	marginal	SCZ_prio_finemap	-	61	2.7711	0.15909	0.16289	1.3963e-64
SCZ	marginal	SCZ_prio_rare	-	7	3.9668	0.07726	0.52226	1.628e-14
SCZ	marginal	SCZ_prio_smr	-	44	2.1835	0.10651	0.21112	2.7682e-25
SCZ	marginal	SCZ_prioritised	-	101	2.5654	0.18931	0.13064	4.7222e-85
SCZ	marginal	SCZ_prioritised_pc	-	101	2.5654	0.18931	0.13064	4.7222e-85
slope_PC1	marginal	SCZ_locus_pool	-	455	0.0074937	0.0011678	0.050305	0.44079
slope_PC1	marginal	SCZ_pool_not_prio	-	354	0.028362	0.0039096	0.056608	0.30818
slope_PC1	marginal	SCZ_prio_finemap	-	61	-0.047667	-0.0027497	0.11476	0.66106
slope_PC1	marginal	SCZ_prio_rare	-	7	0.32884	0.0064354	0.37797	0.19216
slope_PC1	marginal	SCZ_prio_smr	-	44	-0.049548	-0.0024286	0.13693	0.64127
slope_PC1	marginal	SCZ_prioritised	-	101	-0.049136	-0.0036432	0.091339	0.70469
slope_PC1	marginal	SCZ_prioritised_pc	-	101	-0.049136	-0.0036432	0.091339	0.70469
slope_PC2	marginal	SCZ_locus_pool	-	455	0.065551	0.010215	0.051413	0.10117
slope_PC2	marginal	SCZ_pool_not_prio	-	354	0.097749	0.013474	0.057853	0.045563
slope_PC2	marginal	SCZ_prio_finemap	-	61	0.0015222	8.7807e-05	0.1173	0.49482
slope_PC2	marginal	SCZ_prio_rare	-	7	0.46691	0.0091376	0.38631	0.11341
slope_PC2	marginal	SCZ_prio_smr	-	44	-0.048469	-0.0023757	0.13995	0.63545
slope_PC2	marginal	SCZ_prioritised	-	101	-0.038374	-0.0028453	0.093357	0.65948
slope_PC2	marginal	SCZ_prioritised_pc	-	101	-0.038374	-0.0028453	0.093357	0.65948
slope_PC3	marginal	SCZ_locus_pool	-	455	-0.01368	-0.0021319	0.050776	0.6062
slope_PC3	marginal	SCZ_pool_not_prio	-	354	0.0058585	0.00080755	0.057139	0.45917
slope_PC3	marginal	SCZ_prio_finemap	-	61	-0.11349	-0.0065468	0.11584	0.83639
slope_PC3	marginal	SCZ_prio_rare	-	7	0.17427	0.0034106	0.38152	0.32392
slope_PC3	marginal	SCZ_prio_smr	-	44	-0.057463	-0.0028166	0.13821	0.66121
slope_PC3	marginal	SCZ_prioritised	-	101	-0.060356	-0.0044751	0.092195	0.74365
slope_PC3	marginal	SCZ_prioritised_pc	-	101	-0.060356	-0.0044751	0.092195	0.74365
baseline_thickness	cond_on_pool	SCZ_locus_pool	1	455	0.18312	0.028536	0.092701	0.024123
baseline_thickness	cond_on_pool	SCZ_pool_not_prio	1	354	0.0058019	0.00079975	0.10432	0.47782
baseline_thickness	cond_on_pool	SCZ_locus_pool	2	455	0.20305	0.031641	0.056292	0.00015539
baseline_thickness	cond_on_pool	SCZ_prio_finemap	2	61	-0.08285	-0.0047793	0.12842	0.74058
baseline_thickness	cond_on_pool	SCZ_locus_pool	3	455	0.18929	0.029498	0.051286	0.00011213
baseline_thickness	cond_on_pool	SCZ_prio_rare	3	7	-0.10433	-0.0020417	0.38535	0.6067
baseline_thickness	cond_on_pool	SCZ_locus_pool	4	455	0.1785	0.027816	0.052556	0.00034232
baseline_thickness	cond_on_pool	SCZ_prio_smr	4	44	0.095458	0.0046789	0.14305	0.2523
baseline_thickness	cond_on_pool	SCZ_locus_pool	5	455	0.18892	0.02944	0.057452	0.00050514
baseline_thickness	cond_on_pool	SCZ_prioritised	5	101	-0.0058019	-0.00043019	0.10432	0.52218
baseline_thickness	cond_on_pool	SCZ_locus_pool	6	455	0.18892	0.02944	0.057452	0.00050514
baseline_thickness	cond_on_pool	SCZ_prioritised_pc	6	101	-0.0058019	-0.00043019	0.10432	0.52218
global_slope	cond_on_pool	SCZ_locus_pool	1	455	0.016598	0.0025866	0.09306	0.42922
global_slope	cond_on_pool	SCZ_pool_not_prio	1	354	0.14501	0.019989	0.10472	0.083074
global_slope	cond_on_pool	SCZ_locus_pool	2	455	0.15096	0.023524	0.056512	0.003783
global_slope	cond_on_pool	SCZ_prio_finemap	2	61	-0.14106	-0.0081371	0.12892	0.86304
global_slope	cond_on_pool	SCZ_locus_pool	3	455	0.11256	0.01754	0.051482	0.014405
global_slope	cond_on_pool	SCZ_prio_rare	3	7	0.66233	0.012962	0.38683	0.043442
global_slope	cond_on_pool	SCZ_locus_pool	4	455	0.1337	0.020835	0.052762	0.0056441
global_slope	cond_on_pool	SCZ_prio_smr	4	44	-0.099693	-0.0048865	0.14362	0.7562
global_slope	cond_on_pool	SCZ_locus_pool	5	455	0.16161	0.025185	0.057674	0.0025415
global_slope	cond_on_pool	SCZ_prioritised	5	101	-0.14501	-0.010752	0.10472	0.91693
global_slope	cond_on_pool	SCZ_locus_pool	6	455	0.16161	0.025185	0.057674	0.0025415
global_slope	cond_on_pool	SCZ_prioritised_pc	6	101	-0.14501	-0.010752	0.10472	0.91693
MDD	cond_on_pool	SCZ_locus_pool	1	460	1.0753	0.16511	0.13264	2.8017e-16
MDD	cond_on_pool	SCZ_pool_not_prio	1	356	-0.45473	-0.061596	0.14922	0.99884
MDD	cond_on_pool	SCZ_locus_pool	2	460	0.63991	0.098257	0.076738	4.0849e-17
MDD	cond_on_pool	SCZ_prio_finemap	2	64	0.50372	0.029156	0.17696	0.0022127
MDD	cond_on_pool	SCZ_locus_pool	3	460	0.70493	0.10824	0.070379	7.7322e-24
MDD	cond_on_pool	SCZ_prio_rare	3	7	1.3726	0.026313	0.51066	0.0036002
MDD	cond_on_pool	SCZ_locus_pool	4	460	0.71988	0.11054	0.071695	6.0304e-24
MDD	cond_on_pool	SCZ_prio_smr	4	44	0.15209	0.0073029	0.22186	0.24652
MDD	cond_on_pool	SCZ_locus_pool	5	460	0.62059	0.095291	0.078596	1.5432e-15
MDD	cond_on_pool	SCZ_prioritised	5	104	0.45473	0.033516	0.14922	0.0011561
MDD	cond_on_pool	SCZ_locus_pool	6	460	0.62059	0.095291	0.078596	1.5432e-15
MDD	cond_on_pool	SCZ_prioritised_pc	6	104	0.45473	0.033516	0.14922	0.0011561
SCZ	cond_on_pool	SCZ_locus_pool	1	457	2.8797	0.44762	0.12716	6.6372e-112
SCZ	cond_on_pool	SCZ_pool_not_prio	1	356	-0.61254	-0.08427	0.14238	0.99999
SCZ	cond_on_pool	SCZ_locus_pool	2	457	2.322	0.36093	0.07356	7.4965e-212
SCZ	cond_on_pool	SCZ_prio_finemap	2	61	0.53106	0.030489	0.1728	0.0010604
SCZ	cond_on_pool	SCZ_locus_pool	3	457	2.3867	0.37098	0.067689	1.2398e-261
SCZ	cond_on_pool	SCZ_prio_rare	3	7	1.5601	0.030385	0.50579	0.0010217
SCZ	cond_on_pool	SCZ_locus_pool	4	457	2.3754	0.36923	0.068965	3.0933e-250
SCZ	cond_on_pool	SCZ_prio_smr	4	44	0.51378	0.025063	0.20867	0.0069114
SCZ	cond_on_pool	SCZ_locus_pool	5	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised	5	101	0.61254	0.045201	0.14238	8.5096e-06
SCZ	cond_on_pool	SCZ_locus_pool	6	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised_pc	6	101	0.61254	0.045201	0.14238	8.5096e-06
slope_PC1	cond_on_pool	SCZ_locus_pool	1	455	-0.045196	-0.007043	0.091757	0.68884
slope_PC1	cond_on_pool	SCZ_pool_not_prio	1	354	0.070897	0.0097727	0.10326	0.24617
slope_PC1	cond_on_pool	SCZ_locus_pool	2	455	0.020215	0.0031502	0.05572	0.35838
slope_PC1	cond_on_pool	SCZ_prio_finemap	2	61	-0.067497	-0.0038936	0.12712	0.70228
slope_PC1	cond_on_pool	SCZ_locus_pool	3	455	0.0016579	0.00025835	0.050763	0.48697
slope_PC1	cond_on_pool	SCZ_prio_rare	3	7	0.32717	0.0064027	0.38143	0.19552
slope_PC1	cond_on_pool	SCZ_locus_pool	4	455	0.012971	0.0020213	0.052022	0.40155
slope_PC1	cond_on_pool	SCZ_prio_smr	4	44	-0.05854	-0.0028694	0.1416	0.66035
slope_PC1	cond_on_pool	SCZ_locus_pool	5	455	0.025701	0.0040051	0.056867	0.32565
slope_PC1	cond_on_pool	SCZ_prioritised	5	101	-0.070897	-0.0052568	0.10326	0.75383
slope_PC1	cond_on_pool	SCZ_locus_pool	6	455	0.025701	0.0040051	0.056867	0.32565
slope_PC1	cond_on_pool	SCZ_prioritised_pc	6	101	-0.070897	-0.0052568	0.10326	0.75383
slope_PC2	cond_on_pool	SCZ_locus_pool	1	455	-0.023603	-0.0036781	0.093775	0.59936
slope_PC2	cond_on_pool	SCZ_pool_not_prio	1	354	0.11996	0.016536	0.10553	0.12782
slope_PC2	cond_on_pool	SCZ_locus_pool	2	455	0.080066	0.012477	0.056947	0.079875
slope_PC2	cond_on_pool	SCZ_prio_finemap	2	61	-0.077018	-0.0044429	0.12992	0.72335
slope_PC2	cond_on_pool	SCZ_locus_pool	3	455	0.058269	0.0090802	0.051881	0.1307
slope_PC2	cond_on_pool	SCZ_prio_rare	3	7	0.40823	0.0079892	0.38982	0.14751
slope_PC2	cond_on_pool	SCZ_locus_pool	4	455	0.074947	0.011679	0.053167	0.079331
slope_PC2	cond_on_pool	SCZ_prio_smr	4	44	-0.10043	-0.0049224	0.14472	0.75613
slope_PC2	cond_on_pool	SCZ_locus_pool	5	455	0.096359	0.015016	0.058118	0.048671
slope_PC2	cond_on_pool	SCZ_prioritised	5	101	-0.11996	-0.0088947	0.10553	0.87218
slope_PC2	cond_on_pool	SCZ_locus_pool	6	455	0.096359	0.015016	0.058118	0.048671
slope_PC2	cond_on_pool	SCZ_prioritised_pc	6	101	-0.11996	-0.0088947	0.10553	0.87218
slope_PC3	cond_on_pool	SCZ_locus_pool	1	455	-0.059999	-0.0093498	0.092617	0.74144
slope_PC3	cond_on_pool	SCZ_pool_not_prio	1	354	0.062325	0.008591	0.10422	0.27493
slope_PC3	cond_on_pool	SCZ_locus_pool	2	455	0.0094583	0.0014739	0.056241	0.43322
slope_PC3	cond_on_pool	SCZ_prio_finemap	2	61	-0.12277	-0.007082	0.12831	0.83067
slope_PC3	cond_on_pool	SCZ_locus_pool	3	455	-0.017096	-0.0026641	0.05124	0.63067
slope_PC3	cond_on_pool	SCZ_prio_rare	3	7	0.19149	0.0037475	0.38501	0.30947
