disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAP	0p001	baseline_thickness	EUR	4116	3447	2001	0.00169108671292603	0.015751419016541	0.914507925959128	8	1	2.85977427063497e-06
ALZIGAP	0p01	baseline_thickness	EUR	4116	3447	13425	0.0182937197661882	0.0161493917032527	0.257372551476637	8	1	0.000334660182883823
ALZIGAP	0p05	baseline_thickness	EUR	4116	3447	49571	0.0268112066316025	0.0170998261594775	0.116976365000439	8	0.935810920003512	0.000718840801042483
ALZIGAP	0p1	baseline_thickness	EUR	4116	3447	85645	0.0197839413722209	0.0173433765198685	0.254052997318321	8	1	0.000391404336219472
ALZIGAP	0p5	baseline_thickness	EUR	4116	3447	273317	0.0142963555392097	0.0174327705950604	0.41221524192906	8	1	0.000204385781703492
ALZIGAP	1	baseline_thickness	EUR	4116	3447	383692	0.0145425413562405	0.0174341131595319	0.404249048078711	8	1	0.000211485509097964
ALZIGAP	1e-5	baseline_thickness	EUR	4116	3447	155	-0.00786575051401437	0.0157312934495567	0.617097331698226	8	1	6.18700311487172e-05
ALZIGAP	5e-8	baseline_thickness	EUR	4116	3447	73	-0.00943173070742029	0.0157203095969288	0.548558762029157	8	1	8.89575441372949e-05
ALZIGAP	0p001	global_slope	EUR	4116	3447	2001	-0.0189254129233904	0.0149844771519039	0.206665090579047	8	1	0.000358171254320834
ALZIGAP	0p01	global_slope	EUR	4116	3447	13425	-0.0130263182058633	0.0154547172047584	0.399352562726232	8	1	0.000169684966000406
ALZIGAP	0p05	global_slope	EUR	4116	3447	49571	-0.0292270330783573	0.0163023679405444	0.0730813300551761	8	0.584650640441408	0.000854219462563391
ALZIGAP	0p1	global_slope	EUR	4116	3447	85645	-0.0285399710205996	0.0165246293059883	0.0842265484889363	8	0.67381238791149	0.000814529945856667
ALZIGAP	0p5	global_slope	EUR	4116	3447	273317	-0.0365531523749226	0.0166475910496892	0.0281721628996395	8	0.225377303197116	0.00133613294854431
ALZIGAP	1	global_slope	EUR	4116	3447	383692	-0.0399545524507517	0.0166423717142785	0.0164072684777368	8	0.131258147821895	0.00159636626153986
ALZIGAP	1e-5	global_slope	EUR	4116	3447	155	-0.0214635428672225	0.014948496905042	0.151131523240645	8	1	0.000460683672413098
ALZIGAP	5e-8	global_slope	EUR	4116	3447	73	-0.0238292034379523	0.0149427817279068	0.110862366305384	8	0.886898930443073	0.000567830936487318
ALZIGAP	0p001	slope_PC1	EUR	4116	3447	2001	0.0193624867504205	0.01552857965756	0.212513660740837	8	1	0.000374905893160211
ALZIGAP	0p01	slope_PC1	EUR	4116	3447	13425	0.014169788701027	0.0160233937046113	0.376579262992984	8	1	0.000200782911831753
ALZIGAP	0p05	slope_PC1	EUR	4116	3447	49571	0.00635788538763418	0.0169031873106331	0.706837257921187	8	1	4.04227066022922e-05
ALZIGAP	0p1	slope_PC1	EUR	4116	3447	85645	0.00869963330543599	0.0171308374828848	0.611598858157266	8	1	7.56836196490512e-05
ALZIGAP	0p5	slope_PC1	EUR	4116	3447	273317	0.0182660371998911	0.0172639752013986	0.290102603590924	8	1	0.000333648114987805
ALZIGAP	1	slope_PC1	EUR	4116	3447	383692	0.0171336182801361	0.0172600540703092	0.320931604942955	8	1	0.000293560875369412
ALZIGAP	1e-5	slope_PC1	EUR	4116	3447	155	0.0323828129823789	0.0154821607398399	0.0365395025461252	8	0.292316020369002	0.00104864657665173
ALZIGAP	5e-8	slope_PC1	EUR	4116	3447	73	0.0378828952282062	0.015474355759431	0.0144062298535901	8	0.115249838828721	0.00143511375087125
