disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZnoAPOE	0p001	baseline_thickness	EUR	4116	3447	2224	0.009797583141938	0.0157282731040875	0.533366409306953	8	1	9.59926354231878e-05
ALZnoAPOE	0p01	baseline_thickness	EUR	4116	3447	13628	0.00865988655912954	0.0156585863379645	0.580263448632429	8	1	7.49936352169925e-05
ALZnoAPOE	0p05	baseline_thickness	EUR	4116	3447	50203	0.0165385988922887	0.0156502779572095	0.290683048551675	8	1	0.000273525253320014
ALZnoAPOE	0p1	baseline_thickness	EUR	4116	3447	86681	0.0221793672577254	0.0156702197900462	0.157032081142493	8	1	0.000491924331953061
ALZnoAPOE	0p5	baseline_thickness	EUR	4116	3447	270573	0.00845582979383345	0.0157867206691894	0.592243830234464	8	1	7.15010575022815e-05
ALZnoAPOE	1	baseline_thickness	EUR	4116	3447	375188	0.00870011232027645	0.0157973847897142	0.581847966393297	8	1	7.5691954385426e-05
ALZnoAPOE	1e-5	baseline_thickness	EUR	4116	3447	178	-0.017840768461077	0.0157951269963773	0.258748417395611	8	1	0.000318293019281761
ALZnoAPOE	5e-8	baseline_thickness	EUR	4116	3447	52	-0.0388626426047971	0.0156307734584809	0.0129477593711832	8	0.103582074969465	0.00151030499022819
ALZnoAPOE	0p001	global_slope	EUR	4116	3447	2224	-0.0230147247371604	0.0150166248302209	0.125451976912154	8	1	0.00052967755472726
ALZnoAPOE	0p01	global_slope	EUR	4116	3447	13628	-0.0245367420697717	0.0149867582334536	0.10166305385309	8	0.813304430824716	0.000602051711398507
ALZnoAPOE	0p05	global_slope	EUR	4116	3447	50203	-0.0436534563263152	0.0149761266003694	0.00357853093787063	8	0.028628247502965	0.00190562424923351
ALZnoAPOE	0p1	global_slope	EUR	4116	3447	86681	-0.0383381455388221	0.0150036656091406	0.010648547137418	8	0.0851883770993443	0.00146981340335591
ALZnoAPOE	0p5	global_slope	EUR	4116	3447	270573	-0.0380611359564394	0.0150652801141501	0.01156282147039	8	0.0925025717631201	0.00144865007029456
ALZnoAPOE	1	global_slope	EUR	4116	3447	375188	-0.0361871154223728	0.0150653136328196	0.0163518647894634	8	0.130814918315707	0.00130950732259213
ALZnoAPOE	1e-5	global_slope	EUR	4116	3447	178	0.00652302346053108	0.0150847608146158	0.665456791458211	8	1	4.25498350666389e-05
ALZnoAPOE	5e-8	global_slope	EUR	4116	3447	52	0.0124332525773661	0.0149652407337454	0.406132622515552	8	1	0.00015458576965258
ALZnoAPOE	0p001	slope_PC1	EUR	4116	3447	2224	0.00240603149432236	0.0155671729488877	0.877177975773995	8	1	5.78898755167108e-06
ALZnoAPOE	0p01	slope_PC1	EUR	4116	3447	13628	0.00614408469791859	0.0155425879941154	0.692638630284964	8	1	3.77497767751974e-05
ALZnoAPOE	0p05	slope_PC1	EUR	4116	3447	50203	0.0208338775182959	0.0155377655026949	0.180046894806141	8	1	0.000434050452447355
ALZnoAPOE	0p1	slope_PC1	EUR	4116	3447	86681	0.0138054361134605	0.0155657503204601	0.375182183871648	8	1	0.000190590066282839
ALZnoAPOE	0p5	slope_PC1	EUR	4116	3447	270573	0.0219421409098564	0.015622732532323	0.160251446858258	8	1	0.000481457547707993
ALZnoAPOE	1	slope_PC1	EUR	4116	3447	375188	0.0214329513423157	0.0156203895600515	0.170109196995834	8	1	0.000459371403242072
