disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	0p001	baseline_thickness	EUR	4116	3447	1442	-0.0422705540457718	0.0160362032693525	0.00842193650284388	8	0.067375492022751	0.00178679973933651
ASD	0p01	baseline_thickness	EUR	4116	3447	8636	-0.0234878071640702	0.0159887930832418	0.141905206286045	8	1	0.000551677085376549
ASD	0p05	baseline_thickness	EUR	4116	3447	31740	-0.00747423841881628	0.0158231001975441	0.636693274599676	8	1	5.58642399413093e-05
ASD	0p1	baseline_thickness	EUR	4116	3447	55047	-0.00324089534146621	0.0158444949357169	0.837938624009184	8	1	1.05034026143374e-05
ASD	0p5	baseline_thickness	EUR	4116	3447	183700	0.00646090328105473	0.015725939925903	0.681208618355049	8	1	4.17432712071438e-05
ASD	1	baseline_thickness	EUR	4116	3447	271508	0.00608772978443326	0.0157142009786303	0.698477930585647	8	1	3.70604539282758e-05
ASD	1e-5	baseline_thickness	EUR	4116	3447	69	-0.0516923135275427	0.0177653049404666	0.00363681883333405	8	0.0290945506666724	0.00267209527782978
ASD	5e-8	baseline_thickness	EUR	4116	3447	4	-0.0221524835119955	0.0162025994928493	0.171631952947246	8	1	0.000490732525749233
ASD	0p001	global_slope	EUR	4116	3447	1442	0.0185765482972692	0.01529993342253	0.224761439485036	8	1	0.000345088146640776
ASD	0p01	global_slope	EUR	4116	3447	8636	-0.00544763755511914	0.0151862859467427	0.719823726465609	8	1	2.96767549319445e-05
ASD	0p05	global_slope	EUR	4116	3447	31740	0.00018721198508496	0.0150541920340059	0.990078513116794	8	1	3.50483273594513e-08
ASD	0p1	global_slope	EUR	4116	3447	55047	-0.00764416324021197	0.0150755221600951	0.612143382999558	8	1	5.8433231643008e-05
ASD	0p5	global_slope	EUR	4116	3447	183700	0.00184717777901699	0.0149978128197728	0.901984323868369	8	1	3.41206574729415e-06
ASD	1	global_slope	EUR	4116	3447	271508	0.000748755323494231	0.014993475288524	0.960173784248362	8	1	5.6063453446095e-07
