disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
MDDeur	0p001	baseline_thickness	EUR	4116	3447		-0.0164782671013622	0.0159117482329396	0.300448202532528	8	1	0.000271533286663837
MDDeur	0p01	baseline_thickness	EUR	4116	3447		-0.0169361900533923	0.0158750803275479	0.286106383164049	8	1	0.000286834533524623
MDDeur	0p05	baseline_thickness	EUR	4116	3447		-0.00667645073113526	0.0159563160707713	0.67566160325229	8	1	4.45749943652765e-05
MDDeur	0p1	baseline_thickness	EUR	4116	3447		-0.00285988522320322	0.0159801407759877	0.857974078901945	8	1	8.17894348989615e-06
MDDeur	0p5	baseline_thickness	EUR	4116	3447		-0.00356915404346396	0.0160729725749475	0.824278780688521	8	1	1.27388605859751e-05
MDDeur	1	baseline_thickness	EUR	4116	3447		-0.00272683623617009	0.0160738435615218	0.865298276571062	8	1	7.43563585889024e-06
MDDeur	1e-5	baseline_thickness	EUR	4116	3447		-0.00527942590344161	0.0159957519575244	0.741377761318437	8	1	2.78723378699302e-05
MDDeur	5e-8	baseline_thickness	EUR	4116	3447		-0.0142343604468918	0.0160450707185385	0.375051144145497	8	1	0.000202617017332037
MDDeur	0p001	global_slope	EUR	4116	3447		-0.0256525746491287	0.0151277889798531	0.0900190910859019	8	0.720152728687215	0.000658054586129118
MDDeur	0p01	global_slope	EUR	4116	3447		-0.022962098303409	0.0151249575494528	0.129056146650231	8	1	0.000527257958495418
MDDeur	0p05	global_slope	EUR	4116	3447		-0.0201355520564992	0.0151769673497547	0.184681012016284	8	1	0.000405440456619991
MDDeur	0p1	global_slope	EUR	4116	3447		-0.0179483960569018	0.0151881458531916	0.237383409344201	8	1	0.000322144921015408
MDDeur	0p5	global_slope	EUR	4116	3447		-0.0200805837000237	0.0152459727671583	0.187881919972753	8	1	0.000403229841733659
MDDeur	1	global_slope	EUR	4116	3447		-0.0204486000274287	0.0152405341721031	0.179765475735171	8	1	0.000418145243081758
MDDeur	1e-5	global_slope	EUR	4116	3447		-0.0254188755792929	0.0151983567301398	0.0945124129034374	8	0.7560993032275	0.000646119235715572
MDDeur	5e-8	global_slope	EUR	4116	3447		-0.0159786424629902	0.01525315111843	0.294905611645711	8	1	0.000255317014960074
MDDeur	0p001	slope_PC1	EUR	4116	3447		0.0156067915137573	0.0156756274374746	0.319504486598317	8	1	0.000243571941353887
MDDeur	0p01	slope_PC1	EUR	4116	3447		0.0169974601489904	0.0156739419877533	0.278238653115488	8	1	0.000288913651516515
MDDeur	0p05	slope_PC1	EUR	4116	3447		0.00800340041186139	0.0157270088006264	0.610855523502492	8	1	6.40544181525831e-05
MDDeur	0p1	slope_PC1	EUR	4116	3447		0.00476201617776648	0.0157377570009561	0.762222604261908	8	1	2.26767980773096e-05
MDDeur	0p5	slope_PC1	EUR	4116	3447		0.0153441076735462	0.0157941671871693	0.331360147417961	8	1	0.00023544164029738
MDDeur	1	slope_PC1	EUR	4116	3447		0.0138999705512436	0.0157883660872234	0.378703279585356	8	1	0.00019320918132544
MDDeur	1e-5	slope_PC1	EUR	4116	3447		0.00896356412514458	0.0157487744450115	0.569282088930889	8	1	8.03454818255789e-05
MDDeur	5e-8	slope_PC1	EUR	4116	3447		0.0120997620570817	0.0158059738496924	0.444010833962123	8	1	0.000146404241837994
MDDeur	0p001	slope_PC2	EUR	4116	3447		0.00641358194776086	0.0160378739469203	0.689250672629114	8	1	4.11340334006439e-05
MDDeur	0p01	slope_PC2	EUR	4116	3447		0.0134835180425561	0.0160306120946993	0.400337849157977	8	1	0.000181805258803936
MDDeur	0p05	slope_PC2	EUR	4116	3447		0.0194901469165652	0.0160846549436875	0.225692631283278	8	1	0.000379865826829294
MDDeur	0p1	slope_PC2	EUR	4116	3447		0.0145290525153079	0.0160985077099933	0.366842854604973	8	1	0.000211093366992576
MDDeur	0p5	slope_PC2	EUR	4116	3447		0.0245440215527666	0.0161584023405353	0.128854309217584	8	1	0.000602408993982672
MDDeur	1	slope_PC2	EUR	4116	3447		0.022170703875885	0.0161541148369278	0.170004146833246	8	1	0.000491540110352181
MDDeur	1e-5	slope_PC2	EUR	4116	3447		0.000346301309315571	0.0161130025529996	0.98285426745546	8	1	1.19924596833679e-07
MDDeur	5e-8	slope_PC2	EUR	4116	3447		0.00669694909231038	0.0161664629838004	0.678714379516884	8	1	4.48491271449968e-05
MDDeur	0p001	slope_PC3	EUR	4116	3447		-0.0286256949228607	0.0158864975640299	0.0716414561577162	8	0.573131649261729	0.000819430409816696
MDDeur	0p01	slope_PC3	EUR	4116	3447		-0.0240936554330046	0.0158797466282802	0.129283667450566	8	1	0.000580504232124351
MDDeur	0p05	slope_PC3	EUR	4116	3447		-0.00580725060627434	0.0159410709148222	0.715657873742562	8	1	3.37241596040737e-05
MDDeur	0p1	slope_PC3	EUR	4116	3447		-0.00241384835638063	0.0159542351590325	0.879748391446861	8	1	5.82666388760147e-06
MDDeur	0p5	slope_PC3	EUR	4116	3447		-0.0073552579631977	0.0160190065107777	0.646146812715642	8	1	5.40998197051832e-05
MDDeur	1	slope_PC3	EUR	4116	3447		-0.00667652268352305	0.0160145201044496	0.676771957668458	8	1	4.45759551435978e-05
MDDeur	1e-5	slope_PC3	EUR	4116	3447		-0.0220860214853531	0.0159638781268631	0.166592402130513	8	1	0.000487792345051477
MDDeur	5e-8	slope_PC3	EUR	4116	3447		-0.0128282650561891	0.0160172340284205	0.423236778960568	8	1	0.000164564384351842
MDDeur	0p001	baseline_thickness	full	8082	6789		-0.00655236779530054	0.0110998104522597	0.554997163294459	8	1	4.29335237248917e-05
MDDeur	0p01	baseline_thickness	full	8082	6789		-0.0123002046082113	0.0111161873510109	0.268537829328267	8	1	0.000151295033403862
MDDeur	0p05	baseline_thickness	full	8082	6789		-0.00331901160783372	0.0111723854437507	0.766418657391002	8	1	1.1015838052935e-05
MDDeur	0p1	baseline_thickness	full	8082	6789		-0.0035611059695138	0.0112022358326493	0.750574843381993	8	1	1.26814757261068e-05
MDDeur	0p5	baseline_thickness	full	8082	6789		-0.00361928421953814	0.0112697738550936	0.748105404697788	8	1	1.30992182617978e-05
MDDeur	1	baseline_thickness	full	8082	6789		-0.00351810172020621	0.0112623577879306	0.754762203521621	8	1	1.23770397137179e-05
MDDeur	1e-5	baseline_thickness	full	8082	6789		0.00358379102311187	0.0110756446890713	0.746268995821259	8	1	1.28435580973372e-05
MDDeur	5e-8	baseline_thickness	full	8082	6789		0.00245418720703099	0.0110241715533225	0.823837911276597	8	1	6.02303484715456e-06
MDDeur	0p001	global_slope	full	8082	6789		-0.0104296873105063	0.0107771821386745	0.333197023374467	8	1	0.000108778377394936
MDDeur	0p01	global_slope	full	8082	6789		-0.0114871207948719	0.0107999850440178	0.287533005331526	8	1	0.000131953944155979
MDDeur	0p05	global_slope	full	8082	6789		-0.0155966034541497	0.0108476007828297	0.150534159026885	8	1	0.000243254039305993
MDDeur	0p1	global_slope	full	8082	6789		-0.0147202979709582	0.0108689301416829	0.175666405275901	8	1	0.000216687172353797
MDDeur	0p5	global_slope	full	8082	6789		-0.0187844217922754	0.0109137207314878	0.0852604112244811	8	0.682083289795849	0.00035285450207011
MDDeur	1	global_slope	full	8082	6789		-0.0196426862940976	0.0109066943752945	0.07174700925913	8	0.57397607407304	0.00038583512484833
MDDeur	1e-5	global_slope	full	8082	6789		-0.0104663608334964	0.0107569162328172	0.330589944891659	8	1	0.000109544709096948
MDDeur	5e-8	global_slope	full	8082	6789		-0.00989946659989268	0.0107240526170591	0.355979784834269	8	1	9.79994389623907e-05
MDDeur	0p001	slope_PC1	full	8082	6789		0.0138874648205941	0.011132333965089	0.212257227063548	8	1	0.000192861679143239
MDDeur	0p01	slope_PC1	full	8082	6789		0.0199114200253123	0.0111553250838752	0.0743136792311161	8	0.594509433848929	0.000396464647424409
MDDeur	0p05	slope_PC1	full	8082	6789		0.0172128852426893	0.0112059380860286	0.124568135268918	8	0.996545082151346	0.000296283418377992
MDDeur	0p1	slope_PC1	full	8082	6789		0.0130039744251457	0.0112282564545481	0.246840890606	8	1	0.000169103350849843
MDDeur	0p5	slope_PC1	full	8082	6789		0.0187654683375122	0.0112732983089258	0.0960359098416054	8	0.768287278732843	0.000352142801926173
MDDeur	1	slope_PC1	full	8082	6789		0.0187329502715921	0.0112663103658975	0.0964065967071045	8	0.771252773656836	0.000350923425877944
MDDeur	1e-5	slope_PC1	full	8082	6789		0.00622358559940625	0.0111122106300715	0.57545029166626	8	1	3.87330177131369e-05
MDDeur	5e-8	slope_PC1	full	8082	6789		0.00621845103046283	0.0110793443460256	0.574633353323492	8	1	3.86691332182642e-05
MDDeur	0p001	slope_PC2	full	8082	6789		0.00879857573745157	0.0113523984885198	0.43833942451304	8	1	7.74149350076715e-05
MDDeur	0p01	slope_PC2	full	8082	6789		0.0159193924896493	0.0113748607765504	0.161696413068163	8	1	0.000253427057239502
MDDeur	0p05	slope_PC2	full	8082	6789		0.0219078233568127	0.0114250351335794	0.0552081962928286	8	0.441665570342629	0.000479952724233307
MDDeur	0p1	slope_PC2	full	8082	6789		0.0142265808723291	0.011449842786537	0.214085566860793	8	1	0.000202395603316921
MDDeur	0p5	slope_PC2	full	8082	6789		0.0209341770207725	0.0114977623389533	0.0686893629090681	8	0.549514903272544	0.00043823976753704
MDDeur	1	slope_PC2	full	8082	6789		0.0210602844960763	0.0114905534524634	0.0668665034891451	8	0.534932027913161	0.000443535583055673
MDDeur	1e-5	slope_PC2	full	8082	6789		-0.00396319750801788	0.0113315376735226	0.726536510333263	8	1	1.57069344875592e-05
MDDeur	5e-8	slope_PC2	full	8082	6789		0.00142583995704214	0.0112951048760395	0.899549045840047	8	1	2.03301958309793e-06
MDDeur	0p001	slope_PC3	full	8082	6789		-0.0137739950741909	0.0111427963284781	0.216446980862841	8	1	0.000189722940303835
MDDeur	0p01	slope_PC3	full	8082	6789		-0.0193244704735661	0.0111644688686136	0.0835119470209381	8	0.668095576167505	0.000373435159083726
MDDeur	0p05	slope_PC3	full	8082	6789		-0.0111283473181179	0.0112162715802957	0.321150674476009	8	1	0.000123840114032661
MDDeur	0p1	slope_PC3	full	8082	6789		-0.00795208727696947	0.0112389892121308	0.479249879231875	8	1	6.32356920605397e-05
MDDeur	0p5	slope_PC3	full	8082	6789		-0.00733246007963594	0.011286966588283	0.51594498641475	8	1	5.37649708194547e-05
MDDeur	1	slope_PC3	full	8082	6789		-0.00670410480030902	0.0112799860602233	0.552305172022433	8	1	4.49450211735264e-05
MDDeur	1e-5	slope_PC3	full	8082	6789		-0.0108537241639095	0.0111217772856199	0.329146058678703	8	1	0.000117803328226234
MDDeur	5e-8	slope_PC3	full	8082	6789		-0.0110224167959268	0.0110865340931628	0.320148953256575	8	1	0.000121493672023128
