disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAPnoAPOE	prscs	baseline_thickness	EUR	4116	3447	1086447	0.0129847972645326	0.0169320960592711	0.443200149053054	1	0.443200149053054	0.000168604960001013
ALZIGAPnoAPOE	prscs	global_slope	EUR	4116	3447	1086447	-0.0259491303170562	0.0161163792861331	0.107456400850105	1	0.107456400850105	0.000673357364211563
ALZIGAPnoAPOE	prscs	slope_PC1	EUR	4116	3447	1086447	0.0142209749866499	0.0166980091746186	0.394459063757104	1	0.394459063757104	0.000202236129570923
ALZIGAPnoAPOE	prscs	slope_PC2	EUR	4116	3447	1086447	0.000538643509129895	0.0170855532148391	0.974851487022502	1	0.974851487022502	2.90136829927767e-07
ALZIGAPnoAPOE	prscs	slope_PC3	EUR	4116	3447	1086447	-0.0312922065939078	0.0169195965238153	0.0644675726172854	1	0.0644675726172854	0.000979202193515807
ALZIGAPnoAPOE	prscs	baseline_thickness	full	8082	6789	1086447	0.0281772088590661	0.0426645137334229	0.508992557172466	1	0.508992557172466	0.000793955099087433
ALZIGAPnoAPOE	prscs	global_slope	full	8082	6789	1086447	-0.0535819835134758	0.0415768747779772	0.197525671143703	1	0.197525671143703	0.00287102895723839
ALZIGAPnoAPOE	prscs	slope_PC1	full	8082	6789	1086447	0.0319892952088885	0.0429584898683157	0.456502704526837	1	0.456502704526837	0.00102331500796142
ALZIGAPnoAPOE	prscs	slope_PC2	full	8082	6789	1086447	0.0118367528660749	0.0437878794960185	0.786921068948022	1	0.786921068948022	0.000140108718412531
ALZIGAPnoAPOE	prscs	slope_PC3	full	8082	6789	1086447	-0.110677686881205	0.0429627090305539	0.0100097193383886	1	0.0100097193383886	0.012249550373374
