disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAPnoAPOE	prscs	baseline_thickness	EUR	4116	3447	1086447	0.0129847936181543	0.0169320960263381	0.443200276204285	1	0.443200276204285	0.000168604865306062
ALZIGAPnoAPOE	prscs	global_slope	EUR	4116	3447	1086447	-0.0259491233339796	0.0161163792920189	0.107456495556496	1	0.107456495556496	0.000673357001802085
ALZIGAPnoAPOE	prscs	slope_PC1	EUR	4116	3447	1086447	0.014220975909025	0.0166980091781155	0.394459033192103	1	0.394459033192103	0.000202236155805068
ALZIGAPnoAPOE	prscs	slope_PC2	EUR	4116	3447	1086447	0.00053864534617072	0.0170855532186701	0.974851401287682	1	0.974851401287682	2.90138808951374e-07
ALZIGAPnoAPOE	prscs	slope_PC3	EUR	4116	3447	1086447	-0.0312922085672612	0.0169195965257252	0.0644675558160899	1	0.0644675558160899	0.000979202317016975
ALZIGAPnoAPOE	prscs	baseline_thickness	full	8082	6789	1086447	0.0225004728846241	0.0118957461872777	0.0585977254405599	1	0.0585977254405599	0.000506271280031703
ALZIGAPnoAPOE	prscs	global_slope	full	8082	6789	1086447	-0.0110021777755906	0.0115145034179762	0.339352801510654	1	0.339352801510654	0.0001210479158057
ALZIGAPnoAPOE	prscs	slope_PC1	full	8082	6789	1086447	0.00574893337088601	0.011893258572099	0.628842040698589	1	0.628842040698589	3.30502349028867e-05
ALZIGAPnoAPOE	prscs	slope_PC2	full	8082	6789	1086447	0.00407770865725588	0.012131976445681	0.736795418946212	1	0.736795418946212	1.66277078934596e-05
ALZIGAPnoAPOE	prscs	slope_PC3	full	8082	6789	1086447	-0.0134170004385402	0.0119059060032891	0.259812655828478	1	0.259812655828478	0.000180015900767787
