disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ALZIGAP	prscs	baseline_thickness	EUR	4116	3447	1087638	0.0131101104250907	0.0163977314718686	0.424042529217294	1	0.424042529217294	0.000171874995358073
ALZIGAP	prscs	global_slope	EUR	4116	3447	1087638	-0.0321249687283386	0.0156012676208434	0.0395493476367736	1	0.0395493476367736	0.00103201361579673
ALZIGAP	prscs	slope_PC1	EUR	4116	3447	1087638	0.0276115423868719	0.016165057662905	0.0877001201139953	1	0.0877001201139953	0.000762397272982023
ALZIGAP	prscs	slope_PC2	EUR	4116	3447	1087638	0.013586637987799	0.0165411587073184	0.411478376384497	1	0.411478376384497	0.000184596731811502
ALZIGAP	prscs	slope_PC3	EUR	4116	3447	1087638	-0.0403170609461075	0.0163741968674288	0.0138510857559952	1	0.0138510857559952	0.00162546540333215
ALZIGAP	prscs	baseline_thickness	full	8082	6789	1087638	0.0256454014429411	0.0116374063848801	0.0275737908343291	1	0.0275737908343291	0.000657686615169604
ALZIGAP	prscs	global_slope	full	8082	6789	1087638	-0.0159779954958469	0.0112606621081546	0.155963747961089	1	0.155963747961089	0.000255296340065304
ALZIGAP	prscs	slope_PC1	full	8082	6789	1087638	0.0028435559615867	0.0116320801502169	0.806882857619596	1	0.806882857619596	8.08581050667528e-06
ALZIGAP	prscs	slope_PC2	full	8082	6789	1087638	0.00282841051474955	0.0118658861660537	0.811604603681235	1	0.811604603681235	7.99990603994584e-06
ALZIGAP	prscs	slope_PC3	full	8082	6789	1087638	-0.0111306023236211	0.0116451097706558	0.339195341762127	1	0.339195341762127	0.0001238903080866
