disorder	threshold	phenotype	stratum	n	n_families	n_snps	beta	se	p	n_thresholds	p_adj	r2_partial
ASD	prscs	baseline_thickness	EUR	4116	3447		-0.0443769056532573	0.0159262260500325	0.00535413666778574	1	0.00535413666778574	0.0019693097553581
ASD	prscs	global_slope	EUR	4116	3447		0.0159810675992144	0.0152191606578526	0.29375484541374	1	0.29375484541374	0.000255394521610661
ASD	prscs	slope_PC1	EUR	4116	3447		0.00232157227585195	0.0157757713947674	0.883013038156941	1	0.883013038156941	5.38969783200442e-06
ASD	prscs	slope_PC2	EUR	4116	3447		-0.00696343900955668	0.0161299245246199	0.665976540586114	1	0.665976540586114	4.84894828398158e-05
ASD	prscs	slope_PC3	EUR	4116	3447		-0.020600945138484	0.0159747463968406	0.197268142812706	1	0.197268142812706	0.000424398940598829
ASD	prscs	baseline_thickness	full	8082	6789		-0.0158009665874372	0.0110814153851549	0.153936618621153	1	0.153936618621153	0.000249670545097307
ASD	prscs	global_slope	full	8082	6789		0.00515751981715235	0.0108058051475446	0.63316803938166	1	0.63316803938166	2.66000106643192e-05
ASD	prscs	slope_PC1	full	8082	6789		0.0108784892551357	0.0111644982204049	0.32989752633137	1	0.32989752633137	0.000118341528474103
ASD	prscs	slope_PC2	full	8082	6789		-0.000741815316889013	0.0113787467291288	0.948021967016208	1	0.948021967016208	5.50289964371147e-07
ASD	prscs	slope_PC3	full	8082	6789		-0.0190681441800208	0.0111679631277424	0.0877885696025031	1	0.0877885696025031	0.00036359412247006
